Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
25.585,22.0,57.7,1015.4,False,24.7,4,2.1
85.587,22.0,57.7,1015.4,False,24.9,357,2.4
145.587,22.0,57.5,1015.4,False,24.8,345,2.1
205.578,22.0,57.6,1015.5,False,24.6,359,1.8
265.557,21.9,57.9,1015.4,False,24.6,356,2.2
325.586,21.9,58.1,1015.4,False,24.5,3,2.0
385.578,21.8,58.4,1015.4,False,24.5,3,2.4
445.579,21.8,58.8,1015.5,False,24.3,1,2.5
505.581,21.8,58.8,1015.4,False,24.4,49,1.2
565.603,21.7,58.9,1015.5,False,24.4,342,1.9
625.614,21.7,59.0,1015.4,False,24.4,346,2.2
685.633,21.7,58.9,1015.5,False,24.4,17,2.9
745.629,21.6,59.3,1015.4,False,24.2,348,2.8
805.602,21.5,59.0,1015.4,False,24.3,347,2.6
865.619,21.6,59.1,1015.5,False,24.3,17,1.6
925.624,21.6,59.2,1015.5,False,24.3,356,2.2
985.622,21.5,59.1,1015.6,False,24.3,9,2.3
1045.616,21.5,59.3,1015.5,False,24.2,6,2.3
1105.608,21.5,59.3,1015.6,False,24.2,352,2.7
1165.62,21.4,59.5,1015.6,False,24.2,8,2.1
1225.612,21.4,60.0,1015.5,False,24.0,13,1.6
1285.638,21.4,59.6,1015.6,False,24.1,11,1.7
1345.619,21.4,59.8,1015.7,False,24.2,5,2.3
1405.627,21.4,59.8,1015.7,False,24.2,330,1.8
1465.639,21.4,59.8,1015.6,False,24.2,16,1.5
1525.616,21.4,59.7,1015.6,False,24.2,350,1.8
1585.631,21.4,59.5,1015.6,False,24.2,14,2.0
1645.627,21.4,59.2,1015.7,False,24.2,17,2.3
1705.626,21.3,59.3,1015.7,False,24.2,356,1.6
1765.63,21.3,59.2,1015.7,False,24.0,21,2.9
1825.647,21.3,59.5,1015.7,False,24.1,4,2.0
1885.64,21.2,59.1,1015.7,False,24.1,17,3.2
1945.629,21.1,58.8,1015.7,False,23.8,7,2.1
2005.649,21.1,58.7,1015.7,False,23.8,8,2.3
2065.651,21.1,58.4,1015.7,False,23.8,18,2.0
2125.639,21.1,58.2,1015.8,False,23.8,354,2.2
2185.637,21.1,58.3,1015.8,False,23.8,9,2.4
2245.642,21.1,57.9,1015.7,False,23.9,347,1.7
2305.639,21.1,57.4,1015.8,False,23.8,4,2.4
2365.671,21.1,57.5,1015.7,False,23.8,337,2.0
2425.654,21.1,57.4,1015.8,False,23.8,7,2.8
2485.695,21.0,57.7,1015.8,False,23.8,5,2.3
2545.698,21.0,57.5,1015.8,False,23.8,340,2.3
2605.695,21.0,57.3,1015.9,False,23.8,12,2.0
2665.689,21.0,56.9,1015.8,False,23.7,3,1.9
2725.711,21.0,56.7,1015.9,False,23.7,42,2.4
2785.703,21.0,56.3,1015.8,False,23.7,1,2.4
2845.772,20.9,56.2,1015.9,False,23.6,327,2.6
2905.76,20.9,56.0,1015.8,False,23.6,2,2.1
2965.764,20.9,56.1,1015.9,False,23.5,357,1.7
3025.764,20.9,55.9,1015.8,False,23.5,20,2.6
3085.772,20.8,56.2,1015.8,False,23.4,350,2.9
3145.775,20.8,55.7,1015.7,False,23.4,353,2.5
3205.787,20.8,55.1,1015.9,False,23.5,341,2.2
3265.812,20.8,54.9,1015.9,False,23.4,2,1.9
3325.892,20.8,55.0,1015.9,False,23.4,11,1.9
3385.825,20.8,55.0,1015.9,False,23.4,54,2.0
3445.847,20.8,55.1,1015.9,False,23.4,6,2.0
3505.829,20.8,55.1,1015.9,False,23.4,2,1.9
3565.832,20.8,55.4,1015.9,False,23.4,0,1.8
3625.847,20.8,55.2,1015.9,False,23.4,2,1.1
3685.824,20.8,54.7,1015.9,False,23.4,340,2.1
3745.826,20.8,54.5,1016.0,False,23.3,349,2.2
