Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1202.006,VER,33,,1.0,1.0,1062.678,,,54.786,59.521,,1142.51,1202.282,232.0,246.0,227.0,243.0,False,SOFT,1.0,True,Red Bull Racing,1062.678,2020-12-12 13:02:43.629,1,,False,,False,False
1298.813,VER,33,96.807,2.0,1.0,,,17.278,41.58,37.949,1219.284,1260.864,1298.813,286.0,317.0,226.0,317.0,True,SOFT,2.0,True,Red Bull Racing,1202.006,2020-12-12 13:05:02.957,1,,False,,False,True
1447.656,VER,33,148.843,3.0,1.0,,,29.414,62.958,56.471,1328.227,1391.185,1447.656,138.0,222.0,160.0,181.0,False,SOFT,3.0,True,Red Bull Racing,1298.813,2020-12-12 13:06:39.764,1,,False,,False,True
1574.84,VER,33,127.184,4.0,1.0,,,27.494,53.79,45.9,1475.15,1528.94,1574.84,174.0,248.0,228.0,248.0,False,SOFT,4.0,True,Red Bull Racing,1447.656,2020-12-12 13:09:08.607,1,,False,,False,True
1670.833,VER,33,95.993,5.0,1.0,,,17.235,41.014,37.744,1592.075,1633.089,1670.833,285.0,315.0,225.0,314.0,True,SOFT,5.0,True,Red Bull Racing,1574.84,2020-12-12 13:11:15.791,1,,False,,False,True
1779.772,VER,33,108.939,6.0,1.0,,1778.72,18.736,46.296,43.907,1689.569,1735.865,1779.772,244.0,263.0,,260.0,False,SOFT,6.0,True,Red Bull Racing,1670.833,2020-12-12 13:12:51.784,1,,False,,False,False
2596.801,VER,33,,7.0,2.0,2472.945,,,50.174,52.885,,2543.93,2596.849,260.0,248.0,228.0,248.0,False,MEDIUM,1.0,True,Red Bull Racing,1779.772,2020-12-12 13:14:40.723,12,,False,,False,False
2693.037,VER,33,96.236,8.0,2.0,,,17.127,40.773,38.336,2613.928,2654.701,2693.037,287.0,319.0,222.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,2596.801,2020-12-12 13:28:17.752,1,,False,,False,True
2838.981,VER,33,145.944,9.0,2.0,,,27.537,66.362,52.045,2720.574,2786.936,2838.981,139.0,195.0,228.0,233.0,False,MEDIUM,3.0,True,Red Bull Racing,2693.037,2020-12-12 13:29:53.988,1,,False,,False,True
2939.509,VER,33,100.528,10.0,2.0,,2938.374,17.209,41.154,42.165,2856.19,2897.344,2939.509,286.0,313.0,,313.0,False,MEDIUM,4.0,True,Red Bull Racing,2838.981,2020-12-12 13:32:19.932,1,,False,,False,False
3272.181,VER,33,,11.0,3.0,3144.906,,,52.514,50.921,,3221.318,3272.225,221.0,233.0,228.0,231.0,False,MEDIUM,1.0,True,Red Bull Racing,2939.509,2020-12-12 13:34:00.460,1,,False,,False,False
3367.822,VER,33,95.641,12.0,3.0,,,17.061,40.774,37.806,3289.242,3330.016,3367.822,288.0,319.0,224.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,3272.181,2020-12-12 13:39:33.132,1,,False,,False,True
3493.109,VER,33,125.287,13.0,3.0,,3492.044,22.865,51.315,51.107,3390.687,3442.002,3493.109,208.0,199.0,,231.0,False,MEDIUM,3.0,True,Red Bull Racing,3367.822,2020-12-12 13:41:08.773,1,,False,,False,False
3967.82,VER,33,,14.0,4.0,3819.085,,,56.898,66.844,,3901.007,3967.88,218.0,248.0,226.0,231.0,False,SOFT,1.0,True,Red Bull Racing,3493.109,2020-12-12 13:43:14.060,1,,False,,False,False
4063.339,VER,33,95.519,15.0,4.0,,,17.132,40.832,37.555,3984.952,4025.784,4063.339,288.0,318.0,225.0,319.0,True,SOFT,2.0,True,Red Bull Racing,3967.82,2020-12-12 13:51:08.771,1,,False,,False,True
4177.318,VER,33,113.979,16.0,4.0,,4176.209,19.058,48.837,46.084,4082.397,4131.234,4177.318,225.0,242.0,,222.0,False,SOFT,3.0,True,Red Bull Racing,4063.339,2020-12-12 13:52:44.290,1,,False,,False,False
4436.841,VER,33,,17.0,5.0,4304.359,,,54.885,52.507,,4384.345,4436.858,214.0,241.0,228.0,248.0,False,SOFT,1.0,True,Red Bull Racing,4177.318,2020-12-12 13:54:38.269,1,,False,,False,False
4532.087,VER,33,95.246,18.0,5.0,,,17.03,40.75,37.466,4453.871,4494.621,4532.087,288.0,316.0,224.0,318.0,True,SOFT,2.0,True,Red Bull Racing,4436.841,2020-12-12 13:58:57.792,1,,False,,False,True
4652.642,VER,33,120.555,19.0,5.0,,4651.083,22.039,50.558,47.958,4554.126,4604.684,4652.642,182.0,198.0,,187.0,False,SOFT,3.0,True,Red Bull Racing,4532.087,2020-12-12 14:00:33.038,1,,False,,False,False
1245.041,BOT,77,,1.0,1.0,1113.382,,,54.767,51.469,,1193.629,1245.361,213.0,256.0,223.0,255.0,False,SOFT,1.0,True,Mercedes,1113.382,2020-12-12 13:03:34.333,1,,False,,False,False
1340.74,BOT,77,95.699,2.0,1.0,,,17.161,40.873,37.665,1262.202,1303.075,1340.74,286.0,318.0,226.0,320.0,True,SOFT,2.0,True,Mercedes,1245.041,2020-12-12 13:05:45.992,1,,False,,False,True
1468.621,BOT,77,127.881,3.0,1.0,,1467.502,20.594,49.189,58.098,1361.334,1410.523,1468.621,255.0,258.0,,274.0,False,SOFT,3.0,True,Mercedes,1340.74,2020-12-12 13:07:21.691,1,,False,,False,False
1947.324,BOT,77,,4.0,2.0,1806.253,,,50.554,67.591,,1879.785,1947.639,244.0,234.0,226.0,275.0,False,SOFT,4.0,False,Mercedes,1468.621,2020-12-12 13:09:29.572,1,,False,,False,False
2043.03,BOT,77,95.706,5.0,2.0,,,17.117,41.049,37.54,1964.441,2005.49,2043.03,286.0,321.0,225.0,322.0,False,SOFT,5.0,False,Mercedes,1947.324,2020-12-12 13:17:28.275,12,,False,,False,True
2167.874,BOT,77,124.844,6.0,2.0,,2166.446,20.158,49.724,54.962,2063.188,2112.912,2167.874,254.0,218.0,,265.0,False,SOFT,6.0,False,Mercedes,2043.03,2020-12-12 13:19:03.981,1,,False,,False,False
