Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-03-27 11:45:35,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2021-03-27 11:51:00,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2021-03-27 12:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-03-27 12:15:32,Other,CAR 77 (BOT) TIME 1:33.372 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2021-03-27 12:18:59,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2021-03-27 12:19:00,Other,DRS DISABLED IN ZONE 1,,,,,,
2021-03-27 12:19:10,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2021-03-27 12:19:10,Other,DRS ENABLED IN ZONE 1,,,,,,
2021-03-27 12:19:17,CarEvent,CAR 16 (LEC) SPUN AND CONTINUED AT TURN 3,,,,,16,
2021-03-27 12:22:38,Other,CAR 77 (BOT) TIME 1:36.635 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2021-03-27 12:26:03,Other,CAR 77 (BOT) TIME 1:36.885 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2021-03-27 12:30:32,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2021-03-27 12:30:55,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2021-03-27 12:31:07,CarEvent,CAR 9 (MAZ) SPUN AND CONTINUED AT TURN 7,,,,,9,
2021-03-27 13:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-03-27 13:00:18,Other,CAR 22 (TSU) TIME 1:32.677 DELETED - TRACK LIMITS AT TURN 4,,,,,,
