Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
23.231,13.8,38.2,1014.3,False,27.6,79,0.8
83.231,13.7,37.0,1014.2,False,26.9,76,0.8
143.227,13.5,37.9,1014.2,False,26.5,79,0.7
203.23,13.5,37.4,1014.3,False,25.8,83,0.8
263.23,13.3,38.1,1014.4,False,25.8,106,0.7
323.227,13.3,38.1,1014.3,False,25.9,74,0.6
383.229,13.4,38.3,1014.3,False,27.0,111,0.7
443.229,13.6,38.6,1014.4,False,27.6,89,1.0
503.231,13.7,37.2,1014.3,False,27.4,76,0.8
563.229,13.8,37.1,1014.3,False,26.5,85,0.9
623.23,13.9,36.9,1014.4,False,26.0,79,1.1
683.227,13.7,37.0,1014.3,False,25.5,87,0.8
743.233,13.6,36.9,1014.3,False,25.4,87,0.8
803.229,13.6,38.1,1014.2,False,25.2,86,0.9
863.233,13.5,38.5,1014.2,False,25.0,82,0.8
923.227,13.5,38.5,1014.2,False,24.7,80,0.6
983.232,13.5,38.3,1014.3,False,24.7,73,0.7
1043.229,13.5,37.2,1014.2,False,24.8,80,0.8
1103.229,13.5,36.5,1014.2,False,24.9,85,1.2
1163.229,13.5,36.9,1014.3,False,24.8,81,1.2
1223.229,13.6,36.5,1014.2,False,24.5,78,1.1
1283.23,13.6,37.3,1014.3,False,23.6,71,1.2
1343.233,13.6,37.3,1014.3,False,23.5,73,0.9
1403.229,13.8,37.6,1014.3,False,23.5,83,1.1
1463.22,13.8,37.1,1014.2,False,24.6,84,1.2
1523.229,13.9,36.2,1014.2,False,25.1,92,1.0
1583.231,13.8,37.4,1014.2,False,25.8,80,1.1
1643.23,13.9,35.7,1014.1,False,25.8,69,0.9
1703.246,13.9,36.0,1014.0,False,26.2,63,0.8
1763.237,14.0,36.6,1014.1,False,26.2,78,1.1
1823.246,14.0,36.7,1014.2,False,26.0,84,1.2
1883.262,13.9,36.0,1014.2,False,25.0,80,1.1
1943.261,13.8,36.0,1014.2,False,25.0,80,1.1
2003.26,13.7,36.5,1014.0,False,24.3,88,0.9
2063.26,13.5,35.8,1014.2,False,24.3,93,0.8
2123.276,13.4,36.5,1014.1,False,25.3,77,1.0
2183.292,13.3,37.3,1014.2,False,25.3,81,1.1
2243.291,13.2,38.0,1014.3,False,24.4,75,1.0
2303.291,13.2,38.0,1014.2,False,23.9,84,1.0
2363.29,13.3,37.8,1014.2,False,23.4,84,1.0
2423.304,13.3,37.9,1014.0,False,24.8,77,1.2
2483.33,13.4,37.5,1014.0,False,24.8,87,1.2
2543.346,13.7,37.4,1014.2,False,25.2,78,1.1
2603.36,13.9,36.7,1014.1,False,25.6,77,1.3
2663.354,13.8,37.7,1014.1,False,25.5,91,1.3
2723.353,13.8,38.7,1014.1,False,23.3,91,1.3
2783.355,13.8,38.4,1014.1,False,23.1,84,1.2
2843.354,13.7,38.6,1014.0,False,22.7,86,1.1
2903.355,13.5,38.5,1014.0,False,22.6,77,1.0
2963.353,13.5,37.2,1014.1,False,22.7,86,0.8
3023.356,13.4,37.3,1014.1,False,23.9,74,1.0
3083.355,13.3,37.3,1014.0,False,24.6,91,0.8
3143.352,13.3,38.0,1014.0,False,24.6,82,0.9
3203.353,13.3,37.8,1013.9,False,23.9,82,1.1
3263.355,13.2,37.7,1014.1,False,23.1,74,1.1
3323.354,13.1,38.8,1014.1,False,22.7,83,1.1
3383.358,13.0,37.8,1013.9,False,22.3,91,1.3
3443.36,13.1,38.3,1013.9,False,21.9,84,0.9
3503.355,13.0,38.4,1013.9,False,21.9,83,1.0
3563.354,13.0,39.3,1014.0,False,21.6,91,1.3
3623.356,13.1,39.4,1014.0,False,21.6,88,1.0
3683.353,13.1,39.3,1013.9,False,21.5,97,1.1
3743.359,13.1,39.3,1013.9,False,21.5,97,1.1
3803.345,13.3,39.2,1013.9,False,22.5,78,1.0
3863.355,13.5,38.2,1013.8,False,22.9,90,1.4
3923.353,13.5,38.0,1013.9,False,23.2,84,1.3
3983.353,13.5,39.2,1013.9,False,23.2,78,1.3
4043.352,13.5,38.2,1013.9,False,23.0,75,1.4
4103.354,13.7,38.9,1013.9,False,22.3,81,1.5
4163.353,13.8,38.6,1013.9,False,21.5,80,1.3
4223.353,13.7,39.3,1013.8,False,21.5,85,1.4
4283.352,13.8,39.1,1013.7,False,20.9,84,1.1
4343.356,13.6,39.7,1013.9,False,20.9,79,1.2
4403.36,13.6,39.2,1013.9,False,21.4,74,1.0
4463.364,13.5,39.5,1013.9,False,21.2,83,0.8
4523.353,13.3,39.2,1013.8,False,21.2,81,0.7
