Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2108.902,GAS,10,114.003,1.0,1.0,,,,37.569,36.794,,2073.082,2109.993,167.0,234.0,217.0,214.0,False,WET,1.0,True,AlphaTauri,1995.688,2021-04-18 13:03:15.707,124,6.0,False,,False,False
2251.932,GAS,10,143.03,2.0,1.0,,,43.289,51.176,48.565,2153.129,2204.305,2252.87,164.0,66.0,123.0,161.0,True,WET,2.0,True,AlphaTauri,2108.902,2021-04-18 13:05:08.921,4,6.0,False,,False,False
2392.78,GAS,10,140.848,3.0,1.0,,,42.977,51.004,46.867,2295.847,2346.851,2393.718,169.0,78.0,161.0,154.0,True,WET,3.0,True,AlphaTauri,2251.932,2021-04-18 13:07:31.951,4,6.0,False,,False,False
2537.477,GAS,10,144.697,4.0,1.0,,,42.573,53.772,48.352,2436.291,2490.063,2538.415,134.0,72.0,160.0,148.0,False,WET,4.0,True,AlphaTauri,2392.78,2021-04-18 13:09:52.799,4,6.0,False,,False,False
2681.409,GAS,10,143.932,5.0,1.0,,,41.394,54.989,47.549,2579.809,2634.798,2682.347,166.0,92.0,135.0,150.0,False,WET,5.0,True,AlphaTauri,2537.477,2021-04-18 13:12:17.496,4,6.0,False,,False,False
2815.25,GAS,10,133.841,6.0,1.0,,,41.382,46.026,46.433,2723.729,2769.755,2816.188,121.0,129.0,273.0,86.0,True,WET,6.0,True,AlphaTauri,2681.409,2021-04-18 13:14:41.428,41,6.0,False,,False,False
2920.889,GAS,10,105.639,7.0,1.0,,,33.434,37.311,34.894,2849.622,2886.933,2921.827,182.0,237.0,264.0,223.0,True,WET,7.0,True,AlphaTauri,2815.25,2021-04-18 13:16:55.269,1,6.0,False,,False,True
3019.438,GAS,10,98.549,8.0,1.0,,,31.215,34.586,32.748,2953.042,2987.628,3020.376,192.0,242.0,267.0,244.0,True,WET,8.0,True,AlphaTauri,2920.889,2021-04-18 13:18:40.908,1,6.0,False,,False,True
3119.762,GAS,10,100.324,9.0,1.0,,,31.904,35.689,32.731,3052.28,3087.969,3120.7,191.0,241.0,266.0,235.0,False,WET,9.0,True,AlphaTauri,3019.438,2021-04-18 13:20:19.457,1,8.0,False,,False,True
3217.237,GAS,10,97.475,10.0,1.0,,,31.168,34.081,32.226,3151.868,3185.949,3218.175,187.0,241.0,265.0,259.0,True,WET,10.0,True,AlphaTauri,3119.762,2021-04-18 13:21:59.781,12,8.0,False,,False,True
3316.007,GAS,10,98.77,11.0,1.0,,,32.176,34.36,32.234,3250.351,3284.711,3316.945,184.0,243.0,264.0,259.0,False,WET,11.0,True,AlphaTauri,3217.237,2021-04-18 13:23:37.256,1,9.0,False,,False,True
3413.128,GAS,10,97.121,12.0,1.0,,,31.075,33.612,32.434,3348.02,3381.632,3414.066,189.0,245.0,266.0,265.0,True,WET,12.0,True,AlphaTauri,3316.007,2021-04-18 13:25:16.026,1,10.0,False,,False,True
3513.951,GAS,10,100.823,13.0,1.0,,,32.711,35.985,32.127,3446.777,3482.762,3514.889,,245.0,268.0,257.0,False,WET,13.0,True,AlphaTauri,3413.128,2021-04-18 13:26:53.147,12,14.0,False,,False,True
3614.006,GAS,10,100.055,14.0,1.0,,3610.679,30.541,33.379,36.135,3545.43,3578.809,3614.944,191.0,245.0,,264.0,False,WET,14.0,True,AlphaTauri,3513.951,2021-04-18 13:28:33.970,1,17.0,False,,False,False
