Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1696.628,RIC,3,,1.0,1.0,1605.846,,,35.941,28.754,,1667.927,1696.789,250.0,169.0,270.0,,False,SOFT,1.0,True,McLaren,1605.846,2021-05-01 11:13:05.526,1,,False,,False,False
1782.653,RIC,3,86.025,2.0,1.0,,,25.516,33.279,27.23,1722.144,1755.423,1782.653,271.0,178.0,287.0,296.0,True,SOFT,2.0,True,McLaren,1696.628,2021-05-01 11:14:36.308,1,,False,,False,True
1863.181,RIC,3,80.528,3.0,1.0,,,23.224,31.247,26.057,1805.877,1837.124,1863.181,284.0,192.0,287.0,310.0,True,SOFT,3.0,True,McLaren,1782.653,2021-05-01 11:16:02.333,1,,False,,False,True
1966.652,RIC,3,103.471,4.0,1.0,,,31.514,44.037,27.92,1894.695,1938.732,1966.652,175.0,153.0,286.0,291.0,False,SOFT,4.0,True,McLaren,1863.181,2021-05-01 11:17:22.861,1,,False,,False,True
2047.159,RIC,3,80.507,5.0,1.0,,,23.322,31.043,26.142,1989.974,2021.017,2047.159,285.0,192.0,288.0,310.0,True,SOFT,5.0,True,McLaren,1966.652,2021-05-01 11:19:06.332,1,,False,,False,True
2143.072,RIC,3,95.913,6.0,1.0,,,28.057,40.166,27.69,2075.216,2115.382,2143.072,246.0,159.0,288.0,293.0,False,SOFT,6.0,True,McLaren,2047.159,2021-05-01 11:20:26.839,1,,False,,False,True
2223.001,RIC,3,79.929,7.0,1.0,,,23.119,30.793,26.017,2166.191,2196.984,2223.001,284.0,194.0,291.0,312.0,True,SOFT,7.0,True,McLaren,2143.072,2021-05-01 11:22:02.752,1,,False,,False,True
2318.82,RIC,3,95.819,8.0,1.0,,2318.702,27.701,35.238,32.88,2250.702,2285.94,2318.82,266.0,165.0,,180.0,False,SOFT,8.0,True,McLaren,2223.001,2021-05-01 11:23:22.681,1,,False,,False,False
2446.815,RIC,3,127.995,9.0,2.0,2346.38,2443.871,56.865,37.925,33.205,2375.685,2413.61,2446.815,251.0,159.0,,,False,SOFT,9.0,False,McLaren,2318.82,2021-05-01 11:24:58.500,167,,False,,False,False
3171.474,RIC,3,,10.0,3.0,3079.877,,,38.678,28.099,,3143.451,3172.806,264.0,172.0,271.0,,False,SOFT,1.0,True,McLaren,2446.815,2021-05-01 11:27:06.495,12,,False,,False,False
3257.282,RIC,3,85.808,11.0,3.0,,,26.065,33.011,26.732,3197.539,3230.55,3257.282,267.0,184.0,288.0,273.0,False,SOFT,2.0,True,McLaren,3171.474,2021-05-01 11:39:11.154,1,,False,,False,True
3336.864,RIC,3,79.582,12.0,3.0,,,22.987,30.593,26.002,3280.269,3310.862,3336.864,285.0,189.0,290.0,310.0,True,SOFT,3.0,True,McLaren,3257.282,2021-05-01 11:40:36.962,1,,False,,False,True
3433.599,RIC,3,96.735,13.0,3.0,,,30.198,38.28,28.257,3367.062,3405.342,3433.599,243.0,152.0,289.0,261.0,False,SOFT,4.0,True,McLaren,3336.864,2021-05-01 11:41:56.544,1,,False,,False,True
3522.425,RIC,3,88.826,14.0,3.0,,,23.058,38.082,27.686,3456.657,3494.739,3522.425,286.0,158.0,289.0,308.0,False,SOFT,5.0,True,McLaren,3433.599,2021-05-01 11:43:33.279,1,,False,,False,True
3610.225,RIC,3,87.8,15.0,3.0,,3607.741,23.026,30.793,33.981,3545.451,3576.244,3610.225,,191.0,,311.0,False,SOFT,6.0,True,McLaren,3522.425,2021-05-01 11:45:02.105,12,,False,,False,False
4317.33,RIC,3,,16.0,4.0,4225.715,4314.268,,33.773,31.917,,4285.469,4317.517,262.0,170.0,,,False,SOFT,7.0,False,McLaren,3610.225,2021-05-01 11:46:29.905,12,,False,,False,False
4441.902,RIC,3,124.572,17.0,5.0,4341.684,,55.973,38.804,29.795,4373.303,4412.107,4441.902,201.0,154.0,278.0,,False,SOFT,10.0,False,McLaren,4317.33,2021-05-01 11:58:17.010,12,,False,,False,False
4543.387,RIC,3,101.485,18.0,5.0,,,25.894,32.904,42.687,4467.796,4500.7,4543.387,268.0,158.0,55.0,286.0,False,SOFT,11.0,False,McLaren,4441.902,2021-05-01 12:00:21.582,1,,False,,False,True
4667.61,RIC,3,124.223,19.0,5.0,,4667.17,58.885,34.005,31.333,4602.272,4636.277,4667.61,240.0,174.0,,244.0,False,SOFT,12.0,False,McLaren,4543.387,2021-05-01 12:02:03.067,1,,False,,False,False
1869.508,NOR,4,,1.0,1.0,1770.153,,,38.75,27.919,,1841.696,1869.688,270.0,162.0,283.0,,False,SOFT,1.0,True,McLaren,1770.153,2021-05-01 11:15:49.833,1,,False,,False,False
1958.492,NOR,4,88.984,2.0,1.0,,,27.615,33.849,27.52,1897.123,1930.972,1958.492,274.0,174.0,283.0,307.0,True,SOFT,2.0,True,McLaren,1869.508,2021-05-01 11:17:29.188,1,,False,,False,True
2038.657,NOR,4,80.165,3.0,1.0,,,23.305,30.647,26.213,1981.797,2012.444,2038.657,286.0,190.0,288.0,308.0,True,SOFT,3.0,True,McLaren,1958.492,2021-05-01 11:18:58.172,1,,False,,False,True
2135.795,NOR,4,97.138,4.0,1.0,,,29.762,39.345,28.031,2068.419,2107.764,2135.795,244.0,83.0,286.0,278.0,False,SOFT,4.0,True,McLaren,2038.657,2021-05-01 11:20:18.337,1,,False,,False,True
2216.055,NOR,4,80.26,5.0,1.0,,,23.079,30.807,26.374,2158.874,2189.681,2216.055,285.0,191.0,288.0,309.0,False,SOFT,5.0,True,McLaren,2135.795,2021-05-01 11:21:55.475,1,,False,,False,True
2313.445,NOR,4,97.39,6.0,1.0,,,29.043,40.241,28.106,2245.098,2285.339,2313.445,251.0,163.0,286.0,277.0,False,SOFT,6.0,True,McLaren,2216.055,2021-05-01 11:23:15.735,1,,False,,False,True
2421.916,NOR,4,108.471,7.0,1.0,,,29.495,46.153,32.823,2342.94,2389.093,2421.916,181.0,136.0,291.0,310.0,False,SOFT,7.0,True,McLaren,2313.445,2021-05-01 11:24:53.125,167,,False,,False,False
2514.158,NOR,4,92.242,8.0,1.0,,2511.205,26.245,34.452,31.545,2448.161,2482.613,2514.158,261.0,182.0,,313.0,False,SOFT,8.0,True,McLaren,2421.916,2021-05-01 11:26:41.596,1,,False,,False,False
2625.591,NOR,4,111.433,9.0,2.0,2538.277,2622.672,47.79,32.386,31.257,2561.948,2594.334,2625.591,272.0,184.0,,,False,SOFT,9.0,False,McLaren,2514.158,2021-05-01 11:28:13.838,12,,False,,False,False
