Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1214.748,BOT,77,,1.0,1.0,1127.514,,,33.384,29.446,,1185.324,1215.037,261.0,178.0,294.0,,False,SOFT,1.0,True,Mercedes,1127.514,2021-05-01 14:03:48.377,1,,False,,False,False
1294.236,BOT,77,79.488,2.0,1.0,,,22.795,30.439,26.254,1237.543,1267.982,1294.236,288.0,174.0,296.0,310.0,True,SOFT,2.0,True,Mercedes,1214.748,2021-05-01 14:05:15.611,1,,False,,False,True
1393.778,BOT,77,99.542,3.0,1.0,,,30.627,41.947,26.968,1324.863,1366.81,1393.778,188.0,181.0,294.0,287.0,False,SOFT,3.0,True,Mercedes,1294.236,2021-05-01 14:06:35.099,1,,False,,False,True
1472.983,BOT,77,79.205,4.0,1.0,,,22.87,30.288,26.047,1416.648,1446.936,1472.983,288.0,185.0,295.0,311.0,True,SOFT,4.0,True,Mercedes,1393.778,2021-05-01 14:08:14.641,1,,False,,False,True
1572.503,BOT,77,99.52,5.0,1.0,,1569.0,26.258,35.71,37.552,1499.241,1534.951,1572.503,255.0,170.0,,288.0,False,SOFT,5.0,True,Mercedes,1472.983,2021-05-01 14:09:33.846,12,,False,,False,False
1906.667,BOT,77,,6.0,2.0,1811.721,,,37.048,29.9,,1876.867,1906.939,78.0,165.0,294.0,,False,SOFT,6.0,False,Mercedes,1572.503,2021-05-01 14:11:13.366,12,,False,,False,False
1985.389,BOT,77,78.722,7.0,2.0,,,22.719,29.985,26.018,1929.386,1959.371,1985.389,286.0,194.0,299.0,308.0,True,SOFT,7.0,False,Mercedes,1906.667,2021-05-01 14:16:47.530,1,,False,,False,True
2087.275,BOT,77,101.886,8.0,2.0,,2084.291,27.118,38.152,36.616,2012.507,2050.659,2087.275,259.0,157.0,,248.0,False,SOFT,8.0,False,Mercedes,1985.389,2021-05-01 14:18:06.252,1,,False,,False,False
2507.307,BOT,77,,9.0,3.0,2418.111,,,35.205,27.294,,2480.044,2507.365,270.0,172.0,288.0,,False,MEDIUM,1.0,True,Mercedes,2087.275,2021-05-01 14:19:48.138,1,,False,,False,False
2591.076,BOT,77,83.769,10.0,3.0,,,24.345,32.608,26.816,2531.652,2564.26,2591.076,277.0,180.0,295.0,310.0,True,MEDIUM,2.0,True,Mercedes,2507.307,2021-05-01 14:26:48.170,1,,False,,False,True
2669.534,BOT,77,78.458,11.0,3.0,,,22.677,30.075,25.706,2613.753,2643.828,2669.534,286.0,198.0,296.0,,True,MEDIUM,3.0,True,Mercedes,2591.076,2021-05-01 14:28:11.939,1,,False,,False,True
2771.049,BOT,77,101.515,12.0,3.0,,2767.973,26.636,41.121,33.758,2696.17,2737.291,2771.049,254.0,178.0,,291.0,False,MEDIUM,4.0,True,Mercedes,2669.534,2021-05-01 14:29:30.397,1,,False,,False,False
3113.023,BOT,77,,13.0,4.0,3029.095,,,32.179,28.308,,3084.715,3113.056,264.0,184.0,293.0,,False,SOFT,1.0,True,Mercedes,2771.049,2021-05-01 14:31:11.912,1,,False,,False,False
