Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
31.507,22.3,55.0,994.5,False,34.1,252,0.2
91.508,22.1,55.9,994.8,False,33.6,272,0.5
151.507,22.1,56.9,995.0,False,33.3,209,0.4
211.505,21.9,57.2,995.1,False,32.9,243,0.4
271.511,21.9,57.4,995.2,False,32.8,212,0.4
331.508,21.8,57.0,995.2,False,32.8,248,0.2
391.507,21.8,57.1,995.2,False,33.0,22,0.2
451.509,21.6,57.0,995.2,False,33.0,81,0.3
511.523,21.6,58.1,995.1,False,32.9,12,0.1
571.538,21.8,56.9,995.0,False,32.9,3,0.2
631.552,21.8,56.9,994.9,False,33.0,108,0.2
691.554,21.7,56.7,994.9,False,33.0,40,0.2
751.554,21.7,56.5,994.9,False,32.8,48,0.2
811.569,21.7,56.3,994.9,False,32.8,43,0.4
871.588,21.6,56.2,994.7,False,32.5,60,0.4
931.608,21.6,56.6,994.6,False,32.2,56,0.5
991.617,21.6,56.3,994.5,False,32.2,40,0.3
1051.641,21.6,56.2,994.3,False,32.2,18,0.3
1111.631,21.6,56.5,994.2,False,32.2,57,0.2
1171.632,21.6,56.7,994.2,False,31.9,38,0.4
1231.634,21.4,55.9,994.1,False,31.9,19,0.8
1291.633,21.4,57.2,994.1,False,31.8,43,0.5
1351.645,21.3,57.9,994.1,False,31.4,51,0.5
1411.629,21.3,57.9,994.2,False,31.3,51,0.4
1471.634,21.3,57.9,994.3,False,31.3,82,0.4
1531.632,21.3,57.9,994.4,False,31.6,64,0.3
1591.647,21.4,57.3,994.5,False,31.6,137,0.1
1651.663,21.4,58.1,994.6,False,31.4,123,0.1
1711.679,21.3,57.7,994.5,False,31.4,29,0.1
1771.677,21.3,57.7,994.4,False,31.2,51,0.1
1831.679,21.4,57.9,994.5,False,31.2,0,0.1
1891.679,21.5,57.9,994.5,False,31.5,0,0.0
1951.679,21.4,57.9,994.4,False,31.5,296,0.0
2011.696,21.4,57.8,994.3,False,31.7,25,0.2
2071.71,21.5,57.7,994.4,False,31.7,233,0.1
2131.728,21.5,58.6,994.5,False,31.6,84,0.3
2191.727,21.7,58.0,994.8,False,31.6,233,0.2
2251.725,21.7,57.9,994.8,False,31.8,172,0.4
2311.726,21.8,58.0,995.0,False,31.7,116,0.2
2371.753,21.8,58.5,994.8,False,31.6,71,0.5
2431.742,21.8,57.9,994.8,False,31.6,61,0.3
2491.742,21.8,58.4,994.6,False,31.0,41,0.2
2551.742,21.7,58.1,994.4,False,31.4,57,0.5
2611.761,21.7,58.1,994.5,False,30.8,173,0.5
2671.782,21.6,58.2,994.4,False,30.7,66,0.7
2731.756,21.7,58.1,994.4,False,31.0,52,0.6
2791.759,21.7,57.4,994.2,False,31.0,71,0.6
2851.757,21.7,57.5,994.0,False,31.3,58,0.5
2911.757,21.8,57.7,994.1,False,31.3,103,0.6
2971.757,21.8,57.7,993.9,False,31.4,61,0.3
3031.757,21.9,57.3,993.8,False,31.6,135,0.2
3091.767,21.9,57.7,993.8,False,31.8,41,0.5
3151.757,21.9,57.1,993.6,False,32.2,78,0.4
3211.757,22.0,57.7,993.7,False,32.5,92,0.4
3271.756,22.0,57.0,993.9,False,32.7,70,0.6
3331.756,22.3,56.4,993.9,False,32.7,58,0.5
3391.759,22.3,55.9,993.8,False,32.7,73,0.4
3451.755,22.3,56.0,993.7,False,32.4,78,0.3
3511.758,22.3,56.6,993.7,False,32.4,338,0.3
3571.766,22.3,55.9,993.6,False,32.4,69,0.7
3631.771,22.3,57.5,993.7,False,32.2,69,0.5
3691.787,22.3,57.0,993.5,False,31.9,20,0.7
3751.803,22.4,57.1,993.7,False,32.2,61,0.5
3811.802,22.4,57.4,993.7,False,32.2,74,0.6
3871.804,22.4,58.1,993.7,False,32.1,113,0.7
3931.804,22.3,57.6,993.6,False,31.8,55,0.5
3991.805,22.3,57.4,993.5,False,31.9,56,0.6
4051.819,22.2,57.4,993.5,False,31.9,56,0.6
4111.804,22.2,57.4,993.5,False,31.9,56,0.6
4171.804,22.0,57.4,993.5,False,31.9,56,0.6
4231.811,22.1,57.4,993.5,False,31.9,56,0.6
4291.82,22.3,56.8,993.6,False,32.8,73,0.3
4351.834,22.4,56.3,993.5,False,32.6,9,0.2
4411.851,22.5,58.4,993.7,False,32.9,66,0.1
4471.85,22.6,57.1,993.6,False,33.2,41,0.3
4531.861,22.7,57.1,993.6,False,33.8,16,0.3
4591.85,22.7,56.9,993.7,False,34.0,184,0.4
4651.867,22.7,56.6,993.6,False,34.4,75,0.4
4711.864,22.9,55.8,993.6,False,34.6,42,0.2
4771.881,22.9,54.2,993.5,False,34.7,28,0.6
4831.882,22.6,56.5,993.5,False,34.4,35,0.4
4891.885,22.6,57.6,993.4,False,33.2,57,0.4
4951.881,22.8,56.7,993.4,False,33.3,3,0.5
5011.885,22.8,56.7,993.3,False,33.6,67,0.3
5071.884,22.7,57.0,993.4,False,33.6,32,0.8
5131.898,22.6,58.1,993.3,False,33.5,34,0.5
