Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
10.1,20.0,58.0,1018.8,False,36.5,332,0.2
70.094,19.8,57.1,1018.7,False,36.6,0,0.2
130.107,19.8,57.7,1018.9,False,36.8,356,0.1
190.107,20.0,57.7,1018.8,False,37.5,312,0.1
250.104,20.0,57.2,1018.8,False,37.6,340,0.3
310.108,20.0,57.3,1018.8,False,37.5,107,0.3
370.104,19.8,56.7,1018.8,False,37.5,344,0.3
430.106,19.8,56.7,1018.7,False,37.9,322,0.3
490.108,19.8,56.1,1018.8,False,37.9,319,0.2
550.106,20.0,55.1,1018.8,False,38.2,173,0.1
610.113,19.9,56.6,1018.8,False,38.2,170,0.1
670.108,19.9,57.4,1018.8,False,38.2,174,0.3
730.105,19.9,53.5,1018.8,False,38.2,317,0.2
790.107,19.9,56.1,1018.8,False,38.6,0,0.1
850.107,19.9,58.9,1018.8,False,38.5,293,0.0
910.108,19.7,59.2,1018.8,False,38.2,2,0.2
970.106,19.6,60.0,1018.9,False,38.4,319,0.1
1030.106,19.7,60.0,1018.8,False,38.6,326,0.3
1090.11,19.7,59.5,1018.8,False,38.6,272,0.3
1150.107,19.7,59.3,1018.9,False,38.6,176,0.1
1210.097,19.8,58.5,1018.9,False,38.6,53,0.2
1270.108,19.6,59.9,1018.8,False,38.9,197,0.2
1330.107,19.7,60.6,1018.9,False,38.6,57,0.3
1390.106,19.8,61.2,1018.8,False,37.6,161,0.0
1450.107,20.0,60.5,1019.0,False,38.4,272,0.1
1510.108,20.1,58.7,1018.9,False,38.5,235,0.1
1570.106,20.1,55.2,1019.0,False,38.5,169,0.3
1630.114,20.0,57.3,1019.0,False,38.1,80,0.1
1690.106,20.0,55.9,1018.9,False,38.3,187,0.3
1750.106,20.1,54.0,1019.0,False,38.8,154,0.5
1810.121,20.2,54.7,1019.0,False,38.8,160,0.3
1870.107,20.2,54.1,1018.9,False,38.2,142,0.5
1930.107,20.2,53.8,1019.0,False,38.2,26,0.3
1990.106,20.2,54.3,1018.9,False,38.5,177,0.2
2050.112,20.4,53.8,1019.0,False,38.8,108,0.3
2110.108,20.3,55.4,1019.0,False,38.5,153,0.1
2170.116,20.3,55.1,1018.9,False,38.2,154,0.2
2230.129,20.5,52.4,1019.0,False,38.6,169,0.2
2290.123,20.6,50.2,1019.0,False,39.3,305,0.3
2350.122,20.5,51.3,1019.0,False,39.5,187,0.1
2410.14,20.5,48.6,1019.1,False,39.1,290,0.3
2470.155,20.4,50.7,1019.0,False,39.1,335,0.4
2530.155,20.3,51.7,1018.9,False,39.1,338,0.2
2590.153,20.4,51.7,1019.0,False,39.1,343,0.2
2650.154,20.4,50.5,1019.0,False,39.1,321,0.1
2710.159,20.5,51.4,1019.0,False,39.6,0,0.2
2770.186,20.6,51.1,1019.0,False,39.8,254,0.1
2830.2,20.6,52.1,1019.1,False,40.2,349,0.2
2890.216,20.6,51.6,1019.0,False,40.0,94,0.2
2950.231,20.5,54.0,1019.1,False,40.0,123,0.2
3010.246,20.4,55.8,1019.1,False,39.8,36,0.2
3070.247,20.5,55.5,1019.2,False,39.4,355,0.1
3130.266,20.6,54.4,1019.1,False,40.0,246,0.1
3190.254,20.6,54.5,1019.2,False,40.2,326,0.2
3250.279,20.5,54.0,1019.2,False,39.9,309,0.4
3310.293,20.4,57.5,1019.1,False,39.9,0,0.1
3370.311,20.5,56.9,1019.2,False,39.9,333,0.1
3430.318,20.4,57.5,1019.1,False,39.6,328,0.3
3490.323,20.2,58.6,1019.1,False,39.5,284,0.3
3550.324,20.3,56.6,1019.2,False,39.5,321,0.2
3610.323,20.2,55.9,1019.2,False,39.8,194,0.3
3670.34,20.3,56.5,1019.1,False,39.8,150,0.2
3730.341,20.3,54.3,1019.2,False,39.8,0,0.2
3790.343,20.5,51.5,1019.2,False,40.2,4,0.1
3850.359,20.7,50.1,1019.2,False,40.7,128,0.2
3910.351,20.7,50.1,1019.2,False,40.7,128,0.2
3970.357,20.7,53.4,1019.2,False,40.3,124,0.2
4030.358,20.6,54.5,1019.2,False,39.9,151,0.1
4090.373,20.3,53.6,1019.2,False,40.0,164,0.3
4150.391,20.2,54.6,1019.2,False,39.7,349,0.4
4210.403,20.2,51.9,1019.3,False,39.7,165,0.2
4270.402,20.4,50.0,1019.3,False,40.4,354,0.1
4330.415,20.4,49.8,1019.3,False,40.4,263,0.2
4390.407,20.4,51.3,1019.2,False,39.9,206,0.3
4450.42,20.7,51.0,1019.3,False,40.0,35,0.3
4510.417,20.7,51.3,1019.2,False,41.0,80,0.1
4570.458,20.7,51.9,1019.2,False,40.6,153,0.2
4630.449,20.7,51.9,1019.2,False,40.6,153,0.2
4690.475,20.7,47.0,1019.3,False,40.5,330,0.3
4750.466,20.7,47.0,1019.3,False,40.5,330,0.3
4810.468,20.6,44.1,1019.3,False,40.5,179,0.2
