Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1304.688,RIC,3,86.73,1.0,1.0,1218.714,,25.757,39.227,21.746,1243.715,1283.515,1305.377,176.0,178.0,263.0,249.0,False,SOFT,1.0,True,McLaren,1218.714,2021-05-22 10:05:18.723,1,,False,,False,False
1379.48,RIC,3,74.792,2.0,1.0,,,19.854,35.022,19.916,1324.542,1359.564,1379.48,210.0,195.0,268.0,275.0,True,SOFT,2.0,True,McLaren,1304.688,2021-05-22 10:06:44.697,1,,False,,False,True
1468.623,RIC,3,89.143,3.0,1.0,,,23.424,40.685,25.034,1402.904,1443.589,1468.623,187.0,151.0,266.0,263.0,False,SOFT,3.0,True,McLaren,1379.48,2021-05-22 10:07:59.489,1,,False,,False,True
1542.774,RIC,3,74.151,4.0,1.0,,,19.533,34.882,19.736,1488.156,1523.038,1542.774,209.0,199.0,269.0,278.0,True,SOFT,4.0,True,McLaren,1468.623,2021-05-22 10:09:28.632,1,,False,,False,True
1640.249,RIC,3,97.475,5.0,1.0,,,23.347,48.471,25.657,1566.121,1614.592,1640.249,156.0,151.0,267.0,254.0,False,SOFT,5.0,True,McLaren,1542.774,2021-05-22 10:10:42.783,1,,False,,False,True
1713.829,RIC,3,73.58,6.0,1.0,,,19.471,34.473,19.636,1659.72,1694.193,1713.829,212.0,201.0,268.0,278.0,True,SOFT,6.0,True,McLaren,1640.249,2021-05-22 10:12:20.258,1,,False,,False,True
1817.914,RIC,3,104.085,7.0,1.0,,,23.101,44.462,36.522,1736.93,1781.392,1817.914,157.0,159.0,265.0,258.0,False,SOFT,7.0,True,McLaren,1713.829,2021-05-22 10:13:33.838,1,,False,,False,True
1891.35,RIC,3,73.436,8.0,1.0,,,19.403,34.532,19.501,1837.317,1871.849,1891.35,212.0,201.0,269.0,279.0,True,SOFT,8.0,True,McLaren,1817.914,2021-05-22 10:15:17.923,1,,False,,False,True
1977.527,RIC,3,86.177,9.0,1.0,,,22.372,39.665,24.14,1913.722,1953.387,1977.527,178.0,155.0,268.0,266.0,False,SOFT,9.0,True,McLaren,1891.35,2021-05-22 10:16:31.359,1,,True,TRACK LIMITS AT TURN 10,False,True
2050.745,RIC,3,73.218,10.0,1.0,,,19.298,34.353,19.567,1996.825,2031.178,2050.745,216.0,198.0,269.0,280.0,True,SOFT,10.0,True,McLaren,1977.527,2021-05-22 10:17:57.536,1,,False,,False,True
2142.236,RIC,3,91.491,11.0,1.0,,,22.665,43.402,25.424,2073.41,2116.812,2142.236,143.0,143.0,268.0,269.0,False,SOFT,11.0,True,McLaren,2050.745,2021-05-22 10:19:10.754,1,,True,TRACK LIMITS AT TURN 10,False,True
2223.664,RIC,3,81.428,12.0,1.0,,,19.543,38.751,23.134,2161.779,2200.53,2223.664,215.0,151.0,267.0,261.0,False,SOFT,12.0,True,McLaren,2142.236,2021-05-22 10:20:42.245,1,,False,,False,True
2948.811,RIC,3,,13.0,1.0,,2305.825,19.258,42.458,,2242.948,2285.433,,220.0,149.0,,252.0,False,SOFT,13.0,True,McLaren,2223.664,2021-05-22 10:22:03.673,1,,False,,False,False
3034.706,RIC,3,85.895,14.0,2.0,2949.531,,25.966,38.828,21.101,2974.777,3013.605,3034.706,190.0,185.0,263.0,256.0,False,SOFT,1.0,True,McLaren,2948.811,2021-05-22 10:34:08.820,1,,False,,False,False
3111.476,RIC,3,76.77,15.0,2.0,,,19.481,35.277,22.012,3054.187,3089.464,3111.476,207.0,170.0,264.0,255.0,False,SOFT,2.0,True,McLaren,3034.706,2021-05-22 10:35:34.715,1,,True,TRACK LIMITS AT TURN 10,False,True
3184.869,RIC,3,73.393,16.0,2.0,,,19.276,34.446,19.671,3130.752,3165.198,3184.869,217.0,202.0,267.0,277.0,False,SOFT,3.0,True,McLaren,3111.476,2021-05-22 10:36:51.485,1,,False,,False,True
3279.421,RIC,3,94.552,17.0,2.0,,,25.387,43.771,25.394,3210.256,3254.027,3279.421,177.0,152.0,267.0,265.0,False,SOFT,4.0,True,McLaren,3184.869,2021-05-22 10:38:04.878,1,,True,TRACK LIMITS AT TURN 10,False,True
3364.201,RIC,3,84.78,18.0,2.0,,,23.188,37.978,23.614,3302.609,3340.587,3364.201,192.0,180.0,265.0,263.0,False,SOFT,5.0,True,McLaren,3279.421,2021-05-22 10:39:39.430,12,,False,,False,True
3437.16,RIC,3,72.959,19.0,2.0,,,19.179,34.276,19.504,3383.38,3417.656,3437.16,214.0,204.0,270.0,280.0,True,SOFT,6.0,True,McLaren,3364.201,2021-05-22 10:41:04.210,12,,False,,False,True
4040.504,RIC,3,,20.0,2.0,,3544.347,,,,,,,,,,,False,SOFT,7.0,True,McLaren,3437.16,2021-05-22 10:42:17.169,251,,False,,False,False
4136.065,RIC,3,95.561,21.0,3.0,4042.489,,25.083,42.418,28.06,4065.587,4108.005,4136.065,192.0,182.0,260.0,172.0,False,SOFT,8.0,False,McLaren,4042.489,2021-05-22 10:52:22.498,1,,False,,False,False
4215.146,RIC,3,79.081,22.0,3.0,,,19.376,35.359,24.346,4155.441,4190.8,4215.146,212.0,183.0,266.0,281.0,False,SOFT,9.0,False,McLaren,4136.065,2021-05-22 10:53:56.074,1,,False,,False,True
4293.854,RIC,3,78.708,23.0,3.0,,,19.135,35.648,23.925,4234.281,4269.929,4293.854,217.0,161.0,266.0,280.0,False,SOFT,10.0,False,McLaren,4215.146,2021-05-22 10:55:15.155,1,,True,TRACK LIMITS AT TURN 10,False,True
4371.737,RIC,3,77.883,24.0,3.0,,,19.446,35.48,22.957,4313.3,4348.78,4371.737,,174.0,266.0,282.0,False,SOFT,11.0,False,McLaren,4293.854,2021-05-22 10:56:33.863,12,,False,,False,True
1484.576,NOR,4,99.527,1.0,1.0,1385.867,,31.247,44.581,23.699,1416.315,1463.804,1484.731,161.0,182.0,263.0,254.0,False,SOFT,1.0,True,McLaren,1385.867,2021-05-22 10:08:05.876,1,,False,,False,False
1558.787,NOR,4,74.211,2.0,1.0,,,19.731,34.994,19.486,1504.307,1539.301,1558.787,207.0,197.0,266.0,276.0,True,SOFT,2.0,True,McLaren,1484.576,2021-05-22 10:09:44.585,1,,False,,False,True
1662.955,NOR,4,104.168,3.0,1.0,,,24.626,38.619,40.923,1583.413,1622.032,1662.955,189.0,185.0,262.0,260.0,False,SOFT,3.0,True,McLaren,1558.787,2021-05-22 10:10:58.796,1,,False,,False,True
1736.11,NOR,4,73.155,4.0,1.0,,,19.516,34.323,19.316,1682.471,1716.794,1736.11,217.0,201.0,265.0,277.0,True,SOFT,4.0,True,McLaren,1662.955,2021-05-22 10:12:42.964,1,,False,,False,True
1830.069,NOR,4,93.959,5.0,1.0,,,21.049,43.314,29.596,1757.159,1800.473,1830.069,197.0,165.0,266.0,241.0,False,SOFT,5.0,True,McLaren,1736.11,2021-05-22 10:13:56.119,1,,False,,False,True
1902.672,NOR,4,72.603,6.0,1.0,,,19.132,34.259,19.212,1849.201,1883.46,1902.672,218.0,202.0,266.0,280.0,True,SOFT,6.0,True,McLaren,1830.069,2021-05-22 10:15:30.078,1,,False,,False,True
1997.32,NOR,4,94.648,7.0,1.0,,,21.496,48.403,24.749,1924.168,1972.571,1997.32,188.0,148.0,265.0,239.0,False,SOFT,7.0,True,McLaren,1902.672,2021-05-22 10:16:42.681,1,,False,,False,True
2078.981,NOR,4,81.661,8.0,1.0,,,19.117,34.096,28.448,2016.437,2050.533,2078.981,218.0,200.0,198.0,277.0,False,SOFT,8.0,True,McLaren,1997.32,2021-05-22 10:18:17.329,1,,False,,False,True
2168.97,NOR,4,89.989,9.0,1.0,,,22.618,43.488,23.883,2101.599,2145.087,2168.97,188.0,131.0,267.0,243.0,False,SOFT,9.0,True,McLaren,2078.981,2021-05-22 10:19:38.990,1,,False,,False,True
2241.25,NOR,4,72.28,10.0,1.0,,,19.125,34.002,19.153,2188.095,2222.097,2241.25,221.0,205.0,266.0,276.0,True,SOFT,10.0,True,McLaren,2168.97,2021-05-22 10:21:08.979,1,,False,,False,True
2329.422,NOR,4,88.172,11.0,1.0,,,21.084,39.625,27.463,2262.334,2301.959,2329.422,185.0,166.0,266.0,264.0,False,SOFT,11.0,True,McLaren,2241.25,2021-05-22 10:22:21.259,1,,False,,False,True
3104.737,NOR,4,,12.0,1.0,,2400.167,18.984,34.349,,2348.459,2382.81,,223.0,157.0,,277.0,False,SOFT,12.0,True,McLaren,2329.422,2021-05-22 10:23:49.431,1,,False,,False,False
3197.205,NOR,4,92.468,13.0,2.0,3105.814,,29.066,39.201,24.201,3133.803,3173.004,3197.205,187.0,187.0,264.0,239.0,False,SOFT,1.0,True,McLaren,3104.737,2021-05-22 10:36:44.746,1,,False,,False,False
3270.277,NOR,4,73.072,14.0,2.0,,,19.412,34.209,19.451,3216.617,3250.826,3270.277,218.0,202.0,266.0,278.0,False,SOFT,2.0,True,McLaren,3197.205,2021-05-22 10:38:17.214,1,,False,,False,True
3359.543,NOR,4,89.266,15.0,2.0,,,23.402,38.504,27.36,3293.679,3332.183,3359.543,199.0,191.0,266.0,262.0,False,SOFT,3.0,True,McLaren,3270.277,2021-05-22 10:39:30.286,12,,False,,False,True
3431.531,NOR,4,71.988,16.0,2.0,,,19.075,33.767,19.146,3378.618,3412.385,3431.531,221.0,201.0,270.0,277.0,True,SOFT,4.0,True,McLaren,3359.543,2021-05-22 10:40:59.552,12,,False,,False,True
4132.012,NOR,4,,17.0,2.0,,3540.459,,,,,,,,,,,False,SOFT,5.0,True,McLaren,3431.531,2021-05-22 10:42:11.540,125,,False,,False,False
4236.522,NOR,4,104.51,18.0,3.0,4132.719,4213.478,26.914,38.176,39.42,4158.926,4197.102,4236.522,186.0,178.0,,266.0,False,SOFT,13.0,False,McLaren,4132.719,2021-05-22 10:53:52.728,1,,False,,False,False
4321.022,NOR,4,84.5,19.0,4.0,4237.279,,23.805,35.793,24.902,4260.327,4296.12,4321.022,178.0,189.0,265.0,261.0,False,SOFT,6.0,False,McLaren,4236.522,2021-05-22 10:55:36.531,1,,False,,False,False
4398.48,NOR,4,,20.0,4.0,,4398.48,19.106,,,4340.202,,,221.0,,,276.0,False,SOFT,7.0,False,McLaren,4321.022,2021-05-22 10:57:01.031,125,,False,,False,False
1597.51,VET,5,86.751,1.0,1.0,1511.536,,26.531,37.569,22.651,1537.52,1574.878,1598.626,179.0,180.0,265.0,257.0,False,SOFT,1.0,True,Aston Martin,1511.536,2021-05-22 10:10:11.545,1,,False,,False,False
1672.655,VET,5,75.145,2.0,1.0,,,19.667,35.384,20.094,1617.177,1652.561,1672.655,211.0,195.0,268.0,275.0,True,SOFT,2.0,True,Aston Martin,1597.51,2021-05-22 10:11:37.519,1,,False,,False,True
1757.868,VET,5,85.213,3.0,1.0,,,22.578,38.727,23.908,1695.233,1733.96,1757.868,173.0,167.0,266.0,262.0,False,SOFT,3.0,True,Aston Martin,1672.655,2021-05-22 10:12:52.664,1,,False,,False,True
1831.592,VET,5,73.724,4.0,1.0,,,19.515,34.477,19.732,1777.383,1811.86,1831.592,214.0,199.0,269.0,275.0,True,SOFT,4.0,True,Aston Martin,1757.868,2021-05-22 10:14:17.877,1,,False,,False,True
1932.039,VET,5,100.447,5.0,1.0,,,22.794,45.048,32.605,1854.386,1899.434,1932.039,155.0,53.0,266.0,254.0,False,SOFT,5.0,True,Aston Martin,1831.592,2021-05-22 10:15:31.601,1,,False,,False,True
