Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
20.091,18.8,72.4,1013.2,False,34.4,300,0.1
80.093,18.7,73.2,1013.3,False,33.9,277,0.3
140.11,18.6,74.1,1013.2,False,33.9,313,0.3
200.091,18.6,74.6,1013.2,False,33.7,307,0.3
260.1,18.6,75.8,1013.1,False,33.7,311,0.2
320.122,18.9,74.6,1013.1,False,33.7,331,0.4
380.139,18.9,74.5,1013.1,False,34.1,319,0.3
440.138,18.9,73.8,1013.1,False,34.5,331,0.2
500.14,19.0,71.8,1013.0,False,35.1,347,0.2
560.14,19.0,69.7,1013.0,False,35.0,160,0.2
620.141,18.9,71.3,1013.0,False,34.9,185,0.3
680.139,18.8,71.6,1013.0,False,35.0,212,0.1
740.14,18.8,71.9,1013.1,False,35.0,171,0.1
800.155,18.9,72.2,1013.0,False,34.7,202,0.1
860.17,18.9,72.3,1013.1,False,34.4,198,0.1
920.2,18.8,71.4,1013.1,False,34.3,47,0.1
980.171,18.7,72.8,1013.0,False,33.7,270,0.0
1040.185,18.8,72.7,1013.1,False,33.7,315,0.2
1100.191,18.7,73.4,1013.0,False,33.4,119,0.1
1160.204,18.7,74.0,1013.1,False,33.4,338,0.1
1220.2,18.5,73.7,1013.0,False,33.4,137,0.2
1280.204,18.6,72.6,1012.9,False,33.5,224,0.2
1340.217,18.7,72.2,1012.9,False,34.5,0,0.2
1400.215,19.0,70.2,1012.9,False,34.7,163,0.4
1460.217,19.2,68.1,1013.0,False,35.4,215,0.2
1520.222,19.2,66.9,1013.1,False,35.4,162,0.2
1580.237,19.5,66.6,1013.1,False,35.3,209,0.3
1640.219,19.5,66.5,1013.0,False,35.2,196,0.1
1700.22,19.4,67.3,1013.1,False,34.5,169,0.3
1760.218,19.2,68.8,1013.1,False,34.1,183,0.1
1820.232,19.2,69.1,1013.0,False,33.1,352,0.2
1880.237,19.4,68.6,1013.0,False,33.1,207,0.3
1940.236,19.2,69.0,1012.9,False,32.7,298,0.2
2000.232,19.2,70.8,1012.9,False,31.7,0,0.3
2060.247,19.1,70.2,1012.9,False,31.5,358,0.1
2120.264,18.9,70.3,1012.9,False,32.4,171,0.2
2180.257,18.9,70.8,1012.9,False,31.6,309,0.2
2240.265,19.0,71.5,1012.9,False,31.9,339,0.1
2300.262,18.9,71.7,1013.0,False,32.2,317,0.4
2360.263,18.8,72.4,1013.0,False,32.3,320,0.4
2420.261,18.7,73.5,1013.0,False,32.6,325,0.3
2480.28,18.7,74.5,1013.0,False,32.7,316,0.4
2540.305,18.6,74.1,1012.9,False,33.2,305,0.5
2600.316,18.6,75.3,1012.9,False,33.2,182,0.4
2660.324,18.6,74.6,1012.9,False,33.1,229,0.2
2720.325,18.6,74.6,1013.0,False,33.1,184,0.2
2780.324,18.7,73.4,1012.9,False,32.6,240,0.3
2840.326,18.8,71.6,1013.0,False,32.7,161,0.2
2900.324,18.8,70.8,1013.0,False,32.6,177,0.5
2960.327,18.9,70.1,1013.1,False,32.6,278,0.2
3020.325,18.9,70.8,1013.2,False,32.5,330,0.1
3080.342,18.7,72.0,1013.2,False,32.7,75,0.0
3140.341,18.7,72.7,1013.2,False,32.9,113,0.1
3200.341,18.6,74.0,1013.1,False,33.4,288,0.2
3260.343,18.6,74.5,1013.0,False,33.3,202,0.4
3320.344,18.6,72.9,1013.1,False,32.9,7,0.3
3380.342,18.8,74.0,1013.1,False,32.9,98,0.1
3440.341,18.9,72.1,1013.0,False,32.7,175,0.3
3500.342,18.9,70.5,1013.0,False,32.7,0,0.2
3560.339,18.7,71.0,1013.1,False,32.0,312,0.1
3620.34,18.6,72.7,1013.0,False,31.2,172,0.2
3680.34,18.5,73.8,1013.1,False,31.0,28,0.3
3740.339,18.3,74.4,1013.1,False,31.0,306,0.1
3800.357,18.2,75.0,1013.1,False,30.6,326,0.2
3860.34,18.3,75.2,1013.1,False,30.6,330,0.2
3920.346,18.3,74.8,1013.1,False,30.5,304,0.3
3980.339,18.3,75.6,1013.1,False,30.5,202,0.2
4040.34,18.3,74.7,1013.1,False,30.5,0,0.1
4100.346,18.4,73.6,1013.0,False,30.6,0,0.3
4160.345,18.4,73.2,1013.0,False,30.7,232,0.2
4220.348,18.4,72.4,1012.9,False,30.7,315,0.2
4280.359,18.5,71.7,1013.0,False,30.7,323,0.1
4340.35,18.5,71.7,1013.0,False,30.3,158,0.4
4400.341,18.4,72.6,1012.9,False,29.4,177,0.3
4460.34,18.3,73.4,1012.8,False,29.3,73,0.2
4520.341,18.2,75.0,1012.9,False,29.1,0,0.1
4580.341,18.2,74.9,1013.0,False,29.1,339,0.2
4640.344,18.2,75.0,1012.9,False,29.1,327,0.3
