Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1113.422,RIC,3,,1.0,1.0,967.632,,,61.216,30.544,,1082.878,1113.614,150.0,56.0,326.0,296.0,False,MEDIUM,1.0,True,McLaren,967.632,2021-06-04 12:01:07.641,1,,False,,False,False
1223.844,RIC,3,110.422,2.0,1.0,,,36.907,43.726,29.789,1150.329,1194.055,1223.844,216.0,171.0,306.0,250.0,True,MEDIUM,2.0,True,McLaren,1113.422,2021-06-04 12:03:33.431,12,,False,,False,True
1358.733,RIC,3,134.889,3.0,1.0,,,49.866,57.784,27.239,1273.71,1331.494,1358.733,174.0,130.0,328.0,300.0,False,MEDIUM,3.0,True,McLaren,1223.844,2021-06-04 12:05:23.853,12,,False,,False,True
1462.628,RIC,3,103.895,4.0,1.0,,,36.502,42.267,25.126,1395.235,1437.502,1462.628,223.0,222.0,332.0,316.0,True,MEDIUM,4.0,True,McLaren,1358.733,2021-06-04 12:07:38.742,12,,False,,False,True
1600.616,RIC,3,137.988,5.0,1.0,,,45.251,58.944,33.793,1507.879,1566.823,1600.616,170.0,69.0,324.0,297.0,False,MEDIUM,5.0,True,McLaren,1462.628,2021-06-04 12:09:22.637,21,,False,,False,True
2280.086,RIC,3,,6.0,1.0,,1734.206,36.533,,,1637.228,,,212.0,,,,False,MEDIUM,6.0,True,McLaren,1600.616,2021-06-04 12:11:40.625,215,,False,,False,False
2396.034,RIC,3,,7.0,2.0,2280.086,,,47.256,26.382,,2369.652,2396.178,183.0,217.0,324.0,296.0,False,SOFT,1.0,True,McLaren,2280.086,2021-06-04 12:23:00.095,1,,False,,False,False
2531.343,RIC,3,135.309,8.0,2.0,,,39.113,66.176,30.02,2435.147,2501.323,2531.343,182.0,63.0,326.0,297.0,False,SOFT,2.0,True,McLaren,2396.034,2021-06-04 12:24:56.043,12,,False,,False,True
2689.015,RIC,3,,9.0,2.0,,,43.099,84.815,29.801,2574.883,2659.675,2689.207,100.0,48.0,327.0,295.0,False,SOFT,3.0,True,McLaren,2531.343,2021-06-04 12:27:11.352,2671,,False,,False,False
2792.61,RIC,3,103.595,10.0,2.0,,,36.279,41.973,25.343,2725.294,2767.267,2792.61,213.0,228.0,328.0,309.0,True,SOFT,4.0,True,McLaren,2689.015,2021-06-04 12:29:49.024,12,,False,,False,True
