Time,Status,Message
169.68,1,AllClear
1659.207,2,Yellow
1668.096,1,AllClear
1706.329,2,Yellow
1710.945,1,AllClear
1937.953,2,Yellow
1939.329,1,AllClear
2007.961,2,Yellow
2012.467,1,AllClear
2464.172,2,Yellow
2468.798,1,AllClear
3207.543,2,Yellow
3231.158,1,AllClear
4529.316,2,Yellow
4531.501,1,AllClear
4644.211,2,Yellow
4654.62,1,AllClear
5277.646,2,Yellow
5312.488,4,SCDeployed
6102.267,1,AllClear
7297.754,2,Yellow
7366.814,4,SCDeployed
7563.265,5,Red
7716.346,1,AllClear
7824.36,2,Yellow
7837.354,1,AllClear
9850.459,2,Yellow
9856.002,1,AllClear
10119.043,2,Yellow
10242.346,1,AllClear
