Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-07-02 08:30:02,Other,AIR TEMPERATURE 1 HOUR BEFORE P1 = 16 DEGREES,,,,,,
2021-07-02 09:15:02,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 40%,,,,,,
2021-07-02 09:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-07-02 09:33:54,Other,CAR 10 (GAS) TIME 1:06.375 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:35:14,Other,CAR 10 (GAS) TIME 1:44.792 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:36:21,CarEvent,CAR 22 (TSU) OFF TRACK AND CONTINUED AT TURN 5,,,,,22,
2021-07-02 09:37:04,Other,CAR 44 (HAM) TIME 1:09.895 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:37:54,Other,CAR 44 (HAM) TIME 1:09.763 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:37:57,Other,CAR 44 (HAM) TIME 1:09.763 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:39:03,Other,CAR 44 (HAM) TIME 1:09.715 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:39:08,Other,CAR 7 (RAI) TIME 1:06.406 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:40:44,Other,CAR 7 (RAI) TIME 1:47.826 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:40:48,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
2021-07-02 09:41:06,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2021-07-02 09:41:07,CarEvent,CAR 18 (STR) OFF TRACK AND CONTINUED AT TURN 7,,,,,18,
2021-07-02 09:42:28,Other,CAR 98 (ILO) TIME 1:07.640 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:43:53,Other,CAR 98 (ILO) TIME 1:43.994 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:45:29,Other,CAR 98 (ILO) TIME 1:07.324 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:50:41,Other,CAR 22 (TSU) TIME 1:06.165 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:51:53,Other,CAR 10 (GAS) TIME 1:06.103 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-07-02 09:52:13,Other,CAR 22 (TSU) TIME 1:36.453 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 09:57:25,Other,CAR 9 (MAZ) TIME 1:07.593 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-07-02 09:58:48,Other,CAR 7 (RAI) TIME 1:05.746 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:00:04,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2021-07-02 10:00:05,Other,DRS DISABLED IN ZONE 3,,,,,,
2021-07-02 10:00:27,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2021-07-02 10:00:28,Other,DRS ENABLED IN ZONE 3,,,,,,
2021-07-02 10:00:52,CarEvent,CAR 18 (STR) SPUN AND CONTINUED AT TURN 10,,,,,18,
2021-07-02 10:01:02,Other,CAR 7 (RAI) TIME 2:01.409 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:04:09,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2021-07-02 10:04:10,Other,DRS DISABLED IN ZONE 1,,,,,,
2021-07-02 10:04:13,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2021-07-02 10:04:13,Other,DRS ENABLED IN ZONE 1,,,,,,
2021-07-02 10:04:27,CarEvent,CAR 9 (MAZ) SPUN AND CONTINUED AT TURN 3,,,,,9,
2021-07-02 10:08:17,Other,CAR 7 (RAI) TIME 1:06.054 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:21:05,Other,CAR 22 (TSU) TIME 1:10.321 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:21:57,Other,CAR 22 (TSU) TIME 1:10.596 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:21:59,Other,CAR 10 (GAS) TIME 1:10.127 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:23:11,Other,CAR 5 (VET) TIME 1:06.205 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:24:05,Other,CAR 5 (VET) TIME 1:44.478 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:24:13,Other,CAR 9 (MAZ) TIME 1:07.284 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:25:05,Other,CAR 9 (MAZ) TIME 1:56.097 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:25:08,Other,CAR 47 (MSC) TIME 1:09.374 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-07-02 10:25:24,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2021-07-02 10:25:25,Other,DRS DISABLED IN ZONE 1,,,,,,
2021-07-02 10:25:30,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2021-07-02 10:25:30,Other,DRS ENABLED IN ZONE 1,,,,,,
2021-07-02 10:27:11,Other,CAR 10 (GAS) TIME 1:09.469 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:27:18,Other,CAR 10 (GAS) TIME 1:09.957 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2021-07-02 10:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
