Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-07-16 15:59:49,Other,AIR TEMPERATURE 1 HOUR BEFORE Q1 = 26 DEGREES,,,,,,
2021-07-16 16:45:28,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2021-07-16 17:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-07-16 17:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-07-16 17:18:27,Other,FIRST CAR TO TAKE THE FLAG - 6,,,,,,
2021-07-16 17:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-07-16 17:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-07-16 17:40:26,Other,FIRST CAR TO TAKE THE FLAG - CAR 77 (BOT),,,,,,
2021-07-16 17:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-07-16 17:53:57,Other,CAR 5 (VET) TIME 1:27.276 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2021-07-16 18:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-07-16 18:00:23,Other,FIRST CAR TO TAKE THE FLAG - CAR 77 (BOT),,,,,,
2021-07-16 18:00:59,Other,CAR 11 (PER) TIME 1:26.813 DELETED - TRACK LIMITS AT TURN 15,,,,,,
