Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3868.357,HAM,44,125.599,1.0,1.0,,,,40.61,52.926,,3815.454,3868.505,299.0,160.0,88.0,132.0,False,MEDIUM,2.0,False,Mercedes,3742.559,2021-07-18 14:03:22.569,124,2.0,False,,False,False
4026.559,HAM,44,,2.0,1.0,,4020.518,43.8,70.685,43.657,3912.24,3982.942,4026.668,151.0,112.0,,151.0,False,MEDIUM,3.0,False,Mercedes,3868.357,2021-07-18 14:05:28.367,45,2.0,False,,False,False
6255.695,HAM,44,,3.0,2.0,6068.889,,,75.154,68.446,,6187.272,6255.843,109.0,127.0,64.0,173.0,False,MEDIUM,1.0,False,Mercedes,6060.104,2021-07-18 14:42:00.114,1,2.0,False,,False,False
6412.911,HAM,44,,4.0,2.0,,,93.76,37.907,25.599,6349.468,6387.674,6413.076,296.0,255.0,249.0,309.0,False,MEDIUM,2.0,False,Mercedes,6255.695,2021-07-18 14:45:15.705,12,2.0,False,,False,False
6505.96,HAM,44,93.049,5.0,2.0,,,29.39,38.032,25.627,6442.324,6480.356,6505.983,288.0,254.0,249.0,302.0,True,MEDIUM,3.0,False,Mercedes,6412.911,2021-07-18 14:47:52.921,1,2.0,False,,False,True
6599.073,HAM,44,93.113,6.0,2.0,,,29.523,38.109,25.481,6535.506,6573.615,6599.096,292.0,254.0,249.0,302.0,False,MEDIUM,4.0,False,Mercedes,6505.96,2021-07-18 14:49:25.970,1,2.0,False,,False,True
6691.811,HAM,44,92.738,7.0,2.0,,,29.324,37.952,25.462,6628.42,6666.372,6691.834,295.0,255.0,249.0,303.0,True,MEDIUM,5.0,False,Mercedes,6599.073,2021-07-18 14:50:59.083,1,2.0,False,,False,True
6784.739,HAM,44,92.928,8.0,2.0,,,29.426,37.924,25.578,6721.26,6759.184,6784.762,296.0,255.0,249.0,305.0,False,MEDIUM,6.0,False,Mercedes,6691.811,2021-07-18 14:52:31.821,1,2.0,False,,False,True
6877.752,HAM,44,93.013,9.0,2.0,,,29.525,37.892,25.596,6814.287,6852.179,6877.775,297.0,258.0,247.0,306.0,False,MEDIUM,7.0,False,Mercedes,6784.739,2021-07-18 14:54:04.749,1,2.0,False,,False,True
6971.21,HAM,44,93.458,10.0,2.0,,,29.541,38.108,25.809,6907.316,6945.424,6971.233,295.0,257.0,246.0,305.0,False,MEDIUM,8.0,False,Mercedes,6877.752,2021-07-18 14:55:37.762,1,2.0,False,,False,True
