Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1142.861,RIC,3,,1.0,1.0,1006.002,,,49.221,37.009,,1105.945,1142.989,141.0,171.0,253.0,,False,MEDIUM,1.0,True,McLaren,1006.002,2021-07-30 13:01:46.010,1,,False,,False,False
1223.232,RIC,3,80.371,2.0,1.0,,,28.77,28.75,22.851,1171.631,1200.381,1223.232,280.0,242.0,255.0,300.0,True,MEDIUM,2.0,True,McLaren,1142.861,2021-07-30 13:04:02.869,1,,False,,False,True
1351.536,RIC,3,128.304,3.0,1.0,,,45.253,50.512,32.539,1268.485,1318.997,1351.536,147.0,172.0,254.0,286.0,False,MEDIUM,3.0,True,McLaren,1223.232,2021-07-30 13:05:23.240,1,,False,,False,True
1440.374,RIC,3,88.838,4.0,1.0,,1438.716,28.726,30.031,30.081,1380.262,1410.293,1440.374,281.0,202.0,,301.0,False,MEDIUM,4.0,True,McLaren,1351.536,2021-07-30 13:07:31.544,1,,False,,False,False
1875.219,RIC,3,,5.0,2.0,1770.692,,,38.537,26.687,,1848.571,1876.121,202.0,214.0,254.0,,False,MEDIUM,5.0,False,McLaren,1440.374,2021-07-30 13:09:00.382,1,,False,,False,False
1954.949,RIC,3,79.73,6.0,2.0,,,28.685,28.432,22.613,1903.904,1932.336,1954.949,280.0,248.0,254.0,300.0,True,MEDIUM,6.0,False,McLaren,1875.219,2021-07-30 13:16:15.227,1,,False,,False,True
2074.238,RIC,3,119.289,7.0,2.0,,,43.213,46.218,29.858,1998.162,2044.38,2074.238,151.0,176.0,254.0,287.0,False,MEDIUM,7.0,False,McLaren,1954.949,2021-07-30 13:17:34.957,1,,False,,False,True
2154.043,RIC,3,79.805,8.0,2.0,,,28.738,28.511,22.556,2102.976,2131.487,2154.043,278.0,246.0,255.0,299.0,False,MEDIUM,8.0,False,McLaren,2074.238,2021-07-30 13:19:34.246,1,,False,,False,True
2255.672,RIC,3,101.629,9.0,2.0,,2254.018,33.975,36.961,30.693,2188.018,2224.979,2255.672,213.0,199.0,,285.0,False,MEDIUM,9.0,False,McLaren,2154.043,2021-07-30 13:20:54.051,1,,False,,False,False
2669.28,RIC,3,,10.0,3.0,2551.743,,,46.726,29.853,,2641.445,2670.344,158.0,159.0,254.0,,False,SOFT,1.0,True,McLaren,2255.672,2021-07-30 13:22:35.680,1,,False,,False,False
2748.017,RIC,3,78.737,11.0,3.0,,,28.458,28.119,22.16,2697.738,2725.857,2748.017,277.0,248.0,258.0,297.0,True,SOFT,2.0,True,McLaren,2669.28,2021-07-30 13:29:29.288,1,,False,,False,True
2871.322,RIC,3,123.305,12.0,3.0,,,47.232,47.129,28.944,2795.249,2842.378,2871.322,71.0,123.0,256.0,232.0,False,SOFT,3.0,True,McLaren,2748.017,2021-07-30 13:30:48.025,1,,False,,False,True
2950.236,RIC,3,78.914,13.0,3.0,,,28.502,28.095,22.317,2899.824,2927.919,2950.236,279.0,249.0,253.0,300.0,False,SOFT,4.0,True,McLaren,2871.322,2021-07-30 13:32:51.330,1,,False,,False,True
3057.176,RIC,3,106.94,14.0,3.0,,3056.393,38.741,37.503,30.696,2988.977,3026.48,3057.176,174.0,199.0,,220.0,False,SOFT,5.0,True,McLaren,2950.236,2021-07-30 13:34:10.244,1,,False,,False,False
3711.502,RIC,3,,15.0,4.0,3613.683,,,31.32,23.78,,3687.756,3711.578,272.0,233.0,246.0,,False,SOFT,6.0,False,McLaren,3057.176,2021-07-30 13:35:57.184,1,,False,,False,False
3795.952,RIC,3,84.45,16.0,4.0,,,29.858,30.576,24.016,3741.36,3771.936,3795.952,274.0,234.0,250.0,288.0,False,SOFT,7.0,False,McLaren,3711.502,2021-07-30 13:46:51.510,1,,False,,False,True
3880.508,RIC,3,84.556,17.0,4.0,,,30.226,30.69,23.64,3826.178,3856.868,3880.508,267.0,233.0,245.0,305.0,False,SOFT,8.0,False,McLaren,3795.952,2021-07-30 13:48:15.960,1,,False,,False,True
3964.8,RIC,3,84.292,18.0,4.0,,,30.132,30.375,23.785,3910.64,3941.015,3964.8,270.0,235.0,244.0,285.0,False,SOFT,9.0,False,McLaren,3880.508,2021-07-30 13:49:40.516,1,,False,,False,True
4048.742,RIC,3,83.942,19.0,4.0,,,30.038,30.146,23.758,3994.838,4024.984,4048.742,273.0,237.0,245.0,284.0,False,SOFT,10.0,False,McLaren,3964.8,2021-07-30 13:51:04.808,1,,False,,False,True
4135.104,RIC,3,86.362,20.0,4.0,,4133.45,29.916,30.252,26.194,4078.658,4108.91,4135.104,279.0,238.0,,286.0,False,SOFT,11.0,False,McLaren,4048.742,2021-07-30 13:52:28.750,1,,False,,False,False
4239.923,RIC,3,104.819,21.0,5.0,4155.006,,48.237,31.912,24.67,4183.341,4215.253,4239.923,275.0,227.0,243.0,,False,MEDIUM,10.0,False,McLaren,4135.104,2021-07-30 13:53:55.112,1,,False,,False,False
4323.948,RIC,3,84.025,22.0,5.0,,,30.1,30.197,23.728,4270.023,4300.22,4323.948,,236.0,245.0,283.0,False,MEDIUM,11.0,False,McLaren,4239.923,2021-07-30 13:55:39.931,1,,False,,False,True
4408.189,RIC,3,84.241,23.0,5.0,,,30.022,30.283,23.936,4353.97,4384.253,4408.189,277.0,239.0,244.0,285.0,False,MEDIUM,12.0,False,McLaren,4323.948,2021-07-30 13:57:03.956,1,,False,,False,True
4493.828,RIC,3,85.639,24.0,5.0,,,29.929,30.361,25.349,4438.118,4468.479,4493.828,278.0,234.0,241.0,287.0,False,MEDIUM,13.0,False,McLaren,4408.189,2021-07-30 13:58:28.197,1,,False,,False,True
4583.71,RIC,3,89.882,25.0,5.0,,,29.981,31.396,28.505,4523.809,4555.205,4583.71,272.0,149.0,227.0,,False,MEDIUM,14.0,False,McLaren,4493.828,2021-07-30 13:59:53.836,1,,False,,False,True
4693.428,RIC,3,109.718,26.0,5.0,,4693.462,36.1,37.037,36.581,4619.81,4656.847,4693.428,194.0,159.0,,265.0,False,MEDIUM,15.0,False,McLaren,4583.71,2021-07-30 14:01:23.718,1,,False,,False,False
1092.61,NOR,4,,1.0,1.0,960.584,,,38.566,49.46,,1043.165,1092.76,234.0,181.0,253.0,,False,HARD,1.0,True,McLaren,960.584,2021-07-30 13:01:00.592,1,,False,,False,False
1172.851,NOR,4,80.241,2.0,1.0,,,29.067,28.336,22.838,1121.677,1150.013,1172.851,274.0,247.0,250.0,295.0,True,HARD,2.0,True,McLaren,1092.61,2021-07-30 13:03:12.618,1,,False,,False,True
1292.682,NOR,4,119.831,3.0,1.0,,,43.438,45.206,31.187,1216.289,1261.495,1292.682,124.0,206.0,254.0,271.0,False,HARD,3.0,True,McLaren,1172.851,2021-07-30 13:04:32.859,1,,False,,False,True
1395.526,NOR,4,102.844,4.0,1.0,,,34.149,39.522,29.173,1326.831,1366.353,1395.526,244.0,205.0,253.0,302.0,False,HARD,4.0,True,McLaren,1292.682,2021-07-30 13:06:32.690,1,,False,,False,True
1475.378,NOR,4,79.852,5.0,1.0,,,28.74,28.348,22.764,1424.266,1452.614,1475.378,273.0,244.0,250.0,297.0,True,HARD,5.0,True,McLaren,1395.526,2021-07-30 13:08:15.534,1,,False,,False,True
