Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-07-31 12:45:18,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 10%,,,,,,
2021-07-31 12:45:53,Other,DRS ENABLED IN ZONE 1,,,,,,
2021-07-31 12:45:53,Other,DRS ENABLED IN ZONE 2,,,,,,
2021-07-31 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-07-31 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-07-31 13:18:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,,
2021-07-31 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-07-31 13:33:13,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2021-07-31 13:33:20,Flag,RED FLAG,,RED,Track,,,
2021-07-31 13:33:20,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2021-07-31 13:35:37,Other,MEDICAL CAR DEPLOYED,,,,,,
2021-07-31 13:39:23,Flag,TRACK CLEAR,,CLEAR,Track,,,
2021-07-31 13:39:26,Other,SESSION WILL RESUME AT 15:41,,,,,,
2021-07-31 13:39:29,Drs,DRS ENABLED,ENABLED,,,,,
2021-07-31 13:41:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-07-31 13:47:40,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-07-31 13:47:57,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2021-07-31 13:49:52,Other,Q3 WILL START AT 15:56,,,,,,
2021-07-31 13:56:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-07-31 14:08:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-07-31 14:08:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,,
2021-07-31 14:26:20,Other,RACE START DELAYED - NEW TIMES:,,,,,,
2021-07-31 14:26:33,Other,PIT LANE OPEN AT 16:30 FOR 5 MINUTES,,,,,,
2021-07-31 14:26:47,Other,PIT LANE CLOSE AT 16:35,,,,,,
2021-07-31 14:26:56,Other,START FORMATION LAP AT 16:40,,,,,,
