Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1196.289,VER,33,,1.0,1.0,1102.585,,,35.333,27.59,,1168.808,1196.522,262.0,251.0,298.0,,False,SOFT,1.0,True,Red Bull Racing,1102.585,2021-09-04 13:03:22.595,1,,False,,False,False
1266.325,VER,33,70.036,2.0,1.0,,,24.424,23.79,21.822,1220.713,1244.503,1266.325,274.0,286.0,301.0,304.0,True,SOFT,2.0,True,Red Bull Racing,1196.289,2021-09-04 13:04:56.299,1,,False,,False,True
1367.397,VER,33,101.072,3.0,1.0,,1366.047,37.69,32.733,30.649,1304.015,1336.748,1367.397,190.0,235.0,,234.0,False,SOFT,3.0,True,Red Bull Racing,1266.325,2021-09-04 13:06:06.335,1,,False,,False,False
2520.963,VER,33,,4.0,2.0,2428.952,,,36.508,24.09,,2496.873,2520.971,211.0,247.0,298.0,,False,SOFT,1.0,True,Red Bull Racing,1367.397,2021-09-04 13:07:47.407,1,,False,,False,False
2590.034,VER,33,69.071,5.0,2.0,,,24.157,23.457,21.457,2545.12,2568.577,2590.034,276.0,287.0,297.0,304.0,True,SOFT,2.0,True,Red Bull Racing,2520.963,2021-09-04 13:27:00.973,1,,False,,False,True
2689.823,VER,33,99.789,6.0,2.0,,2688.181,34.678,35.149,29.962,2624.712,2659.861,2689.823,147.0,216.0,,253.0,False,SOFT,3.0,True,Red Bull Racing,2590.034,2021-09-04 13:28:10.044,1,,False,,False,False
3773.009,VER,33,,7.0,3.0,3665.223,,,37.347,31.975,,3741.034,3773.026,202.0,256.0,299.0,,False,SOFT,1.0,True,Red Bull Racing,3665.223,2021-09-04 13:46:05.233,1,,False,,False,False
4992.979,VER,33,,8.0,3.0,,3872.531,24.055,,,3797.147,,,280.0,,,306.0,False,SOFT,2.0,True,Red Bull Racing,3773.009,2021-09-04 13:47:53.019,125,,False,,False,False
5092.182,VER,33,,9.0,4.0,4992.979,,,36.761,29.028,,5063.2,5092.197,205.0,258.0,302.0,,False,SOFT,1.0,True,Red Bull Racing,4992.979,2021-09-04 14:08:12.989,1,,False,,False,False
5161.105,VER,33,68.923,10.0,4.0,,,23.961,23.453,21.509,5116.143,5139.596,5161.105,279.0,289.0,306.0,308.0,True,SOFT,2.0,True,Red Bull Racing,5092.182,2021-09-04 14:09:52.192,1,,False,,False,True
5247.172,VER,33,86.067,11.0,4.0,,5245.532,29.952,27.183,28.932,5191.057,5218.24,5247.172,250.0,235.0,,251.0,False,SOFT,3.0,True,Red Bull Racing,5161.105,2021-09-04 14:11:01.115,1,,False,,False,False
5602.501,VER,33,,12.0,5.0,5500.271,,,38.28,24.083,,5578.457,5602.532,185.0,245.0,301.0,,False,SOFT,1.0,True,Red Bull Racing,5247.172,2021-09-04 14:12:27.182,1,,False,,False,False
5671.386,VER,33,68.885,13.0,5.0,,,23.977,23.366,21.542,5626.478,5649.844,5671.386,277.0,286.0,293.0,307.0,True,SOFT,2.0,True,Red Bull Racing,5602.501,2021-09-04 14:18:22.511,1,,False,,False,True
5768.38,VER,33,96.994,14.0,5.0,,,31.722,34.378,30.894,5703.108,5737.486,5768.38,228.0,186.0,64.0,241.0,False,SOFT,3.0,True,Red Bull Racing,5671.386,2021-09-04 14:19:31.396,1,,False,,False,True
1219.005,HAM,44,,1.0,1.0,1113.16,,,30.531,41.267,,1177.744,1219.248,253.0,254.0,302.0,,False,MEDIUM,1.0,True,Mercedes,1113.16,2021-09-04 13:03:33.170,1,,False,,False,False
1289.188,HAM,44,70.183,2.0,1.0,,,24.559,23.95,21.674,1243.564,1267.514,1289.188,276.0,286.0,304.0,312.0,True,MEDIUM,2.0,True,Mercedes,1219.005,2021-09-04 13:05:19.015,1,,False,,False,True
1404.161,HAM,44,114.973,3.0,1.0,,,41.679,43.424,29.87,1330.867,1374.291,1404.161,163.0,171.0,303.0,231.0,False,MEDIUM,3.0,True,Mercedes,1289.188,2021-09-04 13:06:29.198,1,,False,,False,True
1474.275,HAM,44,70.114,4.0,1.0,,,24.56,23.841,21.713,1428.721,1452.562,1474.275,278.0,288.0,304.0,312.0,True,MEDIUM,4.0,True,Mercedes,1404.161,2021-09-04 13:08:24.171,1,,False,,False,True
1561.348,HAM,44,87.073,5.0,1.0,,1560.037,27.472,28.805,30.796,1501.747,1530.552,1561.348,251.0,225.0,,263.0,False,MEDIUM,5.0,True,Mercedes,1474.275,2021-09-04 13:09:34.285,1,,False,,False,False
1986.177,HAM,44,,6.0,2.0,1861.581,1984.298,,37.723,38.083,,1948.094,1986.699,157.0,195.0,,263.0,False,SOFT,1.0,True,Mercedes,1561.348,2021-09-04 13:11:01.358,1,,False,,False,False
2596.848,HAM,44,,7.0,3.0,2497.39,,,34.869,27.314,,2569.534,2596.861,226.0,243.0,299.0,,False,SOFT,2.0,False,Mercedes,1986.177,2021-09-04 13:18:06.187,1,,False,,False,False
2666.574,HAM,44,69.726,8.0,3.0,,,24.587,23.617,21.522,2621.435,2645.052,2666.574,274.0,287.0,301.0,309.0,True,SOFT,3.0,False,Mercedes,2596.848,2021-09-04 13:28:16.858,1,,False,,False,True
