Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1389.391,RIC,3,,1.0,1.0,1253.776,1385.663,,41.443,45.476,,1343.952,1389.531,130.0,196.0,,243.0,False,MEDIUM,6.0,False,McLaren,1253.776,2021-09-11 10:05:53.787,1,,False,,False,False
1510.1,RIC,3,120.709,2.0,2.0,1406.225,1506.408,57.357,29.675,33.677,1446.748,1476.423,1510.1,306.0,308.0,,271.0,False,MEDIUM,7.0,False,McLaren,1389.391,2021-09-11 10:08:09.402,1,,False,,False,False
1646.764,RIC,3,136.664,3.0,3.0,1530.319,1643.051,58.333,34.265,44.066,1568.433,1602.698,1646.764,236.0,178.0,,217.0,False,SOFT,4.0,False,McLaren,1510.1,2021-09-11 10:10:10.111,1,,False,,False,False
1772.116,RIC,3,125.352,4.0,4.0,1664.033,,67.104,29.424,28.824,1713.868,1743.292,1772.116,304.0,305.0,305.0,276.0,False,SOFT,5.0,False,McLaren,1646.764,2021-09-11 10:12:26.775,1,,False,,False,False
1858.266,RIC,3,86.15,5.0,4.0,,,28.108,29.49,28.552,1800.224,1829.714,1858.266,303.0,305.0,307.0,328.0,True,SOFT,6.0,False,McLaren,1772.116,2021-09-11 10:14:32.127,1,,False,,False,True
1944.312,RIC,3,86.046,6.0,4.0,,,28.053,29.354,28.639,1886.319,1915.673,1944.312,307.0,308.0,308.0,,True,SOFT,7.0,False,McLaren,1858.266,2021-09-11 10:15:58.277,1,,False,,False,True
2030.19,RIC,3,85.878,7.0,4.0,,,28.029,29.3,28.549,1972.341,2001.641,2030.19,308.0,312.0,307.0,335.0,True,SOFT,8.0,False,McLaren,1944.312,2021-09-11 10:17:24.323,1,,False,,False,True
2116.256,RIC,3,86.066,8.0,4.0,,,28.169,29.312,28.585,2058.359,2087.671,2116.256,313.0,312.0,307.0,320.0,False,SOFT,9.0,False,McLaren,2030.19,2021-09-11 10:18:50.201,1,,False,,False,True
2202.213,RIC,3,85.957,9.0,4.0,,,28.118,29.344,28.495,2144.374,2173.718,2202.213,309.0,311.0,308.0,323.0,False,SOFT,10.0,False,McLaren,2116.256,2021-09-11 10:20:16.267,1,,False,,False,True
2288.482,RIC,3,86.269,10.0,4.0,,,28.201,29.511,28.557,2230.414,2259.925,2288.482,,311.0,306.0,319.0,False,SOFT,11.0,False,McLaren,2202.213,2021-09-11 10:21:42.224,1,,False,,False,True
