Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3856.945,GAS,10,122.171,1.0,1.0,3742.702,,,31.018,53.708,,3803.315,3857.132,303.0,302.0,310.0,272.0,False,HARD,1.0,True,AlphaTauri,3734.632,2021-09-12 13:03:16.241,1267,18.0,False,,False,False
3945.95,GAS,10,89.005,2.0,1.0,,,28.594,30.877,29.534,3885.58,3916.457,3945.991,308.0,316.0,320.0,319.0,True,HARD,2.0,True,AlphaTauri,3856.945,2021-09-12 13:05:18.554,1,18.0,False,,False,True
4055.123,GAS,10,109.173,3.0,1.0,,4051.414,28.479,37.644,43.05,3974.47,4012.114,4055.164,273.0,255.0,,324.0,False,HARD,3.0,True,AlphaTauri,3945.95,2021-09-12 13:06:47.559,1,18.0,False,,False,False
3845.126,PER,11,110.352,1.0,1.0,,,,31.553,46.71,,3798.51,3845.31,334.0,321.0,257.0,272.0,False,MEDIUM,1.0,True,Red Bull Racing,3734.632,2021-09-12 13:03:16.241,1267,7.0,False,,False,False
3932.732,PER,11,87.606,2.0,1.0,,,29.036,29.775,28.795,3874.193,3903.968,3932.763,307.0,320.0,313.0,287.0,True,MEDIUM,2.0,True,Red Bull Racing,3845.126,2021-09-12 13:05:06.735,71,7.0,False,,False,False
4019.473,PER,11,86.741,3.0,1.0,,,28.242,29.581,28.918,3961.005,3990.586,4019.504,317.0,327.0,312.0,314.0,True,MEDIUM,3.0,True,Red Bull Racing,3932.732,2021-09-12 13:06:34.341,1,7.0,False,,False,True
4106.475,PER,11,87.002,4.0,1.0,,,28.56,29.644,28.798,4048.064,4077.708,4106.506,319.0,320.0,312.0,301.0,False,MEDIUM,4.0,True,Red Bull Racing,4019.473,2021-09-12 13:08:01.082,1,7.0,False,,False,True
4193.524,PER,11,87.049,5.0,1.0,,,28.274,29.633,29.142,4134.78,4164.413,4193.555,320.0,328.0,310.0,309.0,False,MEDIUM,5.0,True,Red Bull Racing,4106.475,2021-09-12 13:09:28.084,1,7.0,False,,False,True
4280.543,PER,11,87.019,6.0,1.0,,,28.389,29.717,28.913,4221.944,4251.661,4280.574,317.0,320.0,312.0,305.0,False,MEDIUM,6.0,True,Red Bull Racing,4193.524,2021-09-12 13:10:55.133,1,7.0,False,,False,True
4367.514,PER,11,86.971,7.0,1.0,,,28.33,29.727,28.914,4308.904,4338.631,4367.545,319.0,325.0,312.0,310.0,False,MEDIUM,7.0,True,Red Bull Racing,4280.543,2021-09-12 13:12:22.152,1,7.0,False,,False,True
4454.337,PER,11,86.823,8.0,1.0,,,28.188,29.741,28.894,4395.733,4425.474,4454.368,317.0,325.0,313.0,340.0,False,MEDIUM,8.0,True,Red Bull Racing,4367.514,2021-09-12 13:13:49.123,1,7.0,False,,False,True
4541.932,PER,11,87.595,9.0,1.0,,,28.309,30.394,28.892,4482.677,4513.071,4541.963,320.0,314.0,306.0,350.0,False,MEDIUM,9.0,True,Red Bull Racing,4454.337,2021-09-12 13:15:15.946,1,6.0,False,,False,True
4628.555,PER,11,86.623,10.0,1.0,,,28.335,29.451,28.837,4570.298,4599.749,4628.586,309.0,313.0,308.0,316.0,True,MEDIUM,10.0,True,Red Bull Racing,4541.932,2021-09-12 13:16:43.541,1,6.0,False,,False,True
4714.877,PER,11,86.322,11.0,1.0,,,28.197,29.313,28.812,4656.783,4686.096,4714.908,314.0,317.0,309.0,317.0,True,MEDIUM,11.0,True,Red Bull Racing,4628.555,2021-09-12 13:18:10.164,1,6.0,False,,False,True
4801.264,PER,11,86.387,12.0,1.0,,,28.213,29.356,28.818,4743.121,4772.477,4801.295,,318.0,309.0,321.0,False,MEDIUM,12.0,True,Red Bull Racing,4714.877,2021-09-12 13:19:36.486,1,6.0,False,,False,True
4887.793,PER,11,86.529,13.0,1.0,,,28.207,29.327,28.995,4829.502,4858.829,4887.824,316.0,319.0,309.0,318.0,False,MEDIUM,13.0,True,Red Bull Racing,4801.264,2021-09-12 13:21:02.873,1,6.0,False,,False,True
4974.329,PER,11,86.536,14.0,1.0,,,28.262,29.362,28.912,4916.086,4945.448,4974.36,,319.0,309.0,320.0,False,MEDIUM,14.0,True,Red Bull Racing,4887.793,2021-09-12 13:22:29.402,1,6.0,False,,False,True
5060.828,PER,11,86.499,15.0,1.0,,,28.159,29.365,28.975,5002.519,5031.884,5060.859,318.0,320.0,309.0,323.0,False,MEDIUM,15.0,True,Red Bull Racing,4974.329,2021-09-12 13:23:55.938,1,6.0,False,,False,True
5147.774,PER,11,86.946,16.0,1.0,,,28.2,29.661,29.085,5089.059,5118.72,5147.805,,320.0,310.0,328.0,False,MEDIUM,16.0,True,Red Bull Racing,5060.828,2021-09-12 13:25:22.437,1,6.0,False,,False,True
5234.629,PER,11,86.855,17.0,1.0,,,28.125,29.564,29.166,5175.93,5205.494,5234.66,317.0,319.0,309.0,324.0,False,MEDIUM,17.0,True,Red Bull Racing,5147.774,2021-09-12 13:26:49.383,1,6.0,False,,False,True
5321.509,PER,11,86.88,18.0,1.0,,,28.267,29.498,29.115,5262.927,5292.425,5321.54,318.0,320.0,310.0,322.0,False,MEDIUM,18.0,True,Red Bull Racing,5234.629,2021-09-12 13:28:16.238,1,6.0,False,,False,True
5408.368,PER,11,86.859,19.0,1.0,,,28.17,29.487,29.202,5349.71,5379.197,5408.399,,320.0,310.0,324.0,False,MEDIUM,19.0,True,Red Bull Racing,5321.509,2021-09-12 13:29:43.118,1,6.0,False,,False,True
5495.25,PER,11,86.882,20.0,1.0,,,28.213,29.502,29.167,5436.612,5466.114,5495.281,316.0,319.0,308.0,,False,MEDIUM,20.0,True,Red Bull Racing,5408.368,2021-09-12 13:31:09.977,1,6.0,False,,False,True
5582.627,PER,11,87.377,21.0,1.0,,,28.287,29.825,29.265,5523.568,5553.393,5582.658,318.0,319.0,309.0,326.0,False,MEDIUM,21.0,True,Red Bull Racing,5495.25,2021-09-12 13:32:36.859,1,6.0,False,,False,True
5670.306,PER,11,87.679,22.0,1.0,,,28.78,29.719,29.18,5611.438,5641.157,5670.337,315.0,317.0,309.0,,False,MEDIUM,22.0,True,Red Bull Racing,5582.627,2021-09-12 13:34:04.236,1,6.0,False,,False,True
5757.225,PER,11,86.919,23.0,1.0,,,28.335,29.579,29.005,5698.672,5728.251,5757.256,316.0,320.0,309.0,327.0,False,MEDIUM,23.0,True,Red Bull Racing,5670.306,2021-09-12 13:35:31.915,1,5.0,False,,False,True
5844.482,PER,11,87.257,24.0,1.0,,,28.477,29.699,29.081,5785.733,5815.432,5844.513,,316.0,309.0,325.0,False,MEDIUM,24.0,True,Red Bull Racing,5757.225,2021-09-12 13:36:58.834,1,4.0,False,,False,True
5931.755,PER,11,87.273,25.0,1.0,,,28.407,29.588,29.278,5872.92,5902.508,5931.786,318.0,319.0,306.0,324.0,False,MEDIUM,25.0,True,Red Bull Racing,5844.482,2021-09-12 13:38:26.091,1,3.0,False,,False,True
6037.374,PER,11,105.619,26.0,1.0,,6033.698,28.252,37.119,40.248,5960.038,5997.157,6037.405,,207.0,,328.0,False,MEDIUM,26.0,True,Red Bull Racing,5931.755,2021-09-12 13:39:53.364,124,2.0,False,,False,False
6201.899,PER,11,,27.0,2.0,6057.582,,58.063,49.412,57.009,6095.537,6144.921,6202.085,177.0,166.0,83.0,223.0,False,HARD,1.0,True,Red Bull Racing,6037.374,2021-09-12 13:41:38.983,4,4.0,False,,False,False
6357.938,PER,11,,28.0,2.0,,,53.287,50.677,52.129,6255.268,6305.923,6358.135,120.0,193.0,242.0,140.0,False,HARD,2.0,True,Red Bull Racing,6201.899,2021-09-12 13:44:23.508,4,4.0,False,,False,False
6507.766,PER,11,149.828,29.0,2.0,,,47.906,56.299,45.623,6405.875,6462.174,6507.797,135.0,264.0,243.0,131.0,False,HARD,3.0,True,Red Bull Racing,6357.938,2021-09-12 13:46:59.547,4,4.0,False,,False,False
6657.487,PER,11,149.721,30.0,2.0,,,42.104,58.536,49.081,6549.901,6608.437,6657.518,142.0,193.0,315.0,180.0,False,HARD,4.0,True,Red Bull Racing,6507.766,2021-09-12 13:49:29.375,41,4.0,False,,False,False
6745.164,PER,11,87.677,31.0,2.0,,,28.102,30.627,28.948,6685.62,6716.247,6745.195,331.0,329.0,318.0,322.0,False,HARD,5.0,True,Red Bull Racing,6657.487,2021-09-12 13:51:59.096,1,4.0,False,,False,True
6831.758,PER,11,86.594,32.0,2.0,,,27.639,30.353,28.602,6772.834,6803.187,6831.789,329.0,322.0,313.0,341.0,False,HARD,6.0,True,Red Bull Racing,6745.164,2021-09-12 13:53:26.773,12,3.0,True,TRACK LIMITS AT TURN 5,False,True
6917.403,PER,11,85.645,33.0,2.0,,,28.105,29.138,28.402,6859.894,6889.032,6917.434,316.0,325.0,313.0,324.0,True,HARD,7.0,True,Red Bull Racing,6831.758,2021-09-12 13:54:53.367,1,3.0,False,,False,True
7003.554,PER,11,86.151,34.0,2.0,,,28.015,29.442,28.694,6945.449,6974.891,7003.585,315.0,325.0,316.0,327.0,False,HARD,8.0,True,Red Bull Racing,6917.403,2021-09-12 13:56:19.012,1,3.0,False,,False,True
7089.592,PER,11,86.038,35.0,2.0,,,27.883,29.477,28.678,7031.468,7060.945,7089.623,320.0,332.0,313.0,332.0,False,HARD,9.0,True,Red Bull Racing,7003.554,2021-09-12 13:57:45.163,1,3.0,False,,False,True
7175.637,PER,11,86.045,36.0,2.0,,,27.946,29.477,28.622,7117.569,7147.046,7175.668,318.0,329.0,317.0,335.0,False,HARD,10.0,True,Red Bull Racing,7089.592,2021-09-12 13:59:11.201,1,3.0,False,,False,True
7261.846,PER,11,86.209,37.0,2.0,,,28.115,29.489,28.605,7203.783,7233.272,7261.877,319.0,328.0,318.0,336.0,False,HARD,11.0,True,Red Bull Racing,7175.637,2021-09-12 14:00:37.246,1,3.0,False,,False,True
7348.219,PER,11,86.373,38.0,2.0,,,28.041,29.576,28.756,7289.918,7319.494,7348.25,321.0,327.0,315.0,334.0,False,HARD,12.0,True,Red Bull Racing,7261.846,2021-09-12 14:02:03.455,1,3.0,False,,False,True
7433.937,PER,11,85.718,39.0,2.0,,,27.916,29.278,28.524,7376.166,7405.444,7433.968,,336.0,316.0,335.0,False,HARD,13.0,True,Red Bull Racing,7348.219,2021-09-12 14:03:29.828,1,3.0,False,,False,True
7520.071,PER,11,86.134,40.0,2.0,,,28.119,29.389,28.626,7462.087,7491.476,7520.102,316.0,325.0,313.0,325.0,False,HARD,14.0,True,Red Bull Racing,7433.937,2021-09-12 14:04:55.546,1,3.0,False,,False,True
7605.931,PER,11,85.86,41.0,2.0,,,27.952,29.325,28.583,7548.054,7577.379,7605.962,323.0,325.0,314.0,330.0,False,HARD,15.0,True,Red Bull Racing,7520.071,2021-09-12 14:06:21.680,12,3.0,False,,False,True
7691.85,PER,11,85.919,42.0,2.0,,,28.073,29.26,28.586,7634.035,7663.295,7691.881,320.0,328.0,312.0,323.0,False,HARD,16.0,True,Red Bull Racing,7605.931,2021-09-12 14:07:47.540,1,3.0,False,,False,True
7778.89,PER,11,87.04,43.0,2.0,,,28.256,29.824,28.96,7720.137,7749.961,7778.921,325.0,322.0,315.0,337.0,False,HARD,17.0,True,Red Bull Racing,7691.85,2021-09-12 14:09:13.459,12,3.0,False,,False,True
