Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2787.384,BOT,77,,1.0,1.0,,,,41.801,41.906,,2745.561,2787.542,309.0,240.0,278.0,288.0,False,MEDIUM,1.0,True,Mercedes,2674.562,2021-09-11 14:33:25.663,124,1.0,False,,False,False
2942.201,BOT,77,,2.0,1.0,,,50.781,54.555,49.525,2838.263,2892.759,2942.417,109.0,161.0,212.0,178.0,False,MEDIUM,2.0,True,Mercedes,2787.384,2021-09-11 14:35:18.485,4,1.0,False,,False,False
3092.92,BOT,77,,3.0,1.0,,,48.18,49.359,53.212,2990.494,3039.791,3093.217,150.0,166.0,312.0,,False,MEDIUM,3.0,True,Mercedes,2942.201,2021-09-11 14:37:53.302,41,1.0,False,,False,False
3176.562,BOT,77,83.642,4.0,1.0,,,27.672,28.45,27.52,3120.675,3149.125,3176.645,308.0,307.0,313.0,325.0,True,MEDIUM,4.0,True,Mercedes,3092.92,2021-09-11 14:40:24.021,1,1.0,False,,False,True
3260.358,BOT,77,83.796,5.0,1.0,,,27.842,28.345,27.609,3204.487,3232.832,3260.441,306.0,306.0,313.0,313.0,False,MEDIUM,5.0,True,Mercedes,3176.562,2021-09-11 14:41:47.663,1,1.0,False,,False,True
3344.167,BOT,77,83.809,6.0,1.0,,,27.975,28.146,27.688,3288.416,3316.562,3344.25,,306.0,314.0,310.0,False,MEDIUM,6.0,True,Mercedes,3260.358,2021-09-11 14:43:11.459,1,1.0,False,,False,True
3427.759,BOT,77,83.592,7.0,1.0,,,27.852,28.102,27.638,3372.102,3400.204,3427.842,,307.0,312.0,311.0,True,MEDIUM,7.0,True,Mercedes,3344.167,2021-09-11 14:44:35.268,1,1.0,False,,False,True
3511.467,BOT,77,83.708,8.0,1.0,,,27.869,28.171,27.668,3455.711,3483.882,3511.55,307.0,308.0,311.0,313.0,False,MEDIUM,8.0,True,Mercedes,3427.759,2021-09-11 14:45:58.860,1,1.0,False,,False,True
3595.007,BOT,77,83.54,9.0,1.0,,,27.772,28.089,27.679,3539.322,3567.411,3595.09,308.0,309.0,312.0,,True,MEDIUM,9.0,True,Mercedes,3511.467,2021-09-11 14:47:22.568,1,1.0,False,,False,True
3678.656,BOT,77,83.649,10.0,1.0,,,27.912,28.147,27.59,3623.002,3651.149,3678.739,307.0,309.0,311.0,314.0,False,MEDIUM,10.0,True,Mercedes,3595.007,2021-09-11 14:48:46.108,1,1.0,False,,False,True
3762.278,BOT,77,83.622,11.0,1.0,,,27.859,28.212,27.551,3706.598,3734.81,3762.361,,309.0,312.0,312.0,False,MEDIUM,11.0,True,Mercedes,3678.656,2021-09-11 14:50:09.757,1,1.0,False,,False,True
3846.1,BOT,77,83.822,12.0,1.0,,,27.981,28.161,27.68,3790.342,3818.503,3846.183,,309.0,312.0,313.0,False,MEDIUM,12.0,True,Mercedes,3762.278,2021-09-11 14:51:33.379,1,1.0,False,,False,True
