Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
14.354,27.7,38.7,994.2,False,43.7,192,0.1
74.352,27.7,38.3,994.2,False,43.5,192,0.3
134.351,27.8,38.1,994.1,False,43.7,170,0.4
194.367,27.8,38.2,994.1,False,43.8,151,0.4
254.366,27.8,38.1,994.2,False,44.0,152,0.6
314.383,27.8,38.7,994.1,False,44.2,151,0.4
374.396,27.8,38.3,994.2,False,44.2,166,0.2
434.421,27.9,38.0,994.2,False,44.2,155,0.2
494.413,27.9,38.5,994.2,False,44.1,152,0.6
554.424,28.0,39.1,994.1,False,43.8,327,0.1
614.413,27.8,39.1,994.1,False,43.5,270,0.1
674.422,27.8,39.4,994.1,False,43.1,0,0.0
734.434,27.9,38.7,994.2,False,43.0,183,0.0
794.437,27.9,38.0,994.1,False,43.2,186,0.3
854.443,28.1,37.4,994.1,False,43.8,194,0.2
914.461,28.2,36.9,994.1,False,44.1,186,0.1
974.466,28.3,36.4,994.1,False,44.0,0,0.3
1034.475,28.3,36.8,994.1,False,43.4,162,0.2
1094.494,28.4,36.9,993.9,False,43.4,165,0.5
1154.512,28.3,36.8,994.1,False,43.7,137,0.4
1214.51,28.3,36.6,994.1,False,43.7,189,0.5
1274.525,28.2,36.9,994.0,False,43.7,192,0.4
1334.54,28.3,36.8,994.0,False,43.3,201,0.6
1394.54,28.2,36.8,994.1,False,43.1,155,0.4
1454.556,28.2,36.9,994.0,False,43.1,169,0.4
1514.572,28.3,36.9,994.0,False,43.2,187,0.4
1574.579,28.2,36.8,994.0,False,43.2,209,0.3
1634.584,28.2,36.9,993.9,False,43.1,200,0.5
1694.587,28.2,37.6,994.0,False,43.1,227,0.2
1754.586,28.2,37.4,993.9,False,42.7,195,0.0
1814.584,28.2,36.6,994.0,False,42.7,196,0.2
1874.588,28.2,36.2,993.9,False,43.0,165,0.4
1934.604,28.2,36.1,994.0,False,43.1,157,0.4
1994.605,28.3,36.6,993.9,False,43.2,145,0.5
2054.627,28.2,37.2,993.9,False,43.2,153,0.7
2114.631,28.2,37.6,993.9,False,43.2,223,0.6
2174.641,28.1,37.7,993.8,False,42.9,166,0.3
2234.635,28.0,37.9,993.9,False,42.9,175,0.3
2294.633,28.0,37.7,993.9,False,43.2,161,0.2
2354.632,28.1,37.4,993.9,False,43.3,158,0.4
2414.634,28.1,37.3,993.9,False,43.2,165,0.3
2474.642,28.2,37.0,993.8,False,43.2,191,0.3
2534.632,28.3,36.8,993.9,False,43.2,173,0.2
2594.634,28.3,36.6,993.9,False,43.1,147,0.4
2654.651,28.3,36.9,993.9,False,42.7,231,0.4
2714.663,28.2,37.0,993.9,False,42.7,156,0.1
2774.667,28.3,36.9,993.9,False,42.7,155,0.4
2834.668,28.4,36.5,993.9,False,42.8,133,0.3
2894.664,28.4,37.2,993.8,False,42.4,297,0.1
2954.673,28.2,36.3,993.9,False,42.3,178,0.4
3014.695,28.3,35.9,993.9,False,42.0,165,0.3
3074.71,28.3,36.0,993.9,False,41.8,104,0.2
3134.713,28.3,36.5,993.9,False,41.8,305,0.1
3194.718,28.2,36.5,994.0,False,41.7,158,0.2
3254.72,28.2,36.1,994.0,False,41.7,188,0.3
3314.719,28.2,35.0,993.9,False,42.0,188,0.4
3374.713,28.2,34.8,993.8,False,42.2,172,0.4
3434.711,28.3,34.5,993.9,False,41.9,157,0.5
3494.72,28.6,35.1,993.9,False,41.9,136,0.5
3554.747,28.6,35.4,993.8,False,41.8,153,0.9
3614.77,28.5,36.3,993.8,False,41.8,183,0.5
3674.775,28.4,36.5,993.9,False,41.5,173,0.4
3734.78,28.3,36.5,993.9,False,41.4,166,0.3
3794.781,28.3,36.1,994.0,False,41.4,183,0.4
3854.791,28.3,35.8,993.9,False,41.4,149,0.4
3914.792,28.3,36.2,993.9,False,41.3,171,0.4
3974.806,28.4,36.0,993.8,False,41.3,170,0.5
4034.813,28.4,35.6,993.9,False,41.2,186,0.5
4094.821,28.4,35.3,993.8,False,41.4,186,0.6
4154.84,28.4,35.4,993.8,False,41.2,165,0.5
4214.852,28.4,36.1,993.8,False,40.9,170,0.5
4274.851,28.2,35.8,993.8,False,40.9,166,0.5
4334.879,28.2,36.3,993.9,False,40.8,172,0.4
4394.882,28.2,36.4,993.9,False,40.7,193,0.4
4454.899,28.2,36.5,993.8,False,40.8,170,0.5
4514.913,28.3,36.3,993.9,False,40.7,147,0.3
