Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
35.132,18.9,67.9,1004.8,False,31.1,82,1.1
95.152,19.1,67.4,1004.8,False,31.1,76,1.1
155.143,19.1,67.3,1004.8,False,27.9,79,1.2
215.159,19.1,66.9,1004.8,False,27.9,72,1.4
275.155,19.1,66.4,1004.8,False,28.4,80,1.2
335.167,19.2,66.2,1004.7,False,28.3,74,1.6
395.163,19.2,66.6,1005.0,False,28.4,80,1.5
455.159,19.1,66.7,1004.7,False,28.5,74,1.4
515.159,19.1,67.0,1004.7,False,28.8,78,1.4
575.181,19.2,67.6,1004.7,False,29.0,73,1.2
635.181,19.2,67.7,1004.7,False,29.3,72,1.0
695.193,19.4,66.9,1004.7,False,28.3,85,1.1
755.206,19.3,66.9,1004.7,False,28.7,80,1.3
815.203,19.3,66.8,1004.7,False,28.8,72,1.2
875.205,19.4,66.7,1004.9,False,29.3,71,1.2
935.205,19.4,66.0,1004.8,False,29.3,74,1.2
995.218,19.4,65.9,1004.8,False,28.4,77,1.2
1055.21,19.5,66.1,1004.7,False,28.6,80,1.1
1115.211,19.5,66.5,1004.7,False,28.6,65,1.0
1175.207,19.3,66.2,1004.6,False,28.9,79,1.1
1235.208,19.3,65.4,1004.5,False,28.6,80,1.5
1295.208,19.2,65.5,1004.4,False,28.5,85,1.4
1355.244,19.2,66.1,1004.5,False,28.5,72,1.1
1415.238,19.1,66.1,1004.5,False,27.6,84,1.3
1475.254,19.3,66.4,1004.5,False,27.6,86,1.2
1535.255,19.2,66.0,1004.6,False,27.7,79,1.5
1595.254,19.2,66.0,1004.5,False,28.1,82,1.3
1655.255,19.2,65.9,1004.6,False,27.7,79,1.2
1715.251,19.2,65.6,1004.6,False,28.0,67,1.5
1775.259,19.3,65.9,1004.7,False,28.0,75,1.6
1835.256,19.5,65.7,1004.7,False,28.1,75,1.4
1895.256,19.5,65.4,1004.6,False,28.1,67,1.5
1955.251,19.5,65.6,1004.7,False,27.2,71,1.3
2015.254,19.7,65.7,1004.7,False,27.0,72,1.3
2075.255,19.7,65.7,1004.5,False,27.2,73,1.4
2135.268,19.9,66.1,1004.6,False,27.0,72,1.3
2195.253,19.9,66.1,1004.5,False,26.6,70,1.3
2255.27,19.9,65.8,1004.5,False,26.4,74,1.4
2315.294,19.8,66.7,1004.6,False,26.0,64,1.4
2375.292,19.6,66.8,1004.6,False,25.8,71,1.2
2435.284,19.5,66.9,1004.6,False,27.3,71,1.2
2495.286,19.5,66.5,1004.5,False,28.8,75,1.1
2555.288,19.5,66.8,1004.6,False,30.5,82,1.1
2615.285,19.6,66.9,1004.5,False,30.5,75,1.1
2675.287,19.4,67.2,1004.4,False,30.8,87,1.0
2735.286,19.3,67.2,1004.6,False,30.8,83,1.1
2795.286,19.3,67.6,1004.6,False,29.7,76,1.2
2855.287,19.2,67.7,1004.4,False,29.8,80,1.2
2915.286,19.2,67.8,1004.5,False,30.1,76,1.1
2975.285,19.2,67.8,1004.4,False,28.1,86,1.3
3035.286,19.3,68.3,1004.6,False,27.5,85,1.0
3095.285,19.5,68.0,1004.5,False,27.6,82,1.2
3155.289,19.5,67.8,1004.5,False,28.6,76,1.0
3215.284,19.5,66.8,1004.5,False,29.1,88,1.0
3275.285,19.5,66.6,1004.5,False,29.3,66,1.0
3335.285,19.7,66.4,1004.5,False,29.0,71,1.1
3395.286,19.7,66.5,1004.4,False,28.8,78,1.0
3455.29,19.8,66.4,1004.5,False,28.8,72,1.2
3515.286,19.7,66.7,1004.4,False,29.1,80,0.9
3575.286,19.8,66.4,1004.4,False,29.1,72,1.0
3635.286,19.7,66.3,1004.4,False,29.1,69,1.3
3695.277,19.9,65.9,1004.3,False,29.6,81,1.3
3755.276,19.9,66.1,1004.3,False,29.6,79,1.4
3815.285,20.0,66.6,1004.3,False,29.6,74,1.5
3875.285,20.0,66.6,1004.4,False,29.4,81,1.4
3935.286,19.8,66.8,1004.4,False,29.1,76,1.3
3995.29,19.9,67.1,1004.4,False,28.7,76,1.3
4055.299,19.8,66.8,1004.4,False,29.1,67,1.0
4115.287,19.8,66.9,1004.5,False,29.5,90,0.9
4175.285,19.9,66.8,1004.3,False,29.5,84,0.8
4235.285,20.0,66.7,1004.4,False,29.5,68,0.8
4295.287,20.1,66.3,1004.3,False,29.3,101,1.1
4355.287,20.1,66.3,1004.2,False,29.3,61,0.8
4415.288,20.1,65.6,1004.3,False,30.5,54,0.8
4475.284,20.1,64.8,1004.3,False,30.5,94,1.0
4535.285,20.2,64.8,1004.2,False,30.6,77,0.9
4595.296,20.3,64.8,1004.3,False,30.8,65,1.2
4655.285,20.3,63.8,1004.1,False,31.3,64,0.8
4715.289,20.4,64.3,1004.2,False,31.3,83,1.3
4775.285,20.4,64.5,1004.2,False,30.6,74,1.1
4835.29,20.5,65.3,1004.2,False,30.6,76,1.0
