Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-10-08 11:45:13,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%,,,,,,
2021-10-08 11:00:16,Other,AIR TEMPERATURE 1 HOUR BEFORE P2 = 20 DEGREES,,,,,,
2021-10-08 11:45:13,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%,,,,,,
2021-10-08 12:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-10-08 12:00:34,Drs,DRS ENABLED,ENABLED,,,,,
2021-10-08 12:03:58,Other,CAR 63 (RUS) TIME 1:26.964 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:05:04,Other,CAR 44 (HAM) TIME 1:42.494 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:07:25,CarEvent,CAR 47 (MSC) OFF TRACK AND CONTINUED AT TURN 1,,,,,47,
2021-10-08 12:07:37,Other,CAR 9 (MAZ) TIME 1:26.720 DELETED - TRACK LIMITS AT TURN 6,,,,,,
2021-10-08 12:08:08,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2021-10-08 12:08:27,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2021-10-08 12:08:34,CarEvent,CAR 6 (LAT) SPUN AND CONTINUED AT TURN 9,,,,,6,
2021-10-08 12:09:08,Other,CAR 47 (MSC) TIME 1:49.078 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:09:50,CarEvent,CAR 9 (MAZ) OFF TRACK AND CONTINUED AT TURN 1,,,,,9,
2021-10-08 12:10:50,Other,CAR 9 (MAZ) TIME 1:26.298 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:12:59,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 1,,,,,55,
2021-10-08 12:14:30,Other,CAR 55 (SAI) TIME 1:43.382 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:22:51,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 10,,,,,4,
2021-10-08 12:25:11,Other,CAR 31 (OCO) TIME 1:25.350 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:25:42,Other,CAR 10 (GAS) TIME 1:25.078 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:26:04,Other,CAR 9 (MAZ) TIME 1:25.768 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:26:27,Other,CAR 9 (MAZ) TIME 1:25.768 DELETED - TRACK LIMITS AT TURN 14,,,,,,
2021-10-08 12:28:12,Other,CAR 9 (MAZ) TIME 2:06.441 DELETED - TRACK LIMITS AT TURN 14,,,,,,
2021-10-08 12:33:07,Other,CAR 9 (MAZ) TIME 1:26.069 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:33:37,CarEvent,CAR 22 (TSU) OFF TRACK AND CONTINUED AT TURN 9,,,,,22,
2021-10-08 12:33:47,Other,CAR 99 (GIO) TIME 1:25.094 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:42:02,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 1,,,,,77,
2021-10-08 12:43:26,Other,CAR 77 (BOT) TIME 1:36.882 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:43:56,Other,CAR 3 (RIC) TIME 1:36.568 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:45:11,Other,CAR 3 (RIC) TIME 1:24.975 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:46:44,Other,CAR 22 (TSU) TIME 1:29.199 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:47:31,CarEvent,CAR 33 (VER) OFF TRACK AND CONTINUED AT TURN 7,,,,,33,
2021-10-08 12:47:51,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2021-10-08 12:47:55,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2021-10-08 12:48:08,CarEvent,CAR 10 (GAS) SPUN AND CONTINUED AT TURN 6,,,,,10,
2021-10-08 12:49:52,Other,CAR 55 (SAI) TIME 1:29.352 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:50:52,Other,CAR 11 (PER) TIME 1:28.611 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:51:23,Other,CAR 55 (SAI) TIME 1:28.928 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:52:02,Other,CAR 5 (VET) TIME 1:29.102 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:54:40,Other,CAR 99 (GIO) TIME 1:31.606 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:55:21,Other,CAR 11 (PER) TIME 1:28.223 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2021-10-08 12:55:43,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,
2021-10-08 12:55:46,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2021-10-08 12:55:46,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2021-10-08 12:55:49,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2021-10-08 12:56:07,Other,CAR 16 (LEC) TIME 1:29.070 DELETED - TRACK LIMITS AT TURN 1,,,,,,
