Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1432.923,GAS,10,,1.0,1.0,1333.867,,,35.938,28.469,,1404.542,1433.038,252.0,273.0,231.0,259.0,False,WET,1.0,True,AlphaTauri,1333.867,2021-10-09 09:07:13.879,1,,False,,False,False
1532.911,GAS,10,99.988,2.0,1.0,,,36.778,35.259,27.951,1469.701,1504.96,1532.911,264.0,270.0,231.0,257.0,True,WET,2.0,True,AlphaTauri,1432.923,2021-10-09 09:08:52.935,1,,False,,False,True
1656.991,GAS,10,124.08,3.0,1.0,,1656.359,47.696,43.666,32.718,1580.607,1624.273,1656.991,218.0,236.0,,227.0,False,WET,3.0,True,AlphaTauri,1532.911,2021-10-09 09:10:32.923,1,,False,,False,False
2181.495,GAS,10,,4.0,2.0,2060.843,2180.9,,37.09,48.704,,2132.791,2181.584,264.0,270.0,,148.0,False,INTERMEDIATE,1.0,True,AlphaTauri,1656.991,2021-10-09 09:12:37.003,12,,False,,False,False
2739.001,GAS,10,,5.0,3.0,2636.11,,,37.771,28.784,,2710.237,2739.201,265.0,258.0,218.0,240.0,False,INTERMEDIATE,2.0,False,AlphaTauri,2636.11,2021-10-09 09:28:56.122,1,,False,,False,False
2843.309,GAS,10,104.308,6.0,3.0,,,36.931,37.199,30.178,2775.932,2813.131,2843.309,268.0,274.0,238.0,251.0,False,INTERMEDIATE,3.0,False,AlphaTauri,2739.001,2021-10-09 09:30:39.013,1,,False,,False,True
2936.532,GAS,10,93.223,7.0,3.0,,,34.016,33.218,25.989,2877.325,2910.543,2936.532,274.0,277.0,235.0,295.0,True,INTERMEDIATE,4.0,False,AlphaTauri,2843.309,2021-10-09 09:32:23.321,12,,False,,False,True
3057.829,GAS,10,121.297,8.0,3.0,,,48.5,42.903,29.894,2985.032,3027.935,3057.829,139.0,223.0,239.0,256.0,False,INTERMEDIATE,5.0,False,AlphaTauri,2936.532,2021-10-09 09:33:56.544,12,,False,,False,True
3149.795,GAS,10,91.966,9.0,3.0,,,33.687,32.497,25.782,3091.516,3124.013,3149.795,275.0,282.0,238.0,301.0,True,INTERMEDIATE,6.0,False,AlphaTauri,3057.829,2021-10-09 09:35:57.841,1,,False,,False,True
3272.956,GAS,10,123.161,10.0,3.0,,,46.333,46.812,30.016,3196.128,3242.94,3272.956,237.0,244.0,238.0,264.0,False,INTERMEDIATE,7.0,False,AlphaTauri,3149.795,2021-10-09 09:37:29.807,1,,False,,False,True
