Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3861.864,VER,33,102.612,1.0,1.0,,,,41.008,33.498,,3828.439,3862.061,207.0,181.0,204.0,289.0,False,MEDIUM,4.0,False,Red Bull Racing,3759.103,2021-10-24 19:03:40.852,12,2.0,False,,False,False
3963.614,VER,33,101.75,2.0,1.0,,,27.412,40.86,33.478,3889.286,3930.146,3963.624,203.0,182.0,202.0,295.0,True,MEDIUM,5.0,False,Red Bull Racing,3861.864,2021-10-24 19:05:23.613,1,2.0,False,,False,True
4064.885,VER,33,101.271,3.0,1.0,,,27.35,40.396,33.525,3990.974,4031.37,4064.895,206.0,181.0,202.0,316.0,True,MEDIUM,6.0,False,Red Bull Racing,3963.614,2021-10-24 19:07:05.363,1,2.0,False,,False,True
4166.01,VER,33,101.125,4.0,1.0,,,27.164,40.479,33.482,4092.059,4132.538,4166.02,204.0,180.0,202.0,312.0,False,MEDIUM,7.0,False,Red Bull Racing,4064.885,2021-10-24 19:08:46.634,1,2.0,True,TRACK LIMITS AT TURN 19,False,True
4267.492,VER,33,101.482,5.0,1.0,,,27.155,40.724,33.603,4193.175,4233.899,4267.502,202.0,183.0,199.0,316.0,False,MEDIUM,8.0,False,Red Bull Racing,4166.01,2021-10-24 19:10:27.759,1,2.0,False,,False,True
4369.322,VER,33,101.83,6.0,1.0,,,27.445,40.746,33.639,4294.947,4335.693,4369.332,197.0,179.0,203.0,316.0,False,MEDIUM,9.0,False,Red Bull Racing,4267.492,2021-10-24 19:12:09.241,1,2.0,False,,False,True
4471.063,VER,33,101.741,7.0,1.0,,,27.349,40.836,33.556,4396.681,4437.517,4471.073,200.0,180.0,202.0,317.0,False,MEDIUM,10.0,False,Red Bull Racing,4369.322,2021-10-24 19:13:51.071,1,2.0,False,,False,True
4572.995,VER,33,101.932,8.0,1.0,,,27.254,41.144,33.534,4498.327,4539.471,4573.005,202.0,182.0,202.0,316.0,False,MEDIUM,11.0,False,Red Bull Racing,4471.063,2021-10-24 19:15:32.812,1,2.0,False,,False,True
4674.563,VER,33,101.568,9.0,1.0,,,27.074,40.844,33.65,4600.079,4640.923,4674.573,203.0,182.0,201.0,324.0,False,MEDIUM,12.0,False,Red Bull Racing,4572.995,2021-10-24 19:17:14.744,1,2.0,False,,False,True
4776.273,VER,33,101.71,10.0,1.0,,4775.398,27.293,40.776,33.641,4701.866,4742.642,4776.283,196.0,183.0,,319.0,False,MEDIUM,13.0,False,Red Bull Racing,4674.563,2021-10-24 19:18:56.312,1,2.0,False,,False,False
4895.124,VER,33,118.851,11.0,2.0,4799.114,,46.403,40.073,32.375,4822.686,4862.759,4895.134,214.0,186.0,203.0,312.0,False,HARD,1.0,True,Red Bull Racing,4776.273,2021-10-24 19:20:38.022,1,4.0,False,,False,False
4995.55,VER,33,100.426,12.0,2.0,,,27.043,40.355,33.028,4922.177,4962.532,4995.56,206.0,183.0,204.0,295.0,True,HARD,2.0,True,Red Bull Racing,4895.124,2021-10-24 19:22:36.873,1,4.0,False,,False,True
5095.652,VER,33,100.102,13.0,2.0,,,27.005,40.311,32.786,5022.565,5062.876,5095.662,,184.0,203.0,292.0,True,HARD,3.0,True,Red Bull Racing,4995.55,2021-10-24 19:24:17.299,1,2.0,False,,False,True
5196.063,VER,33,100.411,14.0,2.0,,,27.216,40.382,32.813,5122.878,5163.26,5196.073,208.0,183.0,203.0,294.0,False,HARD,4.0,True,Red Bull Racing,5095.652,2021-10-24 19:25:57.401,1,1.0,False,,False,True
5296.799,VER,33,100.736,15.0,2.0,,,27.327,40.412,32.997,5223.4,5263.812,5296.809,205.0,184.0,202.0,292.0,False,HARD,5.0,True,Red Bull Racing,5196.063,2021-10-24 19:27:37.812,1,1.0,False,,False,True
5397.671,VER,33,100.872,16.0,2.0,,,27.341,40.776,32.755,5324.15,5364.926,5397.681,202.0,185.0,203.0,291.0,False,HARD,6.0,True,Red Bull Racing,5296.799,2021-10-24 19:29:18.548,1,1.0,False,,False,True
5498.562,VER,33,100.891,17.0,2.0,,,27.256,40.63,33.005,5424.937,5465.567,5498.572,204.0,183.0,203.0,293.0,False,HARD,7.0,True,Red Bull Racing,5397.671,2021-10-24 19:30:59.420,1,1.0,False,,False,True
5599.36,VER,33,100.798,18.0,2.0,,,27.321,40.545,32.932,5525.893,5566.438,5599.37,206.0,184.0,203.0,294.0,False,HARD,8.0,True,Red Bull Racing,5498.562,2021-10-24 19:32:40.311,1,1.0,False,,False,True
5700.019,VER,33,100.659,19.0,2.0,,,27.177,40.443,33.039,5626.547,5666.99,5700.029,,183.0,203.0,296.0,False,HARD,9.0,True,Red Bull Racing,5599.36,2021-10-24 19:34:21.109,1,1.0,False,,False,True
5801.057,VER,33,101.038,20.0,2.0,,,27.173,40.937,32.928,5727.202,5768.139,5801.067,207.0,184.0,202.0,295.0,False,HARD,10.0,True,Red Bull Racing,5700.019,2021-10-24 19:36:01.768,1,1.0,False,,False,True
5901.859,VER,33,100.802,21.0,2.0,,,27.113,40.709,32.98,5828.18,5868.889,5901.869,206.0,184.0,203.0,296.0,False,HARD,11.0,True,Red Bull Racing,5801.057,2021-10-24 19:37:42.806,1,1.0,False,,False,True
6002.85,VER,33,100.991,22.0,2.0,,,27.177,40.722,33.092,5929.046,5969.768,6002.86,203.0,185.0,203.0,294.0,False,HARD,12.0,True,Red Bull Racing,5901.859,2021-10-24 19:39:23.608,1,1.0,False,,False,True
6103.687,VER,33,100.837,23.0,2.0,,,27.177,40.57,33.09,,6070.607,6103.697,204.0,185.0,202.0,297.0,False,HARD,13.0,True,Red Bull Racing,6002.85,2021-10-24 19:41:04.599,1,1.0,False,,False,True
6204.525,VER,33,100.838,24.0,2.0,,,27.087,40.599,33.152,6130.784,6171.383,6204.535,,184.0,202.0,299.0,False,HARD,14.0,True,Red Bull Racing,6103.687,2021-10-24 19:42:45.436,1,1.0,False,,False,True
6305.74,VER,33,101.215,25.0,2.0,,,27.176,40.717,33.322,6231.711,6272.428,6305.75,203.0,184.0,203.0,300.0,False,HARD,15.0,True,Red Bull Racing,6204.525,2021-10-24 19:44:26.274,1,1.0,False,,False,True
6407.233,VER,33,101.493,26.0,2.0,,,27.201,40.858,33.434,6332.951,6373.809,6407.243,201.0,183.0,205.0,301.0,False,HARD,16.0,True,Red Bull Racing,6305.74,2021-10-24 19:46:07.489,1,1.0,False,,False,True
6507.886,VER,33,100.653,27.0,2.0,,,26.879,40.701,33.073,6434.122,6474.823,6507.896,204.0,185.0,202.0,300.0,False,HARD,17.0,True,Red Bull Racing,6407.233,2021-10-24 19:47:48.982,1,1.0,False,,False,True
6618.326,VER,33,110.44,28.0,2.0,,,35.946,41.433,33.061,6543.842,6585.275,6618.336,135.0,184.0,202.0,297.0,False,HARD,18.0,True,Red Bull Racing,6507.886,2021-10-24 19:49:29.635,167,1.0,False,,False,False
6719.491,VER,33,101.165,29.0,2.0,,6718.67,27.173,40.588,33.404,6645.509,6686.097,6719.501,204.0,185.0,,298.0,False,HARD,19.0,True,Red Bull Racing,6618.326,2021-10-24 19:51:20.075,1,1.0,False,,False,False
