DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps
33,,VER,max_verstappen,Red Bull,,red_bull,Max,Verstappen,Max Verstappen,,,,,,,,,,,,
44,,HAM,hamilton,Mercedes,,mercedes,Lewis,Hamilton,Lewis Hamilton,,,,,,,,,,,,
11,,PER,perez,Red Bull,,red_bull,Sergio,Pérez,Sergio Pérez,,,,,,,,,,,,
10,,GAS,gasly,AlphaTauri,,alphatauri,Pierre,Gasly,Pierre Gasly,,,,,,,,,,,,
16,,LEC,leclerc,Ferrari,,ferrari,Charles,Leclerc,Charles Leclerc,,,,,,,,,,,,
55,,SAI,sainz,Ferrari,,ferrari,Carlos,Sainz,Carlos Sainz,,,,,,,,,,,,
5,,VET,vettel,Aston Martin,,aston_martin,Sebastian,Vettel,Sebastian Vettel,,,,,,,,,,,,
7,,RAI,raikkonen,Alfa Romeo,,alfa,Kimi,Räikkönen,Kimi Räikkönen,,,,,,,,,,,,
14,,ALO,alonso,Alpine F1 Team,,alpine,Fernando,Alonso,Fernando Alonso,,,,,,,,,,,,
4,,NOR,norris,McLaren,,mclaren,Lando,Norris,Lando Norris,,,,,,,,,,,,
99,,GIO,giovinazzi,Alfa Romeo,,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,,,,,,,,,,,,
3,,RIC,ricciardo,McLaren,,mclaren,Daniel,Ricciardo,Daniel Ricciardo,,,,,,,,,,,,
31,,OCO,ocon,Alpine F1 Team,,alpine,Esteban,Ocon,Esteban Ocon,,,,,,,,,,,,
18,,STR,stroll,Aston Martin,,aston_martin,Lance,Stroll,Lance Stroll,,,,,,,,,,,,
77,,BOT,bottas,Mercedes,,mercedes,Valtteri,Bottas,Valtteri Bottas,,,,,,,,,,,,
63,,RUS,russell,Williams,,williams,George,Russell,George Russell,,,,,,,,,,,,
6,,LAT,latifi,Williams,,williams,Nicholas,Latifi,Nicholas Latifi,,,,,,,,,,,,
9,,MAZ,mazepin,Haas F1 Team,,haas,Nikita,Mazepin,Nikita Mazepin,,,,,,,,,,,,
47,,MSC,mick_schumacher,Haas F1 Team,,haas,Mick,Schumacher,Mick Schumacher,,,,,,,,,,,,
22,,TSU,tsunoda,AlphaTauri,,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,,,,,,,,,,,,
