Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-11-12 14:30:03,Other,AIR TEMPERATURE 1 HOUR BEFORE P1 = 17 DEGREES,,,,,,
2021-11-12 15:15:02,Other,RISK OF RAIN FOR THIS SESSION IS 60%,,,,,,
2021-11-12 15:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-11-12 15:57:42,Other,WET TRACK,,,,,,
2021-11-12 16:04:26,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 4,,,,,16,
2021-11-12 16:19:24,CarEvent,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 4,,,,,63,
2021-11-12 16:22:59,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 4,,,,,16,
2021-11-12 16:27:22,CarEvent,CAR 14 (ALO) MISSED THE APEX OF TURN 2,,,,,14,
2021-11-12 16:27:31,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 5,,,,,77,
2021-11-12 16:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-11-12 16:30:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,,
