Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1478.585,RIC,3,,1.0,1.0,1377.214,1475.743,,43.539,21.196,,1458.119,1479.568,262.0,253.0,,,False,SOFT,4.0,False,McLaren,1377.214,2021-11-13 15:07:57.234,1,,False,,False,False
1578.851,RIC,3,100.266,2.0,2.0,1501.537,1575.707,40.267,39.018,20.981,1518.852,1557.87,1578.851,279.0,242.0,,,False,MEDIUM,12.0,False,McLaren,1478.585,2021-11-13 15:09:38.605,1,,False,,False,False
1681.29,RIC,3,102.439,3.0,3.0,1593.664,,45.697,39.215,17.527,1624.548,1663.763,1681.29,266.0,242.0,295.0,,False,MEDIUM,13.0,False,McLaren,1578.851,2021-11-13 15:11:18.871,1,,False,,False,False
1756.804,RIC,3,75.514,4.0,3.0,,,19.407,38.652,17.455,1700.697,1739.349,1756.804,292.0,248.0,298.0,293.0,True,MEDIUM,14.0,False,McLaren,1681.29,2021-11-13 15:13:01.310,1,,False,,False,True
1832.995,RIC,3,76.191,5.0,3.0,,,19.406,39.272,17.513,1776.21,1815.482,1832.995,298.0,247.0,305.0,297.0,False,MEDIUM,15.0,False,McLaren,1756.804,2021-11-13 15:14:16.824,1,,False,,False,True
1908.785,RIC,3,75.79,6.0,3.0,,,19.568,38.715,17.507,1852.563,1891.278,1908.785,302.0,248.0,297.0,294.0,False,MEDIUM,16.0,False,McLaren,1832.995,2021-11-13 15:15:33.015,1,,False,,False,True
1984.445,RIC,3,75.66,7.0,3.0,,,19.441,38.574,17.645,1928.226,1966.8,1984.445,297.0,249.0,296.0,295.0,False,MEDIUM,17.0,False,McLaren,1908.785,2021-11-13 15:16:48.805,1,,False,,False,True
2060.29,RIC,3,75.845,8.0,3.0,,,19.469,38.665,17.711,2003.914,2042.579,2060.29,301.0,241.0,295.0,294.0,False,MEDIUM,18.0,False,McLaren,1984.445,2021-11-13 15:18:04.465,1,,False,,False,True
2135.996,RIC,3,75.706,9.0,3.0,,,19.457,38.667,17.582,2079.747,2118.414,2135.996,299.0,242.0,294.0,295.0,False,MEDIUM,19.0,False,McLaren,2060.29,2021-11-13 15:19:20.310,1,,False,,False,True
2214.738,RIC,3,78.742,10.0,3.0,,2211.818,19.407,38.354,20.981,2155.403,2193.757,2214.738,,250.0,,297.0,False,MEDIUM,20.0,False,McLaren,2135.996,2021-11-13 15:20:36.016,1,,False,,False,False
2314.261,RIC,3,99.523,11.0,4.0,2235.327,2312.032,37.237,39.574,22.712,2251.975,2291.549,2314.261,283.0,251.0,,,False,MEDIUM,21.0,False,McLaren,2214.738,2021-11-13 15:21:54.758,1,,False,,False,False
2939.507,RIC,3,,12.0,5.0,2842.391,2936.686,,41.954,21.453,,2918.054,2939.668,269.0,230.0,,,False,SOFT,5.0,False,McLaren,2314.261,2021-11-13 15:23:34.281,1,,False,,False,False
3041.399,RIC,3,101.892,13.0,6.0,2954.736,,44.572,39.791,17.529,2984.079,3023.87,3041.399,271.0,237.0,293.0,,False,SOFT,6.0,False,McLaren,2939.507,2021-11-13 15:33:59.527,1,,False,,False,False
3115.152,RIC,3,73.753,14.0,6.0,,,19.174,37.332,17.247,3060.573,3097.905,3115.152,299.0,256.0,298.0,298.0,True,SOFT,7.0,False,McLaren,3041.399,2021-11-13 15:35:41.419,1,,False,,False,True
3188.6,RIC,3,73.448,15.0,6.0,,,18.953,37.432,17.063,3134.105,3171.537,3188.6,298.0,253.0,300.0,301.0,True,SOFT,8.0,False,McLaren,3115.152,2021-11-13 15:36:55.172,1,,False,,False,True
3262.36,RIC,3,73.76,16.0,6.0,,,19.085,37.711,16.964,3207.685,3245.396,3262.36,302.0,246.0,324.0,296.0,False,SOFT,9.0,False,McLaren,3188.6,2021-11-13 15:38:08.620,1,,False,,False,True
3337.234,RIC,3,74.874,17.0,6.0,,,19.903,37.949,17.022,3282.263,3320.212,3337.234,304.0,249.0,322.0,309.0,False,SOFT,10.0,False,McLaren,3262.36,2021-11-13 15:39:22.380,1,,False,,False,True
3410.934,RIC,3,73.7,18.0,6.0,,,19.048,37.374,17.278,3356.282,3393.656,3410.934,299.0,256.0,298.0,306.0,False,SOFT,11.0,False,McLaren,3337.234,2021-11-13 15:40:37.254,1,,False,,False,True
3484.702,RIC,3,73.768,19.0,6.0,,,18.998,37.463,17.307,3429.932,3467.395,3484.702,300.0,253.0,297.0,298.0,False,SOFT,12.0,False,McLaren,3410.934,2021-11-13 15:41:50.954,1,,False,,False,True
3562.397,RIC,3,77.695,20.0,6.0,,3559.574,19.078,37.766,20.851,3503.78,3541.546,3562.397,301.0,251.0,,299.0,False,SOFT,13.0,False,McLaren,3484.702,2021-11-13 15:43:04.722,1,,False,,False,False
3662.6,RIC,3,100.203,21.0,7.0,3583.467,3659.737,37.58,39.075,23.548,3599.977,3639.052,3662.6,255.0,228.0,,,False,MEDIUM,22.0,False,McLaren,3562.397,2021-11-13 15:44:22.417,1,,False,,False,False
3757.411,RIC,3,94.811,22.0,8.0,3682.947,,36.331,41.074,17.406,3698.931,3740.005,3757.411,295.0,208.0,295.0,,False,SOFT,14.0,False,McLaren,3662.6,2021-11-13 15:46:02.620,1,,False,,False,False
