Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2199.73,BOT,77,,1.0,1.0,,,,37.003,16.761,,2183.078,2199.901,303.0,259.0,296.0,218.0,False,SOFT,4.0,False,Mercedes,2123.625,2021-11-13 19:33:03.308,1,1.0,False,,False,False
2272.703,BOT,77,72.973,2.0,1.0,,,18.794,37.335,16.844,2218.588,2255.923,2272.767,297.0,258.0,296.0,290.0,True,SOFT,5.0,False,Mercedes,2199.73,2021-11-13 19:34:19.413,12,1.0,False,,False,True
2345.536,BOT,77,72.833,3.0,1.0,,,18.709,37.352,16.772,2291.476,2328.828,2345.6,301.0,259.0,297.0,294.0,True,SOFT,6.0,False,Mercedes,2272.703,2021-11-13 19:35:32.386,1,1.0,False,,False,True
2418.089,BOT,77,72.553,4.0,1.0,,,18.733,37.033,16.787,2364.333,2401.366,2418.153,304.0,259.0,297.0,298.0,True,SOFT,7.0,False,Mercedes,2345.536,2021-11-13 19:36:45.219,1,1.0,False,,False,True
2490.735,BOT,77,72.646,5.0,1.0,,,18.692,37.214,16.74,2436.845,2474.059,2490.799,302.0,252.0,299.0,,False,SOFT,8.0,False,Mercedes,2418.089,2021-11-13 19:37:57.772,1,1.0,False,,False,True
2563.165,BOT,77,72.43,6.0,1.0,,,18.595,37.086,16.749,2509.394,2546.48,2563.229,306.0,260.0,300.0,299.0,True,SOFT,9.0,False,Mercedes,2490.735,2021-11-13 19:39:10.418,1,1.0,False,,False,True
2635.71,BOT,77,72.545,7.0,1.0,,,18.593,37.246,16.706,2581.822,2619.068,2635.774,299.0,260.0,301.0,300.0,False,SOFT,10.0,False,Mercedes,2563.165,2021-11-13 19:40:22.848,1,1.0,False,,False,True
2708.01,BOT,77,72.3,8.0,1.0,,,18.682,36.885,16.733,2654.456,2691.341,2708.074,303.0,260.0,300.0,294.0,True,SOFT,11.0,False,Mercedes,2635.71,2021-11-13 19:41:35.393,1,1.0,False,,False,True
2780.474,BOT,77,72.464,9.0,1.0,,,18.61,37.054,16.8,2726.684,2763.738,2780.538,302.0,263.0,301.0,298.0,False,SOFT,12.0,False,Mercedes,2708.01,2021-11-13 19:42:47.693,1,1.0,False,,False,True
2852.84,BOT,77,72.366,10.0,1.0,,,18.635,37.049,16.682,2799.173,2836.222,2852.904,303.0,260.0,301.0,296.0,False,SOFT,13.0,False,Mercedes,2780.474,2021-11-13 19:44:00.157,1,1.0,False,,False,True
