Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1113.835,RIC,3,,1.0,1.0,976.005,,65.921,39.339,45.552,1028.963,1068.316,1113.954,204.0,251.0,303.0,203.0,False,MEDIUM,1.0,True,McLaren,976.005,2021-11-19 14:01:16.019,1,,False,,False,False
1199.676,RIC,3,85.841,2.0,1.0,,,28.437,28.742,28.662,1142.272,1171.014,1199.676,240.0,278.0,307.0,310.0,True,MEDIUM,2.0,True,McLaren,1113.835,2021-11-19 14:03:33.849,1,,False,,False,True
1343.96,RIC,3,144.284,3.0,1.0,,,52.353,48.344,43.587,1252.029,1300.373,1343.96,196.0,228.0,306.0,297.0,False,MEDIUM,3.0,True,McLaren,1199.676,2021-11-19 14:04:59.690,1,,False,,False,True
1429.165,RIC,3,85.205,4.0,1.0,,,28.108,28.666,28.431,1372.068,1400.734,1429.165,241.0,278.0,309.0,314.0,True,MEDIUM,4.0,True,McLaren,1343.96,2021-11-19 14:07:23.974,1,,False,,False,True
1567.087,RIC,3,137.922,5.0,1.0,,,43.797,43.254,50.871,1472.962,1516.216,1567.087,163.0,238.0,229.0,308.0,False,MEDIUM,5.0,True,McLaren,1429.165,2021-11-19 14:08:49.179,1,,False,,False,True
1688.129,RIC,3,121.042,6.0,1.0,,,43.497,37.587,39.958,1610.584,1648.171,1688.129,178.0,259.0,303.0,237.0,False,MEDIUM,6.0,True,McLaren,1567.087,2021-11-19 14:11:07.101,1,,False,,False,True
1773.084,RIC,3,84.955,7.0,1.0,,,28.116,28.536,28.303,1716.245,1744.781,1773.084,240.0,278.0,306.0,309.0,True,MEDIUM,7.0,True,McLaren,1688.129,2021-11-19 14:13:08.143,1,,False,,False,True
2679.688,RIC,3,,8.0,1.0,,1871.877,33.361,33.71,,1806.453,1840.614,,176.0,260.0,,303.0,False,MEDIUM,8.0,True,McLaren,1773.084,2021-11-19 14:14:33.098,1,,False,,False,False
2815.089,RIC,3,135.401,9.0,2.0,2683.203,,50.631,43.884,40.886,2730.319,2774.203,2815.089,119.0,254.0,309.0,123.0,False,SOFT,1.0,True,McLaren,2679.688,2021-11-19 14:29:39.702,1,,False,,False,False
2899.224,RIC,3,84.135,10.0,2.0,,,27.701,28.318,28.116,2842.79,2871.108,2899.224,245.0,281.0,305.0,315.0,True,SOFT,2.0,True,McLaren,2815.089,2021-11-19 14:31:55.103,1,,False,,False,True
3021.942,RIC,3,122.718,11.0,2.0,,,39.901,42.861,39.956,2939.125,2981.986,3021.942,197.0,241.0,306.0,299.0,False,SOFT,3.0,True,McLaren,2899.224,2021-11-19 14:33:19.238,1,,False,,False,True
3106.239,RIC,3,84.297,12.0,2.0,,,27.682,28.432,28.183,3049.624,3078.056,3106.239,243.0,277.0,299.0,313.0,False,SOFT,4.0,True,McLaren,3021.942,2021-11-19 14:35:21.956,1,,False,,False,True
3593.136,RIC,3,,13.0,2.0,,3203.487,32.309,32.159,,3138.855,3170.702,,196.0,255.0,,298.0,False,SOFT,5.0,True,McLaren,3106.239,2021-11-19 14:36:46.253,12,,False,,False,False
3699.849,RIC,3,106.713,14.0,3.0,3597.155,,45.807,30.376,30.53,3638.943,3669.319,3699.849,229.0,266.0,284.0,208.0,False,SOFT,6.0,False,McLaren,3593.136,2021-11-19 14:44:53.150,1,,False,,False,False
