Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-11-20 10:45:51,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2021-11-20 11:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-11-20 11:01:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2021-11-20 11:01:20,Other,DRS DISABLED IN ZONE 1,,,,,,
2021-11-20 11:01:55,Flag,RED FLAG,,RED,Track,,,
2021-11-20 11:01:55,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2021-11-20 11:04:17,Other,SESSION WILL RESUME AT 14:05,,,,,,
2021-11-20 11:04:19,Flag,TRACK CLEAR,,CLEAR,Track,,,
2021-11-20 11:05:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-11-20 11:05:03,Drs,DRS ENABLED,ENABLED,,,,,
2021-11-20 11:21:02,CarEvent,CAR 11 (PER) OFF TRACK AND CONTINUED AT TURN 15,,,,,11,
2021-11-20 11:22:35,CarEvent,CAR 10 (GAS) SPUN AND CONTINUED AT TURN 2,,,,,10,
2021-11-20 11:37:40,Other,CAR 10 (GAS) TIME 1:22.721 DELETED - TRACK LIMITS AT TURN 16,,,,,,
2021-11-20 11:43:13,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 15,,,,,4,
2021-11-20 11:46:56,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2021-11-20 11:46:58,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2021-11-20 11:47:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2021-11-20 11:47:06,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2021-11-20 11:47:08,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2021-11-20 11:47:23,CarEvent,CAR 16 (LEC) SPUN AND CONTINUED AT TURN 3,,,,,16,
2021-11-20 11:48:54,Other,CAR 6 (LAT) TIME 2:05.590 DELETED - DOUBLE YELLOW AT TURN 2,,,,,,
2021-11-20 11:49:05,Other,CAR 47 (MSC) TIME 2:18.879 DELETED - DOUBLE YELLOW AT TURN 2,,,,,,
2021-11-20 11:53:59,Other,CAR 31 (OCO) TIME 1:23.601 DELETED - TRACK LIMITS AT TURN 2,,,,,,
2021-11-20 11:54:55,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2021-11-20 11:54:56,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2021-11-20 11:54:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2021-11-20 11:54:59,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2021-11-20 11:55:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2021-11-20 11:55:08,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2021-11-20 11:55:09,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2021-11-20 11:55:15,CarEvent,CAR 47 (MSC) SPUN AND CONTINUED AT TURN 2,,,,,47,
2021-11-20 11:55:17,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2021-11-20 11:56:03,Other,CAR 18 (STR) TIME 1:25.438 DELETED - TRACK LIMITS AT TURN 16,,,,,,
2021-11-20 11:58:53,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 16,,,,,16,
2021-11-20 11:59:18,Other,CAR 16 (LEC) TIME 1:25.748 DELETED - TRACK LIMITS AT TURN 16,,,,,,
2021-11-20 11:59:34,Other,CAR 22 (TSU) TIME 1:24.815 DELETED - TRACK LIMITS AT TURN 2,,,,,,
2021-11-20 12:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-11-20 12:00:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,,
2021-11-20 12:01:47,Other,CAR 7 (RAI) TIME 2:18.969 DELETED - DOUBLE YELLOW AT TURN 2,,,,,,
2021-11-20 12:02:07,Other,CAR 6 (LAT) TIME 1:53.437 DELETED - DOUBLE YELLOW AT TURN 1,,,,,,
2021-11-20 12:02:08,Other,CAR 44 (HAM) TIME 1:58.173 DELETED - DOUBLE YELLOW AT TURN 1,,,,,,
