Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
31.636,26.3,64.6,1009.3,False,30.3,145,0.2
91.636,26.3,64.9,1009.4,False,30.2,144,0.3
151.642,26.3,65.3,1009.4,False,30.1,110,0.5
211.647,26.2,65.3,1009.3,False,30.1,131,0.5
271.634,26.2,65.2,1009.4,False,30.1,119,0.4
331.651,26.2,65.1,1009.2,False,30.1,130,0.1
391.667,26.2,65.2,1009.4,False,30.1,173,0.4
451.679,26.2,65.2,1009.3,False,30.1,166,0.1
511.669,26.2,65.3,1009.4,False,30.1,169,0.2
571.668,26.2,65.6,1009.4,False,29.9,150,0.2
631.667,26.2,65.7,1009.3,False,29.8,153,0.3
691.667,26.2,65.6,1009.3,False,29.8,125,0.2
751.663,26.2,65.8,1009.2,False,29.8,133,0.3
811.671,26.2,65.8,1009.4,False,29.8,128,0.2
871.668,26.2,65.8,1009.3,False,29.9,162,0.3
931.667,26.2,66.1,1009.4,False,29.8,146,0.2
991.678,26.1,66.4,1009.4,False,29.8,156,0.4
1051.66,26.1,66.5,1009.4,False,29.6,143,0.3
1111.67,26.1,66.5,1009.4,False,29.6,157,0.2
1171.666,26.1,66.3,1009.4,False,29.7,160,0.3
1231.668,26.0,66.3,1009.4,False,29.6,164,0.1
1291.667,26.1,66.3,1009.5,False,29.5,151,0.1
1351.667,26.1,66.4,1009.5,False,29.5,127,0.1
1411.671,26.1,66.2,1009.5,False,29.5,172,0.3
1471.67,26.1,66.1,1009.5,False,29.6,123,0.2
1531.71,26.1,65.9,1009.5,False,29.5,130,0.1
1591.667,26.1,66.0,1009.6,False,29.5,129,0.1
1651.665,26.1,65.8,1009.5,False,29.5,126,0.3
1711.665,26.1,65.5,1009.7,False,29.5,144,0.3
1771.672,26.1,65.5,1009.6,False,29.4,150,0.4
1831.658,26.1,65.3,1009.6,False,29.5,94,0.3
1891.671,26.1,65.4,1009.7,False,29.5,157,0.1
1951.684,26.1,65.5,1009.6,False,29.5,125,0.1
2011.674,26.0,65.8,1009.5,False,29.3,130,0.1
2071.656,26.0,66.1,1009.6,False,29.1,0,0.2
2131.665,26.0,66.2,1009.6,False,29.1,166,0.2
2191.667,26.0,66.4,1009.6,False,29.2,166,0.1
2251.666,26.0,66.3,1009.6,False,29.2,145,0.2
2311.668,26.0,65.8,1009.6,False,29.4,145,0.3
2371.687,26.0,66.0,1009.6,False,29.3,173,0.2
2431.667,25.9,66.3,1009.6,False,29.2,141,0.2
2491.667,25.9,66.4,1009.6,False,29.1,166,0.2
2551.672,25.9,66.7,1009.6,False,29.1,102,0.1
2611.683,25.9,66.9,1009.6,False,29.0,182,0.1
2672.25,25.8,67.1,1009.6,False,29.0,0,0.1
2731.667,25.8,67.1,1009.7,False,29.0,165,0.1
2791.666,25.9,67.3,1009.6,False,29.0,138,0.2
2851.667,25.9,67.3,1009.6,False,29.0,165,0.2
2911.668,25.8,67.4,1009.6,False,29.0,134,0.2
2971.67,25.9,67.1,1009.6,False,29.0,120,0.2
3031.668,25.8,67.3,1009.7,False,29.0,0,0.1
3091.682,25.8,67.4,1009.7,False,29.1,133,0.1
3151.664,25.8,67.3,1009.7,False,28.9,178,0.2
3211.666,25.8,67.4,1009.6,False,28.9,119,0.2
3271.668,25.8,67.3,1009.6,False,28.9,144,0.2
3331.667,25.8,67.4,1009.8,False,28.9,116,0.2
3391.667,25.7,67.5,1009.8,False,28.8,107,0.1
3451.677,25.8,67.5,1009.8,False,28.8,124,0.1
3511.666,25.8,67.7,1009.8,False,28.7,139,0.3
3571.666,25.8,67.3,1009.8,False,28.8,149,0.3
3631.668,25.8,67.1,1009.8,False,28.9,100,0.2
3691.658,25.8,67.3,1009.8,False,28.9,112,0.1
3751.663,25.7,67.3,1009.8,False,28.7,189,0.1
3811.674,25.7,67.6,1009.8,False,28.7,93,0.1
3871.664,25.7,67.6,1009.8,False,28.6,102,0.1
3931.654,25.6,67.7,1009.8,False,28.6,144,0.1
3991.664,25.6,67.9,1009.7,False,28.6,0,0.1
4051.666,25.6,68.1,1009.8,False,28.5,4,0.1
4111.667,25.6,68.0,1009.8,False,28.6,151,0.1
4171.671,25.6,68.0,1009.9,False,28.6,176,0.2
4231.67,25.6,68.1,1009.9,False,28.6,133,0.1
4291.673,25.6,68.0,1009.8,False,28.5,124,0.1
4351.686,25.6,68.0,1009.9,False,28.5,138,0.2
4411.71,25.6,68.1,1010.0,False,28.5,173,0.2
4471.698,25.6,68.2,1009.9,False,28.5,145,0.1
4531.696,25.6,68.2,1009.9,False,28.5,140,0.1
4591.714,25.6,68.4,1010.0,False,28.4,147,0.3
4651.715,25.6,68.6,1009.9,False,28.4,0,0.3
