Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-12-04 13:00:40,Other,AIR TEMPERATURE 1 HOUR BEFORE P3 = 30 DEGREES,,,,,,
2021-12-04 13:45:07,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2021-12-04 13:48:28,Other,DRS DISABLED IN ZONE 2,,,,,,
2021-12-04 13:48:31,Other,DRS DISABLED IN ZONE 3,,,,,,
2021-12-04 13:48:34,Other,DRS DISABLED IN ZONE 1,,,,,,
2021-12-04 13:52:03,Other,DRS ENABLED IN ZONE 3,,,,,,
2021-12-04 13:52:07,Other,DRS DISABLED IN ZONE 3,,,,,,
2021-12-04 13:52:16,Other,DRS ENABLED IN ZONE 3,,,,,,
2021-12-04 13:52:19,Other,DRS ENABLED IN ZONE 2,,,,,,
2021-12-04 13:53:08,Other,DRS ENABLED IN ZONE 1,,,,,,
2021-12-04 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-12-04 14:16:13,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2021-12-04 14:16:14,Other,DRS DISABLED IN ZONE 3,,,,,,
2021-12-04 14:16:26,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2021-12-04 14:16:26,Other,DRS ENABLED IN ZONE 3,,,,,,
2021-12-04 14:16:32,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 1,,,,,44,
2021-12-04 14:17:18,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2021-12-04 14:17:22,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2021-12-04 14:19:40,CarEvent,CAR 31 (OCO) MISSED THE APEX OF TURN 2,,,,,31,
2021-12-04 14:20:02,CarEvent,CAR 33 (VER) MISSED THE APEX OF TURN 5,,,,,33,
2021-12-04 14:22:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2021-12-04 14:22:38,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2021-12-04 14:22:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2021-12-04 14:30:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2021-12-04 14:30:31,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2021-12-04 14:40:17,CarEvent,CAR 9 (MAZ) MISSED THE APEX OF TURN 8,,,,,9,
2021-12-04 14:43:32,CarEvent,CAR 44 (HAM) MISSED THE APEX OF TURN 2,,,,,44,
2021-12-04 14:43:39,CarEvent,CAR 10 (GAS) MISSED THE APEX OF TURN 2,,,,,10,
2021-12-04 14:49:53,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2021-12-04 14:49:56,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2021-12-04 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-12-04 15:00:14,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,,
