Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-12-04 16:00:20,Other,AIR TEMPERATURE 1 HOUR BEFORE Q1 = 28 DEGREES,,,,,,
2021-12-04 16:45:02,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2021-12-04 17:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-12-04 17:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-12-04 17:18:29,Other,FIRST CAR TO TAKE THE FLAG -  CAR 63 (RUS),,,,,,
2021-12-04 17:24:37,Other,Q1 TURN 3 INCIDENT INVOLVING CARS 10 (GAS) AND 55 (SAI) NOTED,,,,,,
2021-12-04 17:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-12-04 17:29:58,Other,CAR 55 (SAI) TIME 1:30.358 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2021-12-04 17:31:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2021-12-04 17:32:04,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2021-12-04 17:32:30,CarEvent,CAR 55 (SAI) SPUN AND CONTINUED AT TURN 11,,,,,55,
2021-12-04 17:37:39,Other,Q1 TURN 3 INCIDENT INVOLVING CARS 10 (GAS) AND 55 (SAI) - WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
2021-12-04 17:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-12-04 17:40:00,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2021-12-04 17:40:04,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2021-12-04 17:40:31,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,,
2021-12-04 17:45:43,Other,TURN 17 INCIDENT INVOLVING CARS 77 (BOT) AND 7 (RAI) NOTED ,,,,,,
2021-12-04 17:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-12-04 17:49:55,Other,TURN 17 INCIDENT INVOLVING CARS 77 (BOT) AND 7 (RAI) NO INVESTIGATION NECESSARY ,,,,,,
2021-12-04 18:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-12-04 18:00:14,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,,
2021-12-04 18:00:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2021-12-04 18:00:40,Other,DRS DISABLED IN ZONE 3,,,,,,
2021-12-04 18:00:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2021-12-04 18:00:47,Other,DRS DISABLED IN ZONE 2,,,,,,
2021-12-04 18:07:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2021-12-04 18:08:15,Other,DRS DISABLED IN ZONE 2,,,,,,
2021-12-04 18:08:15,Other,DRS DISABLED IN ZONE 3,,,,,,
2021-12-04 18:09:34,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2021-12-04 18:09:58,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2021-12-04 18:09:58,Other,DRS ENABLED IN ZONE 2,,,,,,
2021-12-04 18:10:05,Flag,CLEAR IN TRACK SECTOR 0,,CLEAR,Sector,0.0,,
2021-12-04 18:10:07,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
