Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-12-11 09:45:19,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2021-12-11 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-12-11 10:14:12,Other,CAR 5 (VET) TIME 1:26.936 DELETED - TRACK LIMITS AT TURN 16,,,,,,
2021-12-11 10:15:57,Other,CAR 5 (VET) TIME 1:56.958 DELETED - TRACK LIMITS AT TURN 16,,,,,,
2021-12-11 10:16:09,CarEvent,CAR 9 (MAZ) MISSED THE APEX OF TURN 7,,,,,9,
2021-12-11 10:17:15,Other,CAR 9 (MAZ) TIME 1:50.771 DELETED - TRACK LIMITS AT TURN 7,,,,,,
2021-12-11 10:21:16,CarEvent,CAR 6 (LAT) OFF TRACK AND CONTINUED AT TURN 1,,,,,6,
2021-12-11 10:36:41,Other,CAR 5 (VET) TIME 1:26.259 DELETED - TRACK LIMITS AT TURN 16,,,,,,
2021-12-11 10:48:22,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 12,,,,,44,
2021-12-11 10:49:16,CarEvent,CAR 9 (MAZ) OFF TRACK AND CONTINUED AT TURN 1,,,,,9,
2021-12-11 10:51:37,CarEvent,CAR 3 (RIC) OFF TRACK AND CONTINUED AT TURN 1,,,,,3,
2021-12-11 10:59:23,CarEvent,CAR 10 (GAS) MISSED THE APEX OF TURN 7,,,,,10,
2021-12-11 10:59:37,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 1,,,,,44,
2021-12-11 10:59:41,Other,CAR 7 (RAI) TIME 1:26.337 DELETED - TRACK LIMITS AT TURN 16,,,,,,
2021-12-11 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-12-11 11:00:24,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,,
2021-12-11 11:00:43,CarEvent,CAR 4 (NOR) MISSED THE APEX OF TURN 7,,,,,4,
2021-12-11 11:00:56,Other,CAR 7 (RAI) TIME 1:45.594 DELETED - TRACK LIMITS AT TURN 16,,,,,,
