Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-03-19 14:45:14,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2022-03-19 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-03-19 15:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-03-19 15:18:12,Other,FIRST CAR TO TAKE THE FLAG - CAR18,,,,,,
2022-03-19 15:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-03-19 15:39:57,Other,CAR 24 (ZHO) TIME 1:32.387 DELETED - TRACK LIMITS AT TURN 5,,,,,,
2022-03-19 15:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-03-19 15:40:17,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,,
2022-03-19 15:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-03-19 16:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-03-19 16:00:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2022-03-19 16:00:29,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2022-03-19 16:00:30,Other,DRS DISABLED IN ZONE 3,,,,,,
2022-03-19 16:00:52,CarEvent,CAR 20 (MAG) STOPPED AT TURN 1,,,,,20,
2022-03-19 16:01:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2022-03-19 16:02:31,Other,DRS ENABLED IN ZONE 3,,,,,,
2022-03-19 16:02:31,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
