Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-04-09 02:46:19,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,
2022-04-09 02:45:04,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 20%,,,,,,
2022-04-09 02:46:19,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,
2022-04-09 02:48:06,Flag,TRACK CLEAR,,CLEAR,Track,,,
2022-04-09 02:50:32,Other,TRACK TEST COMPLETED,,,,,,
2022-04-09 02:55:52,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2022-04-09 02:55:53,Other,DRS DISABLED IN ZONE 2,,,,,,
2022-04-09 02:55:58,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2022-04-09 02:55:58,Other,DRS ENABLED IN ZONE 2,,,,,,
2022-04-09 03:00:08,Drs,DRS ENABLED,ENABLED,,,,,
2022-04-09 03:00:24,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2022-04-09 03:00:25,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-04-09 03:00:27,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2022-04-09 03:00:27,Other,DRS ENABLED IN ZONE 1,,,,,,
2022-04-09 03:19:35,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2022-04-09 03:19:36,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-04-09 03:19:46,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2022-04-09 03:19:46,Other,DRS ENABLED IN ZONE 1,,,,,,
2022-04-09 03:19:49,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2022-04-09 03:19:50,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-04-09 03:19:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2022-04-09 03:20:17,Flag,RED FLAG,,RED,Track,,,
2022-04-09 03:20:17,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2022-04-09 03:29:15,Other,SESSION WILL RESUME AT 13:31,,,,,,
2022-04-09 03:29:41,Flag,TRACK CLEAR,,CLEAR,Track,,,
2022-04-09 03:29:42,Drs,DRS ENABLED,ENABLED,,,,,
2022-04-09 03:31:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-04-09 03:32:38,Other,PIT EXIT INCIDENT INVOLVING CAR 1 (VER) NOTED,,,,,,
2022-04-09 03:33:44,Other,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CAR 1 (VER) REVIEWED NO FURTHER INVESTIGATION,,,,,,
2022-04-09 03:34:07,CarEvent,CAR 1 (VER) SPUN AND CONTINUED AT TURN 13,,,,,1,
2022-04-09 03:52:11,CarEvent,CAR 1 (VER) OFF TRACK AND CONTINUED AT TURN 6,,,,,1,
2022-04-09 03:52:21,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 9,,,,,44,
2022-04-09 03:54:00,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 10,,,,,55,
2022-04-09 03:55:39,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 10,,,,,4,
2022-04-09 03:55:54,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2022-04-09 03:55:55,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-04-09 03:55:58,Flag,RED FLAG,,RED,Track,,,
2022-04-09 03:55:58,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2022-04-09 03:56:13,Other,SESSION WILL NOT BE RESUMED,,,,,,
2022-04-09 04:04:15,Flag,TRACK CLEAR,,CLEAR,Track,,,
