Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1107.962,VER,1,,1.0,1.0,982.754,,,40.061,50.642,,1057.541,1108.062,200.0,171.0,276.0,147.0,False,SOFT,1.0,True,Red Bull Racing,982.754,2022-05-06 18:31:22.929,1,,False,,False,False
1204.061,VER,1,96.099,2.0,1.0,,,33.258,36.295,26.546,1141.22,1177.515,1204.061,206.0,176.0,277.0,315.0,True,SOFT,2.0,True,Red Bull Racing,1107.962,2022-05-06 18:33:28.137,1,,False,,False,True
1307.444,VER,1,103.383,3.0,1.0,,,36.708,39.106,27.569,1240.769,1279.875,1307.444,191.0,180.0,280.0,279.0,False,SOFT,3.0,True,Red Bull Racing,1204.061,2022-05-06 18:35:04.236,12,,False,,False,True
1400.893,VER,1,93.449,4.0,1.0,,,31.897,35.663,25.889,1339.341,1375.004,1400.893,209.0,183.0,282.0,292.0,True,SOFT,4.0,True,Red Bull Racing,1307.444,2022-05-06 18:36:47.619,21,,False,,False,True
1515.969,VER,1,115.076,5.0,1.0,,1513.967,37.401,43.895,33.78,1438.294,1482.189,1515.969,193.0,164.0,,289.0,False,SOFT,5.0,True,Red Bull Racing,1400.893,2022-05-06 18:38:21.068,1,,False,,False,False
2042.392,VER,1,,6.0,2.0,1945.161,,,37.783,27.529,,2014.942,2042.44,206.0,178.0,281.0,287.0,False,SOFT,6.0,False,Red Bull Racing,1515.969,2022-05-06 18:40:16.144,1,,False,,False,False
2135.585,VER,1,93.193,7.0,2.0,,,31.227,36.078,25.888,2073.619,2109.697,2135.585,213.0,182.0,279.0,332.0,True,SOFT,7.0,False,Red Bull Racing,2042.392,2022-05-06 18:49:02.567,1,,False,,False,True
2248.385,VER,1,112.8,8.0,2.0,,,37.576,47.476,27.748,2173.161,2220.637,2248.385,170.0,167.0,280.0,276.0,False,SOFT,8.0,False,Red Bull Racing,2135.585,2022-05-06 18:50:35.760,1,,False,,False,True
2350.696,VER,1,102.311,9.0,2.0,,2348.631,30.994,37.735,33.582,2279.379,2317.114,2350.696,215.0,170.0,,249.0,False,SOFT,9.0,False,Red Bull Racing,2248.385,2022-05-06 18:52:28.560,1,,False,,False,False
3746.984,VER,1,,10.0,3.0,3649.925,,,37.651,27.063,,3720.019,3746.998,205.0,179.0,283.0,286.0,False,SOFT,1.0,True,Red Bull Racing,3649.925,2022-05-06 19:15:50.100,12,,False,,False,False
3838.334,VER,1,91.35,11.0,3.0,,,30.59,35.158,25.602,3777.574,3812.732,3838.334,218.0,186.0,282.0,331.0,True,SOFT,2.0,True,Red Bull Racing,3746.984,2022-05-06 19:17:27.159,1,,False,,False,True
