Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-05-06 18:15:16,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 40%,,,,,,
2022-05-06 18:17:54,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,
2022-05-06 18:19:54,Flag,TRACK CLEAR,,CLEAR,Track,,,
2022-05-06 18:22:37,Other,TRACK TEST COMPLETED,,,,,,
2022-05-06 18:23:42,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2022-05-06 18:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-05-06 18:33:13,Other,PIT LANE INCIDENT INVOLVING CARS 63 (RUS) AND 31 (OCO) NOTED - UNSAFE RELEASE,,,,,,
2022-05-06 18:33:58,CarEvent,CAR 11 (PER) OFF TRACK AND CONTINUED AT TURN 1,,,,,11,
2022-05-06 18:34:37,CarEvent,CAR 6 (LAT) MISSED THE APEX OF TURN 14,,,,,6,
2022-05-06 18:35:50,CarEvent,CAR 6 (LAT) MISSED THE APEX OF TURN 15,,,,,6,
2022-05-06 18:36:22,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2022-05-06 18:36:23,Other,DRS DISABLED IN ZONE 3,,,,,,
2022-05-06 18:36:26,Other,DRS ENABLED IN ZONE 3,,,,,,
2022-05-06 18:36:26,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2022-05-06 18:36:35,CarEvent,CAR 16 (LEC) SPUN AND CONTINUED AT TURN 1,,,,,16,
2022-05-06 18:36:37,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2022-05-06 18:36:56,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2022-05-06 18:39:49,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 63 (RUS) AND 31 (OCO) UNDER INVESTIGATION - UNSAFE RELEASE,,,,,,
2022-05-06 18:40:44,Other,TURN 16 - 17 INCIDENT INVOLVING CARS 47 (MSC) AND 3 (RIC) NOTED ,,,,,,
2022-05-06 18:42:22,Other,FIA STEWARDS: TURN 16 - 17 INCIDENT INVOLVING CARS 47 (MSC) AND 3 (RIC) WILL BE INVESTIGATED AFTER THE SESSION ,,,,,,
2022-05-06 18:43:21,CarEvent,CAR 4 (NOR) MISSED THE APEX OF TURN 15,,,,,4,
2022-05-06 18:50:28,Other,TURN 14 INCIDENT INVOLVING CARS 47 (MSC) AND 55 (SAI) NOTED ,,,,,,
2022-05-06 18:55:25,Flag,BLACK AND WHITE FLAG FOR CAR 18 (STR) - CROSSING THE LINE AT PIT ENTRY,,BLACK AND WHITE,Driver,,18,
2022-05-06 18:58:42,Other,CORRECTION - BLACK AND WHITE FLAG FOR CAR 5 (VET) - CROSSING THE LINE AT PIT ENTRY,,,,,,
2022-05-06 19:04:36,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2022-05-06 19:05:02,Flag,RED FLAG,,RED,Track,,,
2022-05-06 19:05:03,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2022-05-06 19:12:53,Other,SESSION WILL RESUME AT 15:14,,,,,,
2022-05-06 19:12:58,Flag,TRACK CLEAR,,CLEAR,Track,,,
2022-05-06 19:13:01,Drs,DRS ENABLED,ENABLED,,,,,
2022-05-06 19:14:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-05-06 19:16:20,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2022-05-06 19:16:24,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2022-05-06 19:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-05-06 19:30:27,Other,FIRST CAR TO TAKE THE FLAG - CAR 3 (RIC),,,,,,
