Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1089.43,LEC,16,,1.0,1.0,969.926,,,41.245,31.612,,1057.86,1089.43,172.0,154.0,284.0,259.0,False,SOFT,1.0,True,Ferrari,969.926,2022-05-07 20:01:09.933,1,,False,,False,False
1180.779,LEC,16,91.349,2.0,1.0,,,30.832,34.826,25.691,1120.262,1155.088,1180.779,218.0,192.0,286.0,325.0,True,SOFT,2.0,True,Ferrari,1089.43,2022-05-07 20:03:09.437,1,,False,,False,True
1310.328,LEC,16,129.549,3.0,1.0,,1308.162,49.518,40.566,39.465,1230.297,1270.863,1310.328,190.0,156.0,,267.0,False,SOFT,3.0,True,Ferrari,1180.779,2022-05-07 20:04:40.786,1,,False,,False,False
1443.862,LEC,16,133.534,4.0,2.0,1324.853,,54.194,43.852,35.488,1364.522,1408.374,1443.862,170.0,130.0,285.0,237.0,False,SOFT,4.0,False,Ferrari,1310.328,2022-05-07 20:06:50.335,1,,False,,False,False
1533.336,LEC,16,89.474,5.0,2.0,,,29.711,34.296,25.467,1473.573,1507.869,1533.336,219.0,192.0,286.0,325.0,True,SOFT,5.0,False,Ferrari,1443.862,2022-05-07 20:09:03.869,1,,False,,False,True
1659.278,LEC,16,125.942,6.0,2.0,,1656.42,40.641,41.82,43.481,1573.977,1615.797,1659.278,173.0,154.0,,180.0,False,SOFT,6.0,False,Ferrari,1533.336,2022-05-07 20:10:33.343,1,,False,,False,False
1797.908,LEC,16,138.63,7.0,3.0,1679.898,,65.661,42.793,30.176,1724.939,1767.732,1797.908,168.0,145.0,285.0,206.0,False,SOFT,7.0,False,Ferrari,1659.278,2022-05-07 20:12:39.285,1,,False,,False,False
1907.272,LEC,16,109.364,8.0,3.0,,,37.33,42.359,29.675,1835.238,1877.597,1907.272,199.0,135.0,285.0,280.0,False,SOFT,8.0,False,Ferrari,1797.908,2022-05-07 20:14:57.915,1,,False,,False,True
2010.218,LEC,16,102.946,9.0,3.0,,2008.232,30.182,37.192,35.572,1937.454,1974.646,2010.218,217.0,129.0,,217.0,False,SOFT,9.0,False,Ferrari,1907.272,2022-05-07 20:16:47.279,1,,False,,False,False
2521.223,LEC,16,,10.0,4.0,2406.531,,,42.743,31.85,,2489.4,2521.223,195.0,126.0,284.0,280.0,False,SOFT,10.0,False,Ferrari,2010.218,2022-05-07 20:18:30.225,1,,False,,False,False
2610.977,LEC,16,89.754,11.0,4.0,,,29.717,34.358,25.679,2550.94,2585.298,2610.977,223.0,191.0,284.0,324.0,True,SOFT,11.0,False,Ferrari,2521.223,2022-05-07 20:27:01.230,1,,False,,False,True
2720.98,LEC,16,110.003,12.0,4.0,,2718.963,38.73,37.865,33.408,2649.707,2687.572,2720.98,198.0,173.0,,287.0,False,SOFT,12.0,False,Ferrari,2610.977,2022-05-07 20:28:30.984,1,,False,,False,False
2858.894,LEC,16,137.914,13.0,5.0,2739.225,,61.185,40.695,36.034,2782.165,2822.86,2858.894,201.0,152.0,285.0,150.0,False,SOFT,1.0,True,Ferrari,2720.98,2022-05-07 20:30:20.987,1,,False,,False,False
2948.024,LEC,16,89.13,14.0,5.0,,,29.504,34.19,25.436,2888.398,2922.588,2948.024,224.0,192.0,285.0,323.0,True,SOFT,2.0,True,Ferrari,2858.894,2022-05-07 20:32:38.901,1,,False,,False,True
3070.121,LEC,16,122.097,15.0,5.0,,3068.086,39.841,43.152,39.104,2987.865,3031.017,3070.121,170.0,159.0,,208.0,False,SOFT,3.0,True,Ferrari,2948.024,2022-05-07 20:34:08.031,1,,False,,False,False
3201.612,LEC,16,131.491,16.0,6.0,3082.96,,56.107,45.544,29.84,3126.228,3171.772,3201.612,163.0,148.0,284.0,270.0,False,SOFT,1.0,True,Ferrari,3070.121,2022-05-07 20:36:10.128,1,,False,,False,False
3291.032,LEC,16,89.42,17.0,6.0,,,29.808,34.193,25.419,3231.42,3265.613,3291.032,222.0,192.0,284.0,322.0,False,SOFT,2.0,True,Ferrari,3201.612,2022-05-07 20:38:21.619,1,,False,,False,True
