Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-05-27 14:56:05,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2022-05-27 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-05-27 15:02:53,CarEvent,CAR 20 (MAG) MISSED THE APEX OF TURN 10,,,,,20,
2022-05-27 15:03:12,CarEvent,CAR 6 (LAT) MISSED THE APEX OF TURN 16,,,,,6,
2022-05-27 15:05:20,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2022-05-27 15:05:21,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-05-27 15:05:53,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2022-05-27 15:05:53,Other,DRS ENABLED IN ZONE 1,,,,,,
2022-05-27 15:06:26,CarEvent,CAR 55 (SAI) MISSED THE APEX OF TURN 10,,,,,55,
2022-05-27 15:07:04,CarEvent,CAR 22 (TSU) MISSED THE APEX OF TURN 10,,,,,22,
2022-05-27 15:08:48,CarEvent,CAR 22 (TSU) MISSED THE APEX OF TURN 10,,,,,22,
2022-05-27 15:09:44,CarEvent,CAR 10 (GAS) MISSED THE APEX OF TURN 10,,,,,10,
2022-05-27 15:10:07,CarEvent,CAR 23 (ALB) MISSED THE APEX OF TURN 10,,,,,23,
2022-05-27 15:11:35,Other,CARS 11 (PER) 44 63 MISSED THE APEX OF TURN 10,,,,,,
2022-05-27 15:12:26,CarEvent,CAR 4 (NOR) MISSED THE APEX OF TURN 10,,,,,4,
2022-05-27 15:13:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2022-05-27 15:14:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2022-05-27 15:14:06,Flag,RED FLAG,,RED,Track,,,
