Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-05-28 13:50:52,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2022-05-28 13:57:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2022-05-28 13:57:17,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2022-05-28 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-05-28 14:03:52,CarEvent,CAR 55 (SAI) MISSED THE APEX OF TURN 10,,,,,55,
2022-05-28 14:04:33,Other,CAR 55 (SAI) TIME 1:57.457 DELETED - TRACK LIMITS AT TURN 10 LAP 2 16:03:46,,,,,,
2022-05-28 14:05:31,CarEvent,CAR 47 (MSC) MISSED THE APEX OF TURN 10,,,,,47,
2022-05-28 14:06:34,CarEvent,CAR 77 (BOT) MISSED THE APEX OF TURN 10,,,,,77,
2022-05-28 14:08:17,CarEvent,CAR 55 (SAI) MISSED THE APEX OF TURN 10,,,,,55,
2022-05-28 14:09:02,Other,CAR 55 (SAI) TIME 1:38.231 DELETED - TRACK LIMITS AT TURN 10 LAP 5 16:08:08,,,,,,
2022-05-28 14:10:56,CarEvent,CAR 11 (PER) MISSED THE APEX OF TURN 10,,,,,11,
2022-05-28 14:11:59,Other,CAR 11 (PER) TIME 1:33.426 DELETED - TRACK LIMITS AT TURN 10 LAP 8 16:10:43,,,,,,
2022-05-28 14:13:38,CarEvent,CAR 11 (PER) MISSED THE APEX OF TURN 10,,,,,11,
2022-05-28 14:15:54,Flag,RED FLAG,,RED,Track,,,
2022-05-28 14:17:07,Other,SESSION WILL RESUME AT 16:20,,,,,,
2022-05-28 14:18:35,Flag,TRACK CLEAR,,CLEAR,Track,,,
2022-05-28 14:18:38,Drs,DRS ENABLED,ENABLED,,,,,
2022-05-28 14:20:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-05-28 14:22:25,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-05-28 14:22:43,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,,
2022-05-28 14:24:33,Other,Q2 WILL START AT 16:30,,,,,,
2022-05-28 14:27:23,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2022-05-28 14:27:27,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2022-05-28 14:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-05-28 14:33:38,CarEvent,CAR 63 (RUS) MISSED THE APEX OF TURN 10,,,,,63,
2022-05-28 14:33:55,Other,CAR 63 (RUS) TIME 1:34.333 DELETED - TRACK LIMITS AT TURN 10 LAP 14 16:33:14,,,,,,
2022-05-28 14:35:02,CarEvent,CAR 47 (MSC) MISSED THE APEX OF TURN 10,,,,,47,
2022-05-28 14:37:22,CarEvent,CAR 44 (HAM) MISSED THE APEX OF TURN 10,,,,,44,
2022-05-28 14:45:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-05-28 14:45:06,CarEvent,CAR 63 (RUS) MISSED THE APEX OF TURN 10,,,,,63,
2022-05-28 14:45:14,Other,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM),,,,,,
2022-05-28 14:47:33,Other,Q3 WILL START AT 16:53,,,,,,
2022-05-28 14:53:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-05-28 14:55:57,CarEvent,CAR 63 (RUS) MISSED THE APEX OF TURN 10,,,,,63,
2022-05-28 14:56:18,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2022-05-28 14:56:20,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2022-05-28 14:56:25,Other,CAR 63 (RUS) TIME 1:29.304 DELETED - TRACK LIMITS AT TURN 10 LAP 23 16:55:43,,,,,,
2022-05-28 15:04:21,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2022-05-28 15:04:24,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2022-05-28 15:04:30,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2022-05-28 15:04:31,Flag,RED FLAG,,RED,Track,,,
2022-05-28 15:04:31,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2022-05-28 15:05:50,Other,SESSION WILL NOT BE RESUMED,,,,,,
2022-05-28 15:11:38,Flag,TRACK CLEAR,,CLEAR,Track,,,
2022-05-28 15:19:45,Other,F2 SPRINT RACE - PIT EXIT OPEN WILL BE DELAYED,,,,,,
2022-05-28 15:25:02,Other,RISK OF RAIN FOR F2 SPRINT RACE IS 20%,,,,,,
