Time,Status,Message
0.898,2,Yellow
443.085,1,AllClear
536.41,2,Yellow
543.469,1,AllClear
2049.781,2,Yellow
2053.001,1,AllClear
2245.531,2,Yellow
2248.987,1,AllClear
2249.874,2,Yellow
2251.216,1,AllClear
2623.667,2,Yellow
2637.103,1,AllClear
2716.607,2,Yellow
2719.485,1,AllClear
2720.207,2,Yellow
2731.211,5,Red
3089.999,1,AllClear
3517.26,2,Yellow
3565.038,1,AllClear
4363.111,2,Yellow
4390.885,1,AllClear
4479.591,2,Yellow
4482.256,1,AllClear
4715.808,2,Yellow
4739.751,1,AllClear
4747.156,2,Yellow
4766.084,1,AllClear
4766.833,2,Yellow
4768.389,1,AllClear
