Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3021.631,VER,1,105.546,1.0,1.0,2917.497,,33.358,33.389,38.799,2949.565,2982.956,3021.631,164.0,253.0,258.0,285.0,False,WET,1.0,True,Red Bull Racing,2917.497,2022-06-18 17:33:37.507,1,,False,,False,False
3606.043,VER,1,,2.0,1.0,,3112.871,29.927,32.057,,3051.686,3083.726,,182.0,257.0,,289.0,False,WET,2.0,True,Red Bull Racing,3021.631,2022-06-18 17:35:21.641,1,,False,,False,False
3715.95,VER,1,109.907,3.0,2.0,3607.477,,32.046,35.286,42.575,3638.089,3673.375,3715.95,174.0,256.0,260.0,288.0,False,WET,3.0,False,Red Bull Racing,3606.043,2022-06-18 17:45:06.053,1,,False,,False,False
4000.118,VER,1,,4.0,2.0,,3803.507,27.771,31.357,,3743.881,3775.203,,195.0,259.0,,290.0,False,WET,4.0,False,Red Bull Racing,3715.95,2022-06-18 17:46:55.960,1,,False,,False,False
4108.7,VER,1,108.582,5.0,3.0,4001.534,,31.284,31.689,45.609,4031.402,4063.091,4108.7,181.0,259.0,212.0,212.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,4000.118,2022-06-18 17:51:40.128,12,,False,,False,False
4206.94,VER,1,98.24,6.0,3.0,,,29.431,31.283,37.526,4138.131,4169.414,4206.94,193.0,261.0,263.0,296.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,4108.7,2022-06-18 17:53:28.710,21,,False,,False,True
4308.151,VER,1,101.211,7.0,3.0,,,30.079,31.256,39.876,4237.019,4268.275,4308.151,184.0,261.0,246.0,175.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,4206.94,2022-06-18 17:55:06.950,12,,False,,False,True
4438.024,VER,1,129.873,8.0,3.0,,,61.107,31.138,37.628,4369.258,4400.396,4438.024,187.0,261.0,264.0,295.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,4308.151,2022-06-18 17:56:48.161,21,,False,,False,True
4532.64,VER,1,94.616,9.0,3.0,,,27.305,30.681,36.63,4465.329,4496.01,4532.64,201.0,262.0,263.0,295.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,4438.024,2022-06-18 17:58:58.034,1,,False,,False,True
4624.974,VER,1,,10.0,3.0,,4624.974,31.03,32.106,,4563.805,4595.908,,176.0,260.0,,294.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,4532.64,2022-06-18 18:00:32.650,1,,False,,False,False
1794.18,RIC,3,115.919,1.0,1.0,1679.842,,34.555,35.459,45.905,1713.058,1748.497,1794.264,148.0,245.0,251.0,255.0,False,WET,1.0,True,McLaren,1679.842,2022-06-18 17:12:59.852,1,,False,,False,False
1896.871,RIC,3,102.691,2.0,1.0,,,30.445,32.947,39.299,1824.625,1857.572,1896.871,164.0,252.0,253.0,280.0,True,WET,2.0,True,McLaren,1794.18,2022-06-18 17:14:54.190,1,,False,,False,True
1996.777,RIC,3,99.906,3.0,1.0,,,29.003,32.103,38.8,1925.874,1957.977,1996.777,175.0,253.0,254.0,280.0,True,WET,3.0,True,McLaren,1896.871,2022-06-18 17:16:36.881,12,,False,,False,True
3601.733,RIC,3,,4.0,1.0,,2094.372,29.717,36.346,,2026.741,2063.1,,152.0,233.0,,267.0,False,WET,4.0,True,McLaren,1996.777,2022-06-18 17:18:16.787,12,,False,,False,False
3705.135,RIC,3,103.402,5.0,2.0,3603.243,,31.833,32.995,38.574,3633.566,3666.561,3705.135,170.0,252.0,256.0,282.0,False,WET,5.0,False,McLaren,3601.733,2022-06-18 17:45:01.743,1,,False,,False,False
3823.506,RIC,3,118.371,6.0,2.0,,3794.23,27.947,31.371,59.053,3733.082,3764.453,3823.506,186.0,256.0,,271.0,False,WET,6.0,False,McLaren,3705.135,2022-06-18 17:46:45.145,1,,False,,False,False
3929.577,RIC,3,106.071,7.0,3.0,3825.009,,34.948,32.746,38.377,3858.454,3891.2,3929.577,153.0,259.0,260.0,287.0,False,INTERMEDIATE,1.0,True,McLaren,3823.506,2022-06-18 17:48:43.516,1,,False,,False,False
4024.882,RIC,3,95.305,8.0,3.0,,,27.507,30.495,37.303,3957.084,3987.579,4024.882,189.0,260.0,262.0,287.0,True,INTERMEDIATE,2.0,True,McLaren,3929.577,2022-06-18 17:50:29.587,1,,False,,False,True
4122.678,RIC,3,97.796,9.0,3.0,,,27.156,31.098,39.542,4052.038,4083.136,4122.678,194.0,258.0,210.0,287.0,False,INTERMEDIATE,3.0,True,McLaren,4024.882,2022-06-18 17:52:04.892,12,,False,,False,True
4228.879,RIC,3,106.201,10.0,3.0,,,34.235,33.027,38.939,4156.913,4189.94,4228.879,170.0,256.0,261.0,274.0,False,INTERMEDIATE,4.0,True,McLaren,4122.678,2022-06-18 17:53:42.688,21,,False,,False,True
4324.369,RIC,3,95.49,11.0,3.0,,,27.337,30.924,37.229,4256.216,4287.14,4324.369,191.0,260.0,262.0,288.0,False,INTERMEDIATE,5.0,True,McLaren,4228.879,2022-06-18 17:55:28.889,12,,False,,False,True
4423.838,RIC,3,99.469,12.0,3.0,,,31.041,31.273,37.155,4355.41,4386.683,4423.838,184.0,259.0,261.0,286.0,False,INTERMEDIATE,6.0,True,McLaren,4324.369,2022-06-18 17:57:04.379,21,,False,,False,True
4517.948,RIC,3,94.11,13.0,3.0,,,26.985,30.432,36.693,4450.823,4481.255,4517.948,196.0,261.0,260.0,290.0,True,INTERMEDIATE,7.0,True,McLaren,4423.838,2022-06-18 17:58:43.848,1,,False,,False,True
4615.573,RIC,3,,14.0,3.0,,4615.573,31.503,33.864,,4549.667,4583.539,,148.0,234.0,,275.0,False,INTERMEDIATE,8.0,True,McLaren,4517.948,2022-06-18 18:00:17.958,1,,False,,False,False
1653.172,NOR,4,112.735,1.0,1.0,1541.965,,35.59,35.715,41.43,1576.254,1611.963,1653.303,145.0,227.0,250.0,244.0,False,WET,1.0,True,McLaren,1541.965,2022-06-18 17:10:41.975,1,,False,,False,False
1756.072,NOR,4,102.9,2.0,1.0,,,30.255,33.61,39.035,1683.427,1717.037,1756.072,155.0,250.0,253.0,278.0,True,WET,2.0,True,McLaren,1653.172,2022-06-18 17:12:33.182,1,,False,,False,True
3610.561,NOR,4,,3.0,1.0,,1848.735,29.271,32.869,,1785.583,1818.455,,168.0,253.0,,277.0,False,WET,3.0,True,McLaren,1756.072,2022-06-18 17:14:16.082,12,,False,,False,False
3720.326,NOR,4,109.765,4.0,2.0,3612.722,,34.867,33.034,41.864,3645.428,3678.462,3720.326,161.0,254.0,255.0,250.0,False,WET,4.0,False,McLaren,3610.561,2022-06-18 17:45:10.571,1,,False,,False,False
3818.45,NOR,4,98.124,5.0,2.0,,,28.838,31.791,37.495,3749.164,3780.955,3818.45,182.0,254.0,257.0,283.0,True,WET,5.0,False,McLaren,3720.326,2022-06-18 17:47:00.336,1,,False,,False,True
3930.803,NOR,4,112.353,6.0,2.0,,3906.555,27.696,31.447,53.21,3846.146,3877.593,3930.803,187.0,257.0,,284.0,False,WET,6.0,False,McLaren,3818.45,2022-06-18 17:48:38.460,1,,False,,False,False
4035.383,NOR,4,104.58,7.0,3.0,3932.314,,32.689,33.441,38.45,3963.492,3996.933,4035.383,157.0,257.0,258.0,286.0,False,INTERMEDIATE,1.0,True,McLaren,3930.803,2022-06-18 17:50:30.813,1,,False,,False,False
4132.564,NOR,4,97.181,8.0,3.0,,,28.025,31.546,37.61,4063.408,4094.954,4132.564,182.0,258.0,241.0,287.0,True,INTERMEDIATE,2.0,True,McLaren,4035.383,2022-06-18 17:52:15.393,12,,False,,False,True
4235.784,NOR,4,103.22,9.0,3.0,,,32.687,32.524,38.009,4165.251,4197.775,4235.784,176.0,258.0,262.0,288.0,False,INTERMEDIATE,3.0,True,McLaren,4132.564,2022-06-18 17:53:52.574,21,,False,,False,True
4331.588,NOR,4,95.804,10.0,3.0,,,27.668,30.941,37.195,4263.452,4294.393,4331.588,184.0,261.0,261.0,288.0,True,INTERMEDIATE,4.0,True,McLaren,4235.784,2022-06-18 17:55:35.794,12,,False,,False,True
4431.013,NOR,4,99.425,11.0,3.0,,,30.461,31.113,37.851,4362.049,4393.162,4431.013,183.0,260.0,261.0,288.0,False,INTERMEDIATE,5.0,True,McLaren,4331.588,2022-06-18 17:57:11.598,21,,False,,False,True
4525.261,NOR,4,94.248,12.0,3.0,,,27.432,30.282,36.534,4458.445,4488.727,4525.261,195.0,261.0,261.0,289.0,True,INTERMEDIATE,6.0,True,McLaren,4431.013,2022-06-18 17:58:51.023,1,,False,,False,True
4618.014,NOR,4,,13.0,3.0,,4618.014,29.934,32.129,,4555.448,4587.534,,176.0,259.0,,271.0,False,INTERMEDIATE,7.0,True,McLaren,4525.261,2022-06-18 18:00:25.271,1,,False,,False,False
1283.098,VET,5,111.366,1.0,1.0,1173.143,,35.157,35.294,40.915,1207.089,1242.395,1283.196,147.0,241.0,252.0,272.0,False,WET,1.0,True,Aston Martin,1173.143,2022-06-18 17:04:33.153,1,,False,,False,False
1387.095,VET,5,103.997,2.0,1.0,,,30.319,33.598,40.08,1313.417,1347.015,1387.095,168.0,240.0,253.0,280.0,True,WET,2.0,True,Aston Martin,1283.098,2022-06-18 17:06:23.108,1,,False,,False,True
1488.627,VET,5,101.532,3.0,1.0,,,29.507,32.742,39.283,1416.602,1449.344,1488.627,169.0,255.0,256.0,281.0,True,WET,3.0,True,Aston Martin,1387.095,2022-06-18 17:08:07.105,1,,False,,False,True
1590.94,VET,5,102.313,4.0,1.0,,,30.359,32.896,39.058,1518.986,1551.882,1590.94,173.0,253.0,256.0,281.0,False,WET,4.0,True,Aston Martin,1488.627,2022-06-18 17:09:48.637,1,,False,,False,True
1690.546,VET,5,99.606,5.0,1.0,,,28.855,32.298,38.453,1619.795,1652.093,1690.546,182.0,256.0,257.0,282.0,True,WET,5.0,True,Aston Martin,1590.94,2022-06-18 17:11:30.950,1,,False,,False,True
1789.587,VET,5,99.041,6.0,1.0,,,28.64,31.793,38.608,1719.186,1750.979,1789.587,185.0,258.0,259.0,281.0,True,WET,6.0,True,Aston Martin,1690.546,2022-06-18 17:13:10.556,1,,False,,False,True
1887.881,VET,5,98.294,7.0,1.0,,,28.441,31.643,38.21,1818.028,1849.671,1887.881,178.0,258.0,258.0,282.0,True,WET,7.0,True,Aston Martin,1789.587,2022-06-18 17:14:49.597,1,,False,,False,True
3066.965,VET,5,,8.0,1.0,,1979.476,28.23,31.947,,1916.313,1948.279,,180.0,255.0,,247.0,False,WET,8.0,True,Aston Martin,1887.881,2022-06-18 17:16:27.891,12,,False,,False,False
3170.284,VET,5,103.319,9.0,2.0,3068.456,,32.537,32.657,38.125,3099.502,3132.159,3170.284,173.0,247.0,261.0,280.0,False,WET,9.0,False,Aston Martin,3066.965,2022-06-18 17:36:06.975,1,,False,,False,False
3266.105,VET,5,95.821,10.0,2.0,,,27.698,31.186,36.937,3197.982,3229.168,3266.105,186.0,259.0,261.0,285.0,True,WET,10.0,False,Aston Martin,3170.284,2022-06-18 17:37:50.294,1,,False,,False,True
3361.975,VET,5,95.87,11.0,2.0,,,27.627,30.987,37.256,3293.732,3324.719,3361.975,188.0,259.0,260.0,286.0,False,WET,11.0,False,Aston Martin,3266.105,2022-06-18 17:39:26.115,1,,False,,False,True
3482.734,VET,5,120.759,12.0,2.0,,3453.13,30.479,31.432,58.848,3392.454,3423.886,3482.734,168.0,261.0,,287.0,False,WET,12.0,False,Aston Martin,3361.975,2022-06-18 17:41:01.985,1,,False,,False,False
3587.664,VET,5,104.93,13.0,3.0,3484.234,,33.993,32.334,38.603,3516.727,3549.061,3587.664,168.0,252.0,261.0,282.0,False,INTERMEDIATE,1.0,True,Aston Martin,3482.734,2022-06-18 17:43:02.744,1,,False,,False,False
3683.696,VET,5,96.032,14.0,3.0,,,27.831,31.592,36.609,3615.495,3647.087,3683.696,183.0,261.0,263.0,291.0,False,INTERMEDIATE,2.0,True,Aston Martin,3587.664,2022-06-18 17:44:47.674,1,,False,,False,True
3779.304,VET,5,95.608,15.0,3.0,,,28.343,30.8,36.465,3712.039,3742.839,3779.304,189.0,261.0,263.0,291.0,True,INTERMEDIATE,3.0,True,Aston Martin,3683.696,2022-06-18 17:46:23.706,1,,False,,False,True
3873.195,VET,5,93.891,16.0,3.0,,,27.357,30.145,36.389,3806.661,3836.806,3873.195,197.0,261.0,265.0,290.0,True,INTERMEDIATE,4.0,True,Aston Martin,3779.304,2022-06-18 17:47:59.314,1,,False,,False,True
4200.532,VET,5,,17.0,3.0,,3964.069,27.018,30.393,,3900.449,3930.83,,192.0,263.0,,203.0,False,INTERMEDIATE,5.0,True,Aston Martin,3873.195,2022-06-18 17:49:33.205,12,,False,,False,False
4296.148,VET,5,,18.0,4.0,4200.532,4296.148,32.349,33.191,,4231.541,4264.77,,175.0,248.0,,258.0,False,INTERMEDIATE,6.0,False,Aston Martin,4200.532,2022-06-18 17:55:00.542,12,,False,,False,False
2613.681,LAT,6,116.635,1.0,1.0,2498.44,,37.035,36.781,42.819,2534.272,2571.08,2613.765,145.0,241.0,255.0,246.0,False,WET,1.0,True,Williams,2498.44,2022-06-18 17:26:38.450,1,,False,,False,False
2718.123,LAT,6,104.442,2.0,1.0,,,31.108,33.719,39.615,2644.789,2678.508,2718.123,167.0,254.0,253.0,287.0,True,WET,2.0,True,Williams,2613.681,2022-06-18 17:28:33.691,1,,False,,False,True
3438.071,LAT,6,,3.0,1.0,,2826.443,33.058,41.401,,2751.302,2792.798,,121.0,146.0,,288.0,False,WET,3.0,True,Williams,2718.123,2022-06-18 17:30:18.133,1,,False,,False,False
3548.683,LAT,6,110.612,4.0,2.0,3439.528,,34.972,35.959,39.681,3473.043,3509.002,3548.683,151.0,252.0,257.0,289.0,False,WET,4.0,False,Williams,3438.071,2022-06-18 17:42:18.081,1,,False,,False,False
3648.698,LAT,6,100.015,5.0,2.0,,,29.275,32.742,37.998,3577.958,3610.7,3648.698,168.0,257.0,260.0,293.0,True,WET,5.0,False,Williams,3548.683,2022-06-18 17:44:08.693,1,,False,,False,True
3747.092,LAT,6,98.394,6.0,2.0,,,28.469,32.408,37.517,3677.167,3709.575,3747.092,179.0,259.0,262.0,292.0,True,WET,6.0,False,Williams,3648.698,2022-06-18 17:45:48.708,1,,False,,False,True
3845.752,LAT,6,98.66,7.0,2.0,,,28.707,32.193,37.76,3775.799,3807.992,3845.752,183.0,260.0,263.0,292.0,False,WET,7.0,False,Williams,3747.092,2022-06-18 17:47:27.102,1,,False,,False,True
3967.338,LAT,6,121.586,8.0,2.0,,3935.679,28.505,31.925,61.156,3874.257,3906.182,3967.338,176.0,260.0,,288.0,False,WET,8.0,False,Williams,3845.752,2022-06-18 17:49:05.762,1,,False,,False,False
4078.4,LAT,6,111.062,9.0,3.0,3968.841,,35.735,36.19,39.137,4003.073,4039.263,4078.4,159.0,253.0,260.0,295.0,False,INTERMEDIATE,1.0,True,Williams,3967.338,2022-06-18 17:51:07.348,1,,False,,False,False
4184.266,LAT,6,105.866,10.0,3.0,,,30.894,34.237,40.735,4109.294,4143.531,4184.266,172.0,252.0,260.0,295.0,False,INTERMEDIATE,2.0,True,Williams,4078.4,2022-06-18 17:52:58.410,12,,False,,False,True
4281.303,LAT,6,,11.0,3.0,,4281.303,30.38,35.56,,4214.819,4250.405,,165.0,256.0,,296.0,False,INTERMEDIATE,3.0,True,Williams,4184.266,2022-06-18 17:54:44.276,12,,False,,False,False
2545.266,GAS,10,108.751,1.0,1.0,2438.047,,34.264,34.501,39.986,2471.093,2505.529,2545.353,156.0,252.0,255.0,288.0,False,WET,1.0,True,AlphaTauri,2438.047,2022-06-18 17:25:38.057,1,,False,,False,False
2645.029,GAS,10,99.763,2.0,1.0,,,29.318,32.449,37.996,2574.584,2607.033,2645.029,180.0,257.0,258.0,292.0,True,WET,2.0,True,AlphaTauri,2545.266,2022-06-18 17:27:25.276,1,,False,,False,True
2743.148,GAS,10,98.119,3.0,1.0,,,28.371,31.741,38.007,2673.4,2705.141,2743.148,195.0,260.0,258.0,291.0,True,WET,3.0,True,AlphaTauri,2645.029,2022-06-18 17:29:05.039,1,,False,,False,True
2840.727,GAS,10,97.579,4.0,1.0,,,28.453,31.277,37.849,2771.601,2802.878,2840.727,196.0,260.0,257.0,292.0,True,WET,4.0,True,AlphaTauri,2743.148,2022-06-18 17:30:43.158,1,,False,,False,True
2942.891,GAS,10,102.164,5.0,1.0,,,30.828,33.071,38.265,2871.555,2904.626,2942.891,158.0,259.0,257.0,291.0,False,WET,5.0,True,AlphaTauri,2840.727,2022-06-18 17:32:20.737,1,,False,,False,True
3039.772,GAS,10,96.881,6.0,1.0,,,28.167,31.143,37.571,2971.058,3002.201,3039.772,194.0,259.0,261.0,292.0,True,WET,6.0,True,AlphaTauri,2942.891,2022-06-18 17:34:02.901,1,,False,,False,True
3694.824,GAS,10,,7.0,1.0,,3131.326,28.656,32.54,,3068.569,3101.17,,182.0,259.0,,292.0,False,WET,7.0,True,AlphaTauri,3039.772,2022-06-18 17:35:39.782,1,,False,,False,False
3797.573,GAS,10,102.749,8.0,2.0,3696.3,,32.819,32.257,37.673,3727.643,3759.9,3797.573,167.0,262.0,263.0,296.0,False,INTERMEDIATE,1.0,True,AlphaTauri,3694.824,2022-06-18 17:46:34.834,1,,False,,False,False
3896.102,GAS,10,98.529,9.0,2.0,,,29.429,31.873,37.227,3827.002,3858.875,3896.102,177.0,262.0,265.0,296.0,False,INTERMEDIATE,2.0,True,AlphaTauri,3797.573,2022-06-18 17:48:17.583,1,,False,,False,True
3991.58,GAS,10,95.478,10.0,2.0,,,27.778,30.926,36.774,3923.88,3954.806,3991.58,190.0,266.0,265.0,298.0,True,INTERMEDIATE,3.0,True,AlphaTauri,3896.102,2022-06-18 17:49:56.112,1,,False,,False,True
4093.162,GAS,10,101.582,11.0,2.0,,,27.717,31.013,42.852,4019.297,4050.31,4093.162,173.0,267.0,266.0,211.0,False,INTERMEDIATE,4.0,True,AlphaTauri,3991.58,2022-06-18 17:51:31.590,1,,False,,False,True
4187.89,GAS,10,94.728,12.0,2.0,,,27.643,30.296,36.789,4120.805,4151.101,4187.89,188.0,265.0,266.0,298.0,True,INTERMEDIATE,5.0,True,AlphaTauri,4093.162,2022-06-18 17:53:13.172,12,,False,,False,True
4287.664,GAS,10,99.774,13.0,2.0,,,27.599,31.434,40.741,4215.489,4246.923,4287.664,181.0,265.0,264.0,295.0,False,INTERMEDIATE,6.0,True,AlphaTauri,4187.89,2022-06-18 17:54:47.900,12,,False,,False,True
4391.354,GAS,10,103.69,14.0,2.0,,,29.676,32.321,41.693,4317.34,4349.661,4391.354,176.0,263.0,265.0,296.0,False,INTERMEDIATE,7.0,True,AlphaTauri,4287.664,2022-06-18 17:56:27.674,12,,False,,False,True
4489.201,GAS,10,97.847,15.0,2.0,,,28.264,31.726,37.857,4419.618,4451.344,4489.201,174.0,264.0,263.0,299.0,False,INTERMEDIATE,8.0,True,AlphaTauri,4391.354,2022-06-18 17:58:11.364,1,,False,,False,True
4583.09,GAS,10,93.889,16.0,2.0,,,27.196,30.427,36.266,4516.397,4546.824,4583.09,192.0,264.0,264.0,297.0,True,INTERMEDIATE,9.0,True,AlphaTauri,4489.201,2022-06-18 17:59:49.211,1,,False,,False,True
4708.19,GAS,10,125.1,17.0,2.0,,,31.274,32.037,61.789,4614.364,4646.401,4708.19,169.0,263.0,9.0,275.0,False,INTERMEDIATE,10.0,True,AlphaTauri,4583.09,2022-06-18 18:01:23.100,1,,False,,False,True
4803.013,GAS,10,,18.0,2.0,,4803.013,31.565,32.824,,4739.971,4772.81,,166.0,254.0,,292.0,False,INTERMEDIATE,11.0,True,AlphaTauri,4708.19,2022-06-18 18:03:28.200,1,,False,,False,False
1954.017,PER,11,108.44,1.0,1.0,1846.871,,33.516,34.664,40.26,1879.161,1913.85,1954.017,150.0,251.0,256.0,285.0,False,WET,1.0,True,Red Bull Racing,1846.871,2022-06-18 17:15:46.881,12,,False,,False,False
3861.184,PER,11,,2.0,1.0,,2047.953,30.738,32.842,,1984.831,2017.671,,170.0,256.0,,288.0,False,WET,2.0,True,Red Bull Racing,1954.017,2022-06-18 17:17:34.027,12,,False,,False,False
3975.147,PER,11,113.963,3.0,2.0,3862.642,,32.221,33.284,48.458,3893.405,3926.689,3975.147,169.0,257.0,260.0,158.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,3861.184,2022-06-18 17:49:21.194,1,,False,,False,False
4075.354,PER,11,100.207,4.0,2.0,,,29.408,32.692,38.107,4004.555,4037.247,4075.354,182.0,260.0,261.0,294.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,3975.147,2022-06-18 17:51:15.157,1,,False,,False,True
4174.209,PER,11,98.855,5.0,2.0,,,28.6,32.591,37.664,4103.954,4136.545,4174.209,185.0,261.0,262.0,295.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,4075.354,2022-06-18 17:52:55.364,12,,False,,False,True
4273.286,PER,11,99.077,6.0,2.0,,,28.262,31.843,38.972,4202.471,4234.314,4273.286,186.0,261.0,262.0,296.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,4174.209,2022-06-18 17:54:34.219,12,,False,,False,True
4370.162,PER,11,96.876,7.0,2.0,,,28.45,31.224,37.202,4301.736,4332.96,4370.162,188.0,263.0,264.0,296.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,4273.286,2022-06-18 17:56:13.296,12,,False,,False,True
4465.587,PER,11,95.425,8.0,2.0,,,27.574,30.967,36.884,4397.736,4428.703,4465.587,194.0,262.0,263.0,295.0,True,INTERMEDIATE,6.0,True,Red Bull Racing,4370.162,2022-06-18 17:57:50.172,1,,False,,False,True
4560.085,PER,11,94.498,9.0,2.0,,,27.219,30.46,36.819,4492.806,4523.266,4560.085,199.0,266.0,266.0,297.0,True,INTERMEDIATE,7.0,True,Red Bull Racing,4465.587,2022-06-18 17:59:25.597,1,,False,,False,True
4658.065,PER,11,,10.0,2.0,,4658.065,32.919,33.714,,4593.211,4626.923,,172.0,246.0,,272.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,4560.085,2022-06-18 18:01:00.095,1,,False,,False,False
2532.356,ALO,14,108.17,1.0,1.0,2425.607,,33.928,34.361,39.881,2458.324,2492.677,2532.459,157.0,255.0,260.0,285.0,False,WET,1.0,True,Alpine,2425.607,2022-06-18 17:25:25.617,1,,False,,False,False
2630.694,ALO,14,98.338,2.0,1.0,,,28.685,31.562,38.091,2561.041,2592.603,2630.694,173.0,261.0,261.0,290.0,True,WET,2.0,True,Alpine,2532.356,2022-06-18 17:27:12.366,1,,False,,False,True
2726.768,ALO,14,96.074,3.0,1.0,,,27.842,31.19,37.042,2658.536,2689.726,2726.768,180.0,263.0,262.0,293.0,True,WET,3.0,True,Alpine,2630.694,2022-06-18 17:28:50.704,1,,False,,False,True
3328.216,ALO,14,,4.0,1.0,,2824.193,30.977,34.882,,2757.944,2792.821,,153.0,216.0,,261.0,False,WET,4.0,True,Alpine,2726.768,2022-06-18 17:30:26.778,1,,False,,False,False
3434.923,ALO,14,106.707,5.0,2.0,3329.679,,33.465,33.45,39.792,3361.681,3395.131,3434.923,160.0,258.0,261.0,248.0,False,INTERMEDIATE,1.0,True,Alpine,3328.216,2022-06-18 17:40:28.226,1,,False,,False,False
3533.412,ALO,14,98.489,6.0,2.0,,,28.612,32.447,37.43,3463.535,3495.982,3533.412,171.0,256.0,265.0,294.0,False,INTERMEDIATE,2.0,True,Alpine,3434.923,2022-06-18 17:42:14.933,1,,False,,False,True
3628.248,ALO,14,94.836,7.0,2.0,,,27.785,30.86,36.191,3561.197,3592.057,3628.248,179.0,265.0,266.0,297.0,True,INTERMEDIATE,3.0,True,Alpine,3533.412,2022-06-18 17:43:53.422,1,,False,,False,True
3722.477,ALO,14,94.229,8.0,2.0,,,27.188,30.389,36.652,3655.436,3685.825,3722.477,185.0,266.0,268.0,297.0,True,INTERMEDIATE,4.0,True,Alpine,3628.248,2022-06-18 17:45:28.258,1,,False,,False,True
3829.283,ALO,14,106.806,9.0,2.0,,,31.097,32.904,42.805,3753.574,3786.478,3829.283,165.0,264.0,267.0,294.0,False,INTERMEDIATE,5.0,True,Alpine,3722.477,2022-06-18 17:47:02.487,1,,False,,False,True
3925.646,ALO,14,96.363,10.0,2.0,,,27.526,31.39,37.447,3856.809,3888.199,3925.646,187.0,254.0,267.0,296.0,False,INTERMEDIATE,6.0,True,Alpine,3829.283,2022-06-18 17:48:49.293,1,,False,,False,True
4019.482,ALO,14,93.836,11.0,2.0,,,26.917,30.347,36.572,3952.563,3982.91,4019.482,188.0,266.0,268.0,297.0,True,INTERMEDIATE,7.0,True,Alpine,3925.646,2022-06-18 17:50:25.656,1,,False,,False,True
4144.569,ALO,14,125.087,12.0,2.0,,4121.724,26.986,30.213,67.888,4046.468,4076.681,4144.569,189.0,268.0,,106.0,False,INTERMEDIATE,8.0,True,Alpine,4019.482,2022-06-18 17:51:59.492,12,,False,,False,False
4276.446,ALO,14,131.877,13.0,3.0,4146.913,,60.709,32.707,38.461,4205.278,4237.985,4276.446,154.0,263.0,259.0,282.0,False,INTERMEDIATE,9.0,False,Alpine,4144.569,2022-06-18 17:54:04.579,21,,False,,False,False
4384.839,ALO,14,108.393,14.0,3.0,,,32.022,34.207,42.164,4308.468,4342.675,4384.839,161.0,242.0,266.0,122.0,False,INTERMEDIATE,10.0,False,Alpine,4276.446,2022-06-18 17:56:16.456,12,,False,,False,True
4475.476,ALO,14,,15.0,3.0,,4475.476,27.999,31.585,,4413.046,4444.596,,174.0,265.0,,242.0,False,INTERMEDIATE,11.0,False,Alpine,4384.839,2022-06-18 17:58:04.849,1,,False,,False,False
2280.855,LEC,16,,1.0,1.0,1077.168,1185.795,36.792,36.19,,1112.753,1148.952,,133.0,227.0,,198.0,False,WET,1.0,True,Ferrari,1077.168,2022-06-18 17:02:57.178,12,,False,,False,False
