Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1036.656,VER,1,119.903,1.0,1.0,921.292,,39.496,33.924,46.483,956.315,990.211,1036.732,165.0,227.0,260.0,186.0,False,WET,5.0,False,Red Bull Racing,921.292,2022-06-18 20:00:23.241,1,,False,,False,False
1134.091,VER,1,97.435,2.0,1.0,,,28.616,31.162,37.657,1065.272,1096.434,1134.091,185.0,262.0,262.0,291.0,True,WET,6.0,False,Red Bull Racing,1036.656,2022-06-18 20:02:18.605,1,,False,,False,True
1229.921,VER,1,95.83,3.0,1.0,,,27.951,31.06,36.819,1162.042,1193.102,1229.921,198.0,264.0,264.0,294.0,True,WET,7.0,False,Red Bull Racing,1134.091,2022-06-18 20:03:56.040,1,,False,,False,True
1332.983,VER,1,103.062,4.0,1.0,,,28.318,30.755,43.989,1258.239,1288.994,1332.983,197.0,265.0,264.0,290.0,False,WET,8.0,False,Red Bull Racing,1229.921,2022-06-18 20:05:31.870,1,,False,,False,True
1433.412,VER,1,100.429,5.0,1.0,,,27.892,30.777,41.76,1360.875,1391.652,1433.412,198.0,265.0,265.0,214.0,False,WET,9.0,False,Red Bull Racing,1332.983,2022-06-18 20:07:14.932,1,,True,TRACK LIMITS AT TURN 2 LAP 6 ,False,True
1526.612,VER,1,93.2,6.0,1.0,,,27.371,29.91,35.919,1460.783,1490.693,1526.612,200.0,267.0,268.0,297.0,True,WET,10.0,False,Red Bull Racing,1433.412,2022-06-18 20:08:55.361,1,,False,,False,True
1620.087,VER,1,93.475,7.0,1.0,,,27.386,30.033,36.056,1553.998,1584.031,1620.087,,267.0,266.0,298.0,False,WET,11.0,False,Red Bull Racing,1526.612,2022-06-18 20:10:28.561,1,,False,,False,True
1717.18,VER,1,97.093,8.0,1.0,,,28.436,31.326,37.331,1648.523,1679.849,1717.18,180.0,270.0,266.0,281.0,False,WET,12.0,False,Red Bull Racing,1620.087,2022-06-18 20:12:02.036,1,,False,,False,True
1813.908,VER,1,96.728,9.0,1.0,,,27.559,30.03,39.139,1744.739,1774.769,1813.908,201.0,267.0,267.0,138.0,False,WET,13.0,False,Red Bull Racing,1717.18,2022-06-18 20:13:39.129,1,,True,TRACK LIMITS AT TURN 2 LAP 10 ,False,True
1906.127,VER,1,92.219,10.0,1.0,,,26.937,29.604,35.678,1840.845,1870.449,1906.127,206.0,270.0,267.0,299.0,True,WET,14.0,False,Red Bull Racing,1813.908,2022-06-18 20:15:15.857,1,,False,,False,True
2447.243,VER,1,,11.0,1.0,,1999.664,29.841,31.817,,1936.036,1967.854,,182.0,239.0,,277.0,False,WET,15.0,False,Red Bull Racing,1906.127,2022-06-18 20:16:48.076,12,,False,,False,False
2557.537,VER,1,110.294,12.0,2.0,2450.764,,38.138,30.821,41.335,2485.381,2516.202,2557.537,182.0,260.0,266.0,134.0,False,WET,1.0,True,Red Bull Racing,2447.243,2022-06-18 20:25:49.192,1,,False,,False,False
2648.994,VER,1,91.457,13.0,2.0,,,26.858,29.265,35.334,2584.395,2613.66,2648.994,210.0,267.0,268.0,296.0,True,WET,2.0,True,Red Bull Racing,2557.537,2022-06-18 20:27:39.486,12,,False,,False,True
2759.339,VER,1,,14.0,2.0,,2735.139,26.84,30.165,53.313,2675.865,2706.026,2759.551,190.0,267.0,,271.0,False,WET,3.0,True,Red Bull Racing,2648.994,2022-06-18 20:29:10.943,215,,False,,False,False
2874.232,VER,1,114.893,15.0,2.0,3519.053,,36.226,30.527,48.14,2795.565,2826.092,2874.232,181.0,266.0,271.0,99.0,False,WET,4.0,True,Red Bull Racing,2759.339,2022-06-18 20:31:01.288,5,,False,,False,False
2961.996,VER,1,87.764,16.0,2.0,,,25.569,28.142,34.053,2899.801,2927.943,2961.996,216.0,271.0,273.0,302.0,True,WET,5.0,True,Red Bull Racing,2874.232,2022-06-18 20:32:56.181,5,,False,,False,False
3048.266,VER,1,86.27,17.0,2.0,,,25.04,27.732,33.498,2987.036,3014.768,3048.266,227.0,273.0,275.0,304.0,True,WET,6.0,True,Red Bull Racing,2961.996,2022-06-18 20:34:23.945,5,,False,,False,False
3133.467,VER,1,85.201,18.0,2.0,,,24.701,27.225,33.275,3072.967,3100.192,3133.467,230.0,274.0,277.0,306.0,True,WET,7.0,True,Red Bull Racing,3048.266,2022-06-18 20:35:50.215,5,,False,,False,False
3229.73,VER,1,96.263,19.0,2.0,,,26.093,30.019,40.151,3159.56,3189.579,3229.73,209.0,267.0,279.0,194.0,False,WET,8.0,True,Red Bull Racing,3133.467,2022-06-18 20:37:15.416,5,,False,,False,False
3313.476,VER,1,83.746,20.0,2.0,,,24.157,26.844,32.745,3253.887,3280.731,3313.476,239.0,277.0,278.0,305.0,True,WET,9.0,True,Red Bull Racing,3229.73,2022-06-18 20:38:51.679,51,,False,,False,False
4526.476,VER,1,,21.0,3.0,,4159.879,26.615,32.293,,4096.495,4128.808,,196.0,236.0,,277.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,3313.476,2022-06-18 20:40:15.425,1,,False,,False,False
4633.304,VER,1,106.828,22.0,4.0,4530.204,,33.731,28.406,44.691,4560.207,4588.613,4633.304,218.0,264.0,276.0,274.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,4526.476,2022-06-18 21:00:28.425,1,,False,,False,False
4716.005,VER,1,82.701,23.0,4.0,,,23.856,26.373,32.472,4657.16,4683.533,4716.005,245.0,275.0,275.0,304.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,4633.304,2022-06-18 21:02:15.253,1,,False,,False,True
4799.621,VER,1,83.616,24.0,4.0,,,23.773,26.482,33.361,4739.778,4766.26,4799.621,246.0,275.0,273.0,304.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,4716.005,2022-06-18 21:03:37.954,1,,False,,False,True
