Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
43.822,12.2,84.0,1006.5,True,17.5,46,3.0
103.832,12.2,84.0,1006.5,True,17.3,7,2.0
163.828,12.1,84.0,1006.5,True,17.3,2,2.2
223.831,12.2,85.0,1006.7,True,17.4,349,1.7
283.852,12.2,85.0,1006.7,True,17.5,6,1.7
343.84,12.1,83.0,1006.7,True,17.7,18,2.2
403.86,12.1,84.0,1006.7,True,17.6,18,2.7
463.859,12.1,84.0,1006.7,True,17.6,328,2.0
523.876,12.2,84.0,1006.7,True,17.6,5,1.7
583.875,12.2,84.0,1006.7,True,17.6,335,1.8
643.876,12.4,84.0,1006.7,True,17.7,340,1.3
703.875,12.3,83.0,1006.7,True,17.8,320,2.0
763.877,12.2,83.0,1006.7,True,17.8,31,1.7
823.877,12.3,84.0,1006.7,True,17.7,20,1.6
883.874,12.5,84.0,1006.7,True,17.8,6,1.7
943.874,12.6,84.0,1006.9,True,17.9,35,1.0
1003.891,12.5,84.0,1006.7,True,18.1,19,1.6
1063.891,12.6,84.0,1006.7,True,18.1,55,1.2
1123.917,12.7,84.0,1006.9,True,18.2,291,1.3
1183.91,12.7,84.0,1006.7,True,18.2,39,1.0
1243.924,12.8,85.0,1006.7,True,18.2,41,1.1
1303.943,12.8,84.0,1006.9,True,18.2,348,1.7
1363.943,12.8,85.0,1007.0,True,18.2,349,1.3
1424.246,12.9,85.0,1006.9,True,18.2,347,1.7
1483.958,12.7,84.0,1006.7,True,18.1,19,1.6
1543.954,12.7,84.0,1007.0,True,18.2,13,1.7
1603.961,12.8,85.0,1007.0,True,18.1,4,1.5
1663.953,12.9,85.0,1006.9,True,18.1,326,1.7
1723.961,12.9,85.0,1007.0,True,18.1,344,1.0
1783.954,12.9,84.0,1007.0,True,18.3,354,2.5
1843.955,12.9,84.0,1007.0,True,18.3,317,2.2
1903.962,12.8,84.0,1007.0,True,18.2,358,1.2
1963.956,12.9,84.0,1007.0,True,18.2,7,1.7
2023.948,12.8,83.0,1007.0,True,18.2,10,2.0
2083.953,13.0,83.0,1006.9,True,18.3,47,1.2
2143.953,13.0,83.0,1007.0,True,18.4,346,1.7
2203.952,13.0,83.0,1007.0,True,18.3,7,1.7
2263.952,13.0,82.0,1007.0,True,18.4,358,1.2
2323.952,13.1,82.0,1007.0,True,18.4,347,1.3
2383.952,13.1,82.0,1007.0,True,18.4,5,1.1
2443.952,13.2,81.0,1007.0,True,18.5,3,1.6
2503.963,13.2,81.0,1007.0,True,18.5,152,1.3
2563.953,13.1,81.0,1007.0,True,18.5,328,0.8
2623.957,13.0,82.0,1007.0,False,18.6,326,0.8
2683.953,13.3,81.0,1007.0,False,18.6,341,1.2
2743.952,13.4,80.0,1007.0,False,18.6,4,2.0
2803.968,13.5,81.0,1007.0,False,18.6,339,1.5
2863.951,13.5,81.0,1007.2,False,18.5,295,1.2
2923.952,13.6,80.0,1007.0,False,18.5,310,0.8
2983.952,13.5,79.0,1007.0,False,18.6,351,1.0
3043.993,13.5,79.0,1007.0,False,18.6,346,1.5
3103.951,13.4,77.0,1007.2,True,18.5,14,2.0
3163.95,13.3,76.0,1007.0,True,18.5,346,3.0
3223.952,13.5,75.0,1007.2,True,18.4,8,3.4
3283.952,13.5,74.0,1007.0,False,18.1,339,2.4
3343.957,13.7,74.0,1007.2,False,18.0,9,1.3
3403.951,13.7,73.0,1007.2,False,18.0,5,2.9
3463.954,13.7,72.0,1007.0,False,18.1,12,2.7
3523.956,13.9,70.0,1007.0,False,18.1,99,3.0
3583.992,13.9,71.0,1007.2,False,18.1,336,1.3
3643.971,14.1,72.0,1007.2,False,17.9,4,1.6
3703.973,14.0,69.0,1007.0,False,18.0,355,3.9
3763.971,14.0,68.0,1007.0,False,18.2,9,3.0
3823.993,14.1,67.0,1006.9,False,18.0,4,3.2
3884.009,14.2,66.0,1007.0,False,17.9,18,4.0
3943.999,14.3,68.0,1007.0,False,17.8,1,2.2
4004.001,14.4,66.0,1007.0,False,17.8,10,2.5
4064.0,14.6,67.0,1007.0,False,17.9,348,2.5
4124.0,14.7,67.0,1007.0,False,18.0,1,2.2
4183.999,14.6,66.0,1007.0,False,18.0,352,2.9
4243.998,14.8,68.0,1007.0,False,18.1,309,1.7
4304.013,14.8,66.0,1006.9,False,18.2,8,2.7
4364.03,14.8,66.0,1007.0,False,18.3,344,2.2
4424.029,14.7,66.0,1007.0,False,18.3,293,1.2
4484.081,14.7,66.0,1007.0,False,18.3,4,1.5
4544.047,14.8,65.0,1007.0,False,18.5,349,2.0
4604.051,14.7,66.0,1007.0,False,18.5,11,2.2
4664.05,14.7,64.0,1007.0,False,18.3,18,1.8
4724.047,14.6,64.0,1007.0,False,18.3,19,3.7
4784.054,14.9,65.0,1007.0,False,18.3,12,1.6
4844.048,14.9,64.0,1007.0,False,18.3,25,2.2
4904.045,14.9,65.0,1007.0,False,18.3,2,1.6
4964.048,15.0,64.0,1007.0,False,18.4,9,2.2
5024.045,15.0,63.0,1007.0,False,18.3,347,2.7
5084.046,15.0,64.0,1007.2,False,18.3,94,1.8
5144.05,15.1,65.0,1007.2,False,18.1,358,1.3
5204.064,15.2,62.0,1007.2,False,18.1,10,2.7
5264.064,15.1,62.0,1007.2,False,18.0,353,4.0
5324.077,15.1,62.0,1007.2,False,17.9,9,2.2
5384.081,15.1,61.0,1007.2,False,17.7,354,2.7
