Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-07-01 11:46:03,Other,RISK OF RAIN FOR THIS SESSION IS 100%,,,,,,
2022-07-01 11:55:47,Other,WET TRACK,,,,,,
2022-07-01 11:56:29,Other,LOW GRIP CONDITIONS,,,,,,
2022-07-01 11:57:03,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 10,,,,,,
2022-07-01 11:57:06,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2022-07-01 11:57:28,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,
2022-07-01 11:57:33,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2022-07-01 12:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-07-01 12:01:02,Drs,DRS DISABLED,DISABLED,,,,,
2022-07-01 12:10:37,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2,,,,,,
2022-07-01 12:10:38,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,,,,,,
2022-07-01 12:10:40,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2022-07-01 12:10:45,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2022-07-01 12:58:43,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2022-07-01 12:59:03,Flag,RED FLAG,,RED,Track,,,
2022-07-01 12:59:03,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2022-07-01 12:59:12,Other,SESSION WILL NOT BE RESUMED,,,,,,
2022-07-01 13:00:00,Other,PRACTICE STARTS CANCELLED,,,,,,
2022-07-01 13:02:28,Flag,TRACK CLEAR,,CLEAR,Track,,,
