Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1153.236,VER,1,141.818,1.0,1.0,1017.568,,38.678,38.356,64.784,1050.275,1088.643,1153.309,100.0,142.0,296.0,274.0,False,SOFT,1.0,True,Red Bull Racing,1017.568,2022-07-22 12:01:57.578,1,,False,,False,False
1248.963,VER,1,95.727,2.0,1.0,,,24.368,28.895,42.464,1177.604,1206.499,1248.963,107.0,274.0,296.0,331.0,True,SOFT,2.0,True,Red Bull Racing,1153.236,2022-07-22 12:04:13.246,1,,False,,False,True
1424.47,VER,1,,3.0,1.0,,,43.178,63.045,69.26,1292.246,1355.379,1424.47,68.0,105.0,298.0,103.0,False,SOFT,3.0,True,Red Bull Racing,1248.963,2022-07-22 12:05:48.973,1,,False,,False,False
1519.461,VER,1,94.991,4.0,1.0,,,24.043,28.712,42.236,1448.513,1477.225,1519.461,108.0,277.0,296.0,334.0,True,SOFT,4.0,True,Red Bull Racing,1424.47,2022-07-22 12:08:44.480,1,,False,,False,True
1690.226,VER,1,,5.0,1.0,,,44.871,59.072,66.778,1564.403,1623.527,1690.226,74.0,216.0,298.0,94.0,False,SOFT,5.0,True,Red Bull Racing,1519.461,2022-07-22 12:10:19.471,1,,False,,False,False
2488.784,VER,1,,6.0,1.0,,1781.416,23.884,29.338,,1714.261,1743.513,,106.0,213.0,,333.0,False,SOFT,6.0,True,Red Bull Racing,1690.226,2022-07-22 12:13:10.236,12,,False,,False,False
2635.112,VER,1,146.328,7.0,2.0,2494.797,,44.378,46.859,55.091,2533.162,2580.021,2635.112,84.0,261.0,299.0,168.0,False,SOFT,1.0,True,Red Bull Racing,2488.784,2022-07-22 12:26:28.794,1,,False,,False,False
2729.458,VER,1,94.346,8.0,2.0,,,23.57,28.861,41.915,2658.682,2687.543,2729.458,109.0,275.0,297.0,333.0,True,SOFT,2.0,True,Red Bull Racing,2635.112,2022-07-22 12:28:55.122,1,,False,,False,True
2936.639,VER,1,,9.0,2.0,,2912.06,49.765,71.799,85.686,2779.282,2851.115,2936.639,59.0,144.0,,98.0,False,SOFT,3.0,True,Red Bull Racing,2729.458,2022-07-22 12:30:29.468,1,,False,,False,False
3109.394,VER,1,,10.0,3.0,2942.755,,53.733,58.609,60.441,2990.535,3049.112,3109.461,74.0,118.0,297.0,135.0,False,SOFT,4.0,False,Red Bull Racing,2936.639,2022-07-22 12:33:56.649,1,,False,,False,False
3203.415,VER,1,94.021,11.0,3.0,,,23.468,28.558,41.995,3132.862,3161.42,3203.415,102.0,278.0,297.0,334.0,True,SOFT,5.0,False,Red Bull Racing,3109.394,2022-07-22 12:36:49.404,12,,False,,False,True
4051.949,VER,1,,12.0,3.0,,3299.726,27.689,32.291,,3231.27,3263.543,,95.0,262.0,,267.0,False,SOFT,6.0,False,Red Bull Racing,3203.415,2022-07-22 12:38:23.425,1,,False,,False,False
4192.748,VER,1,140.799,13.0,4.0,4082.814,,59.693,31.479,49.627,4111.642,4143.121,4192.748,109.0,255.0,283.0,279.0,False,SOFT,7.0,False,Red Bull Racing,4051.949,2022-07-22 12:52:31.959,1,,False,,False,False
4290.657,VER,1,97.909,14.0,4.0,,,24.836,29.797,43.276,4217.584,4247.381,4290.657,110.0,272.0,284.0,313.0,False,SOFT,8.0,False,Red Bull Racing,4192.748,2022-07-22 12:54:52.758,1,,False,,False,True
4389.423,VER,1,98.766,15.0,4.0,,,25.085,29.981,43.7,4315.742,4345.723,4389.423,105.0,273.0,285.0,311.0,False,SOFT,9.0,False,Red Bull Racing,4290.657,2022-07-22 12:56:30.667,1,,False,,False,True
4488.084,VER,1,98.661,16.0,4.0,,,24.99,29.88,43.791,4414.413,4444.293,4488.084,102.0,273.0,286.0,314.0,False,SOFT,10.0,False,Red Bull Racing,4389.423,2022-07-22 12:58:09.433,1,,False,,False,True
4587.887,VER,1,99.803,17.0,4.0,,,25.371,30.241,44.191,4513.455,4543.696,4587.887,106.0,274.0,294.0,314.0,False,SOFT,11.0,False,Red Bull Racing,4488.084,2022-07-22 12:59:48.094,1,,False,,False,True
4808.805,VER,1,,18.0,4.0,,,42.059,65.406,,4630.111,4695.479,,71.0,112.0,120.0,111.0,False,SOFT,12.0,False,Red Bull Racing,4587.887,2022-07-22 13:01:27.897,1,,False,,False,False
4903.766,VER,1,,19.0,4.0,,4903.766,28.92,31.238,,4837.853,4869.05,,101.0,255.0,,289.0,False,SOFT,13.0,False,Red Bull Racing,4808.805,2022-07-22 13:05:08.815,1,,False,,False,False
1142.449,RIC,3,133.55,1.0,1.0,1015.035,,45.191,34.03,54.329,1054.254,1088.293,1142.534,96.0,252.0,291.0,301.0,False,MEDIUM,1.0,True,McLaren,1015.035,2022-07-22 12:01:55.045,1,,False,,False,False
1240.515,RIC,3,98.066,2.0,1.0,,,25.104,29.486,43.476,1167.553,1197.039,1240.515,109.0,272.0,296.0,320.0,True,MEDIUM,2.0,True,McLaren,1142.449,2022-07-22 12:04:02.459,1,,False,,False,True
1384.872,RIC,3,144.357,3.0,1.0,,,37.587,43.898,62.872,1278.102,1322.0,1384.872,81.0,125.0,293.0,233.0,False,MEDIUM,3.0,True,McLaren,1240.515,2022-07-22 12:05:40.525,1,,False,,False,True
1481.638,RIC,3,96.766,4.0,1.0,,,24.533,29.33,42.903,1409.405,1438.735,1481.638,112.0,272.0,293.0,321.0,True,MEDIUM,4.0,True,McLaren,1384.872,2022-07-22 12:08:04.882,1,,False,,False,True
2284.513,RIC,3,,5.0,1.0,,1614.853,37.07,45.795,,1518.882,1564.752,,88.0,139.0,,212.0,False,MEDIUM,5.0,True,McLaren,1481.638,2022-07-22 12:09:41.648,12,,False,,False,False
2435.15,RIC,3,,6.0,2.0,2284.513,,67.495,37.602,55.997,2341.624,2379.202,2435.154,93.0,221.0,292.0,289.0,False,MEDIUM,6.0,False,McLaren,2284.513,2022-07-22 12:23:04.523,1,,False,,False,False
2547.747,RIC,3,112.597,7.0,2.0,,,24.191,29.281,59.125,2459.341,2488.622,2547.747,112.0,273.0,175.0,319.0,False,MEDIUM,7.0,False,McLaren,2435.15,2022-07-22 12:25:35.160,1,,False,,False,True
2692.784,RIC,3,145.037,8.0,2.0,,,39.708,40.762,64.567,2587.455,2628.217,2692.784,88.0,139.0,292.0,221.0,False,MEDIUM,8.0,False,McLaren,2547.747,2022-07-22 12:27:27.757,1,,False,,False,True
2789.224,RIC,3,96.44,9.0,2.0,,,24.378,29.389,42.673,2717.162,2746.551,2789.224,108.0,272.0,294.0,321.0,True,MEDIUM,9.0,False,McLaren,2692.784,2022-07-22 12:29:52.794,1,,False,,False,True
3232.761,RIC,3,,10.0,2.0,,2916.834,36.103,44.706,,2825.404,2870.118,,92.0,244.0,,130.0,False,MEDIUM,10.0,False,McLaren,2789.224,2022-07-22 12:31:29.234,12,,False,,False,False
