Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1039.51,LEC,16,,1.0,1.0,876.601,,51.772,45.844,77.192,916.578,962.383,1039.512,81.0,179.0,299.0,173.0,False,SOFT,1.0,True,Ferrari,876.601,2022-07-23 14:00:29.769,1,,False,,False,False
1131.237,LEC,16,91.727,2.0,1.0,,,22.971,28.083,40.673,1062.481,1090.564,1131.237,121.0,279.0,301.0,330.0,True,SOFT,2.0,True,Ferrari,1039.51,2022-07-23 14:03:12.678,1,,False,,False,True
1302.556,LEC,16,,3.0,1.0,,,40.512,53.817,76.943,1171.84,1225.628,1302.677,74.0,145.0,138.0,149.0,False,SOFT,3.0,True,Ferrari,1131.237,2022-07-23 14:04:44.405,1,,False,,False,False
1452.574,LEC,16,,4.0,1.0,,,39.636,45.344,65.084,1342.146,1387.532,1452.75,48.0,161.0,298.0,94.0,False,SOFT,4.0,True,Ferrari,1302.556,2022-07-23 14:07:35.724,1,,False,,False,False
2396.646,LEC,16,,5.0,1.0,,1549.719,23.087,29.777,,1475.691,1505.432,,118.0,250.0,,330.0,False,SOFT,5.0,True,Ferrari,1452.574,2022-07-23 14:10:05.742,1,,False,,False,False
2546.406,LEC,16,,6.0,2.0,2396.646,,48.977,46.149,60.764,2439.509,2485.642,2546.411,81.0,170.0,298.0,169.0,False,SOFT,5.0,False,Ferrari,2396.646,2022-07-23 14:25:49.814,1,,False,,False,False
2638.993,LEC,16,92.587,7.0,2.0,,,23.183,28.212,41.192,2569.589,2597.801,2638.993,119.0,280.0,296.0,333.0,True,SOFT,6.0,False,Ferrari,2546.406,2022-07-23 14:28:19.574,1,,False,,False,True
3028.044,LEC,16,,8.0,2.0,,2743.398,28.725,36.645,,2667.753,2704.382,,93.0,227.0,,205.0,False,SOFT,7.0,False,Ferrari,2638.993,2022-07-23 14:29:52.161,1,,False,,False,False
3177.381,LEC,16,,9.0,3.0,3028.044,,48.898,45.321,63.1,3068.995,3114.286,3177.54,79.0,178.0,298.0,181.0,False,SOFT,1.0,True,Ferrari,3028.044,2022-07-23 14:36:21.212,1,,False,,False,False
3268.597,LEC,16,91.216,10.0,3.0,,,22.75,27.988,40.478,3200.131,3228.119,3268.597,122.0,281.0,298.0,333.0,True,SOFT,2.0,True,Ferrari,3177.381,2022-07-23 14:38:50.549,1,,False,,False,True
3736.707,LEC,16,,11.0,3.0,,3377.023,30.937,39.119,,3299.591,3338.668,,88.0,248.0,,199.0,False,SOFT,3.0,True,Ferrari,3268.597,2022-07-23 14:40:21.765,1,,False,,False,False
3903.154,LEC,16,,12.0,4.0,3736.707,,71.884,48.879,75.378,3778.96,3827.787,3903.154,84.0,150.0,299.0,137.0,False,SOFT,1.0,True,Ferrari,3736.707,2022-07-23 14:48:09.875,1,,False,,False,False
3994.363,LEC,16,91.209,13.0,4.0,,,22.67,28.149,40.39,3925.824,3953.973,3994.363,117.0,281.0,298.0,332.0,True,SOFT,2.0,True,Ferrari,3903.154,2022-07-23 14:50:56.322,1,,False,,False,True
4214.134,LEC,16,,14.0,4.0,,4094.268,28.032,36.413,,4022.431,4058.834,,91.0,245.0,,205.0,False,SOFT,3.0,True,Ferrari,3994.363,2022-07-23 14:52:27.531,1,,False,,False,False
4377.037,LEC,16,,15.0,5.0,4214.134,,45.953,56.628,66.492,4253.917,4310.593,4377.191,85.0,115.0,298.0,123.0,False,SOFT,1.0,True,Ferrari,4214.134,2022-07-23 14:56:07.302,1,,False,,False,False
4467.909,LEC,16,90.872,16.0,5.0,,,22.66,27.96,40.252,4399.697,4427.657,4467.909,119.0,280.0,299.0,330.0,True,SOFT,2.0,True,Ferrari,4377.037,2022-07-23 14:58:50.205,1,,False,,False,True
4637.776,LEC,16,,17.0,5.0,,4637.776,30.38,39.274,,4498.29,4537.576,,76.0,209.0,,209.0,False,SOFT,3.0,True,Ferrari,4467.909,2022-07-23 15:00:21.077,1,,False,,False,False
1212.999,VER,1,142.755,1.0,1.0,1076.392,,41.962,45.989,54.804,1112.575,1158.232,1213.13,48.0,242.0,304.0,183.0,False,SOFT,1.0,True,Red Bull Racing,1076.392,2022-07-23 14:03:49.560,1,,False,,False,False
1304.89,VER,1,91.891,2.0,1.0,,,22.984,28.008,40.899,1235.983,1263.991,1304.89,118.0,282.0,304.0,339.0,True,SOFT,2.0,True,Red Bull Racing,1212.999,2022-07-23 14:06:06.167,1,,False,,False,True
1744.898,VER,1,,3.0,1.0,,1424.95,34.776,35.295,,1339.813,1374.984,,102.0,190.0,,253.0,False,SOFT,3.0,True,Red Bull Racing,1304.89,2022-07-23 14:07:38.058,1,,False,,False,False
1921.749,VER,1,,4.0,2.0,1744.898,,50.389,53.707,78.875,1789.167,1842.948,1921.951,77.0,152.0,303.0,141.0,False,SOFT,4.0,False,Red Bull Racing,1744.898,2022-07-23 14:14:58.066,1,,False,,False,False
2426.808,VER,1,,5.0,2.0,,2008.717,23.153,28.102,,1944.932,1973.04,,116.0,284.0,,339.0,False,SOFT,5.0,False,Red Bull Racing,1921.749,2022-07-23 14:17:54.917,1,,False,,False,False
