Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1009.307,VER,1,,1.0,1.0,913.294,,,30.034,31.072,,978.367,1009.391,267.0,256.0,306.0,,False,HARD,1.0,True,Red Bull Racing,913.294,2022-09-02 10:30:13.310,1,,False,,False,False
1099.593,VER,1,90.286,2.0,1.0,,,27.502,26.547,36.237,1036.809,1063.356,1099.593,276.0,235.0,308.0,297.0,True,HARD,2.0,True,Red Bull Racing,1009.307,2022-09-02 10:31:49.323,12,,False,,False,True
1175.587,VER,1,75.994,3.0,1.0,,,26.681,26.199,23.114,1126.274,1152.473,1175.587,278.0,280.0,311.0,317.0,True,HARD,3.0,True,Red Bull Racing,1099.593,2022-09-02 10:33:19.609,1,,False,,False,True
1250.853,VER,1,75.266,4.0,1.0,,,26.151,26.0,23.115,1201.738,1227.738,1250.853,,280.0,311.0,321.0,True,HARD,4.0,True,Red Bull Racing,1175.587,2022-09-02 10:34:35.603,1,,False,,False,True
1351.309,VER,1,100.456,5.0,1.0,,,33.747,42.437,24.272,1284.6,1327.037,1351.309,258.0,224.0,312.0,259.0,False,HARD,5.0,True,Red Bull Racing,1250.853,2022-09-02 10:35:50.869,1,,False,,False,True
1426.023,VER,1,74.714,6.0,1.0,,,26.115,25.657,22.942,1377.424,1403.081,1426.023,276.0,282.0,311.0,322.0,True,HARD,6.0,True,Red Bull Racing,1351.309,2022-09-02 10:37:31.325,1,,False,,False,True
1950.148,VER,1,,7.0,1.0,,1950.148,,,,,,,,,,273.0,False,HARD,7.0,True,Red Bull Racing,1426.023,2022-09-02 10:38:46.039,1265,,False,,False,False
1016.597,RIC,3,,1.0,1.0,919.354,,,29.908,32.142,,984.645,1016.667,268.0,275.0,299.0,,False,HARD,1.0,True,McLaren,919.354,2022-09-02 10:30:19.370,1,,False,,False,False
1094.423,RIC,3,77.826,2.0,1.0,,,27.115,26.745,23.966,1043.712,1070.457,1094.423,272.0,280.0,301.0,306.0,True,HARD,2.0,True,McLaren,1016.597,2022-09-02 10:31:56.613,12,,False,,False,True
1170.141,RIC,3,75.718,3.0,1.0,,,26.314,26.139,23.265,1120.737,1146.876,1170.141,274.0,279.0,304.0,312.0,True,HARD,3.0,True,McLaren,1094.423,2022-09-02 10:33:14.439,1,,False,,False,True
1262.392,RIC,3,92.251,4.0,1.0,,,33.252,34.254,24.745,1203.393,1237.647,1262.392,248.0,262.0,305.0,280.0,False,HARD,4.0,True,McLaren,1170.141,2022-09-02 10:34:30.157,1,,False,,False,True
1337.655,RIC,3,75.263,5.0,1.0,,,26.141,26.084,23.038,1288.533,1314.617,1337.655,272.0,278.0,305.0,313.0,True,HARD,5.0,True,McLaren,1262.392,2022-09-02 10:36:02.408,1,,False,,False,True
1430.547,RIC,3,92.892,6.0,1.0,,,31.746,35.275,25.871,1369.401,1404.676,1430.547,209.0,226.0,304.0,312.0,False,HARD,6.0,True,McLaren,1337.655,2022-09-02 10:37:17.671,1,,False,,False,True
