Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-09-03 09:45:04,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2022-09-03 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-09-03 10:31:25,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2022-09-03 10:31:26,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-09-03 10:31:28,Other,DRS ENABLED IN ZONE 1,,,,,,
2022-09-03 10:31:28,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2022-09-03 10:31:41,CarEvent,CAR 3 (RIC) MISSED THE APEX OF TURN 12,,,,,3,
2022-09-03 10:32:42,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15,,,,,,
2022-09-03 10:35:35,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2022-09-03 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-09-03 11:00:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,,
