Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-09-30 09:45:05,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 20%,,,,,,
2022-09-30 09:45:05,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2022-09-30 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-09-30 10:11:13,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2022-09-30 10:11:27,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2022-09-30 10:11:59,CarEvent,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 11,,,,,63,
2022-09-30 10:38:43,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2022-09-30 10:38:44,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-09-30 10:38:55,Other,DRS ENABLED IN ZONE 1,,,,,,
2022-09-30 10:38:55,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2022-09-30 10:39:14,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2022-09-30 10:39:15,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-09-30 10:39:35,Flag,RED FLAG,,RED,Track,,,
2022-09-30 10:39:35,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2022-09-30 10:40:46,CarEvent,CAR 18 (STR) STOPPED AT TURN 7,,,,,18,
2022-09-30 10:42:32,Other,SESSION WILL RESUME AT 18:44,,,,,,
2022-09-30 10:43:01,Flag,TRACK CLEAR,,CLEAR,Track,,,
2022-09-30 10:43:07,Drs,DRS ENABLED,ENABLED,,,,,
2022-09-30 10:43:20,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2022-09-30 10:43:22,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-09-30 10:43:29,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2022-09-30 10:43:29,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2022-09-30 10:43:33,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2022-09-30 10:43:33,Other,DRS ENABLED IN ZONE 1,,,,,,
2022-09-30 10:44:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-09-30 10:55:16,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2022-09-30 10:55:23,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2022-09-30 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-09-30 11:00:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2022-09-30 11:03:13,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2022-09-30 11:03:15,Other,DRS DISABLED IN ZONE 3,,,,,,
2022-09-30 11:03:27,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2022-09-30 11:03:27,Other,DRS ENABLED IN ZONE 3,,,,,,
2022-09-30 11:05:55,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2022-09-30 11:05:56,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-09-30 11:06:24,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2022-09-30 11:06:24,Other,DRS ENABLED IN ZONE 1,,,,,,
2022-09-30 11:08:06,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2022-09-30 11:08:08,Other,DRS DISABLED IN ZONE 1,,,,,,
