Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1061.252,VER,1,,1.0,1.0,940.958,,,47.161,41.861,,1019.518,1061.338,173.0,176.0,201.0,255.0,False,TEST_UNKNOWN,1.0,True,Red Bull Racing,940.958,2022-10-21 22:00:40.966,1,,False,,False,False
1164.788,VER,1,103.536,2.0,1.0,,,28.302,41.668,33.566,1089.554,1131.222,1164.788,208.0,178.0,200.0,298.0,True,TEST_UNKNOWN,2.0,True,Red Bull Racing,1061.252,2022-10-21 22:02:41.260,1,,False,,False,True
1265.873,VER,1,101.085,3.0,1.0,,,27.571,40.493,33.021,1192.359,1232.852,1265.873,210.0,182.0,199.0,299.0,True,TEST_UNKNOWN,3.0,True,Red Bull Racing,1164.788,2022-10-21 22:04:24.796,1,,False,,False,True
1366.112,VER,1,100.239,4.0,1.0,,,27.336,40.459,32.444,1293.209,1333.668,1366.112,212.0,183.0,200.0,299.0,True,TEST_UNKNOWN,4.0,True,Red Bull Racing,1265.873,2022-10-21 22:06:05.881,1,,False,,False,True
1469.281,VER,1,103.169,5.0,1.0,,1468.25,27.242,41.4,34.527,1393.354,1434.754,1469.281,214.0,180.0,,289.0,False,TEST_UNKNOWN,5.0,True,Red Bull Racing,1366.112,2022-10-21 22:07:46.120,1,,False,,False,False
1845.978,VER,1,,6.0,2.0,1726.187,,,46.418,41.482,,1804.71,1846.038,173.0,179.0,197.0,256.0,False,TEST_UNKNOWN,1.0,False,Red Bull Racing,1469.281,2022-10-21 22:09:29.289,1,,False,,False,False
1946.621,VER,1,100.643,7.0,2.0,,,27.563,40.61,32.47,1873.541,1914.151,1946.621,210.0,185.0,201.0,299.0,False,TEST_UNKNOWN,2.0,False,Red Bull Racing,1845.978,2022-10-21 22:15:45.986,1,,False,,False,True
2046.691,VER,1,100.07,8.0,2.0,,,27.179,40.496,32.395,1973.8,2014.296,2046.691,213.0,185.0,202.0,293.0,True,TEST_UNKNOWN,3.0,False,Red Bull Racing,1946.621,2022-10-21 22:17:26.629,1,,False,,False,True
2146.266,VER,1,99.575,9.0,2.0,,,27.083,40.362,32.13,2073.774,2114.136,2146.266,210.0,184.0,200.0,297.0,True,TEST_UNKNOWN,4.0,False,Red Bull Racing,2046.691,2022-10-21 22:19:06.699,1,,False,,False,True
2248.892,VER,1,102.626,10.0,2.0,,2247.862,27.526,40.926,34.174,2173.792,2214.718,2248.892,205.0,182.0,,297.0,False,TEST_UNKNOWN,5.0,False,Red Bull Racing,2146.266,2022-10-21 22:20:46.274,1,,False,,False,False
