Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1249.952,VER,1,,1.0,1.0,1154.415,,,40.089,24.639,,1225.358,1249.952,154.0,244.0,252.0,298.0,False,SOFT,1.0,True,Red Bull Racing,1154.415,2022-10-29 20:04:16.266,1,,False,,False,False
1364.419,VER,1,114.467,2.0,1.0,,,32.628,47.431,34.408,1282.58,1330.011,1364.419,194.0,229.0,250.0,348.0,True,SOFT,2.0,True,Red Bull Racing,1249.952,2022-10-29 20:05:51.803,1,,False,,False,True
1443.641,VER,1,79.222,3.0,1.0,,,28.015,30.813,20.394,1392.434,1423.247,1443.641,313.0,293.0,252.0,349.0,True,SOFT,3.0,True,Red Bull Racing,1364.419,2022-10-29 20:07:46.270,1,,False,,False,True
1544.611,VER,1,100.97,4.0,1.0,,1541.966,39.688,34.634,26.648,1483.329,1517.963,1544.611,242.0,255.0,,148.0,False,SOFT,4.0,True,Red Bull Racing,1443.641,2022-10-29 20:09:05.492,1,,False,,False,False
2667.38,VER,1,,5.0,2.0,2574.328,,,34.968,26.902,,2640.53,2667.387,270.0,270.0,252.0,307.0,False,SOFT,5.0,False,Red Bull Racing,1544.611,2022-10-29 20:10:46.462,12,,False,,False,False
2746.314,VER,1,78.934,6.0,2.0,,,27.627,30.967,20.34,2695.007,2725.974,2746.314,315.0,292.0,252.0,350.0,True,SOFT,6.0,False,Red Bull Racing,2667.38,2022-10-29 20:29:29.231,1,,False,,False,True
2838.897,VER,1,92.583,7.0,2.0,,2836.216,31.586,34.304,26.693,2777.9,2812.204,2838.897,254.0,251.0,,286.0,False,SOFT,7.0,False,Red Bull Racing,2746.314,2022-10-29 20:30:48.165,1,,False,,False,False
3192.737,VER,1,,8.0,3.0,3104.414,,,35.28,22.223,,3170.538,3192.917,255.0,267.0,253.0,286.0,False,SOFT,1.0,True,Red Bull Racing,2838.897,2022-10-29 20:32:20.748,1,,False,,False,False
3271.303,VER,1,78.566,9.0,3.0,,,27.781,30.545,20.24,3220.518,3251.063,3271.303,313.0,295.0,251.0,346.0,True,SOFT,2.0,True,Red Bull Racing,3192.737,2022-10-29 20:38:14.588,1,,False,,False,True
3366.832,VER,1,95.529,10.0,3.0,,3364.159,33.535,34.827,27.167,3304.838,3339.665,3366.832,228.0,252.0,,260.0,False,SOFT,3.0,True,Red Bull Racing,3271.303,2022-10-29 20:39:33.154,1,,False,,False,False
