Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
927.758,MAG,20,,1.0,1.0,838.681,,,48.21,18.846,,908.954,927.763,258.0,210.0,291.0,,False,INTERMEDIATE,1.0,True,Haas F1 Team,838.681,2022-11-11 19:00:03.471,1,,False,,False,False
1007.639,MAG,20,79.881,2.0,1.0,,,20.444,41.261,18.176,948.202,989.463,1007.639,292.0,243.0,293.0,281.0,True,INTERMEDIATE,2.0,True,Haas F1 Team,927.758,2022-11-11 19:01:32.548,1,,False,,False,True
1087.428,MAG,20,79.789,3.0,1.0,,,20.264,41.496,18.029,1027.903,1069.399,1087.428,289.0,244.0,299.0,293.0,True,INTERMEDIATE,3.0,True,Haas F1 Team,1007.639,2022-11-11 19:02:52.429,1,,False,,False,True
1183.453,MAG,20,96.025,4.0,1.0,,1180.495,21.759,49.202,25.064,1109.187,1158.389,1183.453,291.0,215.0,,266.0,False,INTERMEDIATE,4.0,True,Haas F1 Team,1087.428,2022-11-11 19:04:12.218,1,,False,,False,False
1302.196,MAG,20,118.743,5.0,2.0,1208.405,,47.31,52.067,19.366,1230.763,1282.83,1302.196,263.0,65.0,296.0,,False,INTERMEDIATE,1.0,True,Haas F1 Team,1183.453,2022-11-11 19:05:48.243,1,,False,,False,False
1380.619,MAG,20,78.423,6.0,2.0,,,19.454,40.783,18.186,1321.65,1362.433,1380.619,296.0,249.0,294.0,294.0,False,INTERMEDIATE,2.0,True,Haas F1 Team,1302.196,2022-11-11 19:07:46.986,1,,True,TRACK LIMITS AT TURN 8 LAP 7 ,False,True
1465.036,MAG,20,84.417,7.0,2.0,,,20.047,45.597,18.773,1400.666,1446.263,1465.036,290.0,212.0,295.0,297.0,False,INTERMEDIATE,3.0,True,Haas F1 Team,1380.619,2022-11-11 19:09:05.409,1,,False,,False,True
1546.398,MAG,20,81.362,8.0,2.0,,,19.742,42.636,18.984,1484.778,1527.414,1546.398,294.0,244.0,293.0,293.0,False,INTERMEDIATE,4.0,True,Haas F1 Team,1465.036,2022-11-11 19:10:29.826,1,,False,,False,True
1642.07,MAG,20,95.672,9.0,2.0,,1639.1,20.609,50.075,24.988,1567.007,1617.082,1642.07,291.0,216.0,,,False,INTERMEDIATE,5.0,True,Haas F1 Team,1546.398,2022-11-11 19:11:51.188,1,,False,,False,False
1809.076,MAG,20,,10.0,3.0,1721.539,,,45.067,20.149,,1788.958,1809.241,156.0,205.0,295.0,,False,SOFT,1.0,True,Haas F1 Team,1642.07,2022-11-11 19:13:26.860,1,,False,,False,False
1884.831,MAG,20,75.755,11.0,3.0,,,19.412,38.714,17.629,1828.488,1867.202,1884.831,302.0,260.0,299.0,293.0,True,SOFT,2.0,True,Haas F1 Team,1809.076,2022-11-11 19:16:13.866,1,,False,,False,True
