Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
47.236,18.9,94.0,923.9,False,27.0,177,1.2
107.235,19.0,94.0,923.9,False,27.0,204,1.1
167.231,19.0,94.0,923.7,False,27.0,0,1.1
227.239,19.0,94.0,923.7,False,27.3,243,1.6
287.234,19.1,94.0,923.7,False,27.1,137,1.5
347.23,19.0,94.0,923.9,False,27.1,158,1.3
407.234,19.0,94.0,923.7,False,26.9,168,1.5
467.238,19.1,94.0,923.9,False,26.9,190,1.3
527.23,19.1,94.0,923.9,False,26.8,0,1.6
587.241,19.1,94.0,923.9,False,26.8,203,0.8
647.233,19.1,94.0,923.9,False,27.1,169,0.6
707.232,19.1,94.0,923.7,False,27.3,115,1.0
767.233,19.2,94.0,923.9,False,27.0,169,1.0
827.237,19.1,94.0,923.9,False,26.9,0,1.5
887.231,19.2,94.0,924.0,False,26.9,150,0.6
947.233,19.2,94.0,924.0,False,27.1,233,0.5
1007.234,19.2,94.0,924.0,False,27.1,175,0.6
1067.238,19.2,94.0,924.0,False,27.3,177,0.8
1127.233,19.1,94.0,924.0,False,27.4,197,1.1
1187.236,19.1,94.0,924.0,False,27.0,160,1.7
1247.233,19.1,94.0,924.0,False,27.0,212,1.3
1307.231,19.2,94.0,924.0,False,27.1,170,1.2
1367.239,19.2,94.0,924.2,False,27.2,161,0.8
1427.356,19.2,94.0,924.2,False,27.3,181,1.2
1487.24,19.2,94.0,924.0,False,27.3,137,1.2
1547.232,19.2,94.0,924.2,False,27.3,160,1.7
1607.239,19.1,94.0,924.0,False,27.2,182,1.6
1667.238,19.2,94.0,924.2,False,27.1,143,1.5
1727.294,19.2,94.0,924.2,False,27.1,233,0.6
1787.245,19.2,94.0,924.2,False,27.2,163,1.3
1847.247,19.2,94.0,924.2,False,27.2,196,1.5
1907.274,19.2,94.0,924.2,False,27.2,162,2.2
1967.294,19.2,94.0,924.4,False,27.1,151,1.6
2027.287,19.1,94.0,924.2,False,26.9,186,1.3
2087.312,19.2,94.0,924.2,False,26.9,164,1.3
2147.294,19.2,94.0,924.2,False,27.0,181,1.7
2207.295,19.2,94.0,924.0,False,27.0,170,1.2
2267.294,19.1,94.0,924.2,False,27.0,118,0.8
2327.301,19.2,94.0,924.0,False,27.1,136,0.8
2387.251,19.1,94.0,924.0,False,27.0,95,1.0
2447.234,19.1,94.0,924.0,False,27.1,214,0.8
2507.247,19.2,94.0,924.0,False,27.2,160,1.0
2567.235,19.2,94.0,924.2,False,27.3,195,1.6
2627.262,19.2,93.0,924.4,False,27.4,141,1.1
2687.244,19.2,93.0,924.4,False,27.4,141,1.1
2747.238,19.2,94.0,924.5,False,27.4,121,0.8
2807.24,19.3,94.0,924.7,False,27.4,153,0.8
2867.234,19.2,93.0,924.9,False,27.5,122,0.8
2927.234,19.2,93.0,925.0,False,27.5,247,1.2
2987.24,19.2,94.0,925.0,False,27.5,59,0.6
3047.242,19.2,93.0,925.0,False,27.3,199,0.0
3107.231,19.2,93.0,925.0,False,27.2,160,0.6
3167.233,19.2,93.0,925.0,False,27.5,147,1.2
3227.235,19.2,93.0,925.0,False,27.0,143,1.1
3287.239,19.2,94.0,925.0,True,27.0,146,0.6
3347.237,19.2,93.0,925.0,True,26.9,121,0.8
3407.235,19.2,93.0,925.0,True,26.8,134,0.6
3467.235,19.2,93.0,925.0,True,26.6,186,0.8
3527.237,19.2,93.0,925.0,True,26.4,179,0.8
3587.234,19.2,93.0,925.0,True,26.4,167,0.8
3647.235,19.2,93.0,925.0,True,26.3,132,0.6
3707.242,19.2,93.0,925.0,True,26.3,269,0.5
3767.234,19.3,93.0,925.0,True,26.2,133,0.6
3827.382,19.3,93.0,925.0,True,26.2,169,0.8
3887.244,19.2,93.0,925.0,True,26.3,156,1.7
3947.238,19.2,93.0,925.0,True,26.4,176,1.8
4007.237,19.2,93.0,925.0,True,26.0,164,1.3
4067.236,19.2,93.0,925.0,True,25.9,199,1.5
4127.234,19.2,93.0,925.0,True,25.7,197,1.7
4187.236,19.2,93.0,924.9,True,25.7,206,2.0
4247.234,19.2,93.0,924.9,True,25.7,208,2.4
4307.235,19.2,93.0,924.9,True,25.1,138,2.0
4367.237,19.2,93.0,924.9,True,25.0,150,1.7
4427.252,19.2,93.0,924.9,True,25.0,191,0.8
4487.241,19.2,93.0,925.0,True,25.2,0,0.5
4547.243,19.2,93.0,925.0,True,25.3,179,1.2
4607.243,19.1,93.0,924.9,True,25.3,193,1.6
4667.242,19.1,93.0,925.0,True,25.1,155,0.8
4727.234,19.1,93.0,925.0,True,24.9,147,1.0
4787.237,19.1,93.0,925.2,True,25.1,205,1.0
4847.239,19.2,93.0,925.2,True,25.1,153,1.2
