Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
52.084,29.0,67.0,1014.4,False,46.0,315,2.0
112.084,29.0,67.0,1014.4,False,46.0,315,2.0
172.081,28.9,68.0,1014.5,False,34.2,317,1.7
232.088,29.0,68.0,1014.5,False,34.4,34,1.8
292.085,29.0,68.0,1014.5,False,34.5,354,1.3
352.084,29.0,68.0,1014.5,False,34.5,24,1.7
412.081,28.9,68.0,1014.5,False,34.3,18,1.7
472.086,28.9,69.0,1014.5,False,34.3,349,2.2
532.085,28.9,68.0,1014.5,False,34.2,314,2.4
592.084,28.9,69.0,1014.5,False,34.2,353,2.4
652.093,28.9,69.0,1014.5,False,34.2,40,1.6
712.091,28.9,69.0,1014.5,False,34.2,331,1.5
772.088,28.9,69.0,1014.5,False,34.2,357,1.6
832.092,28.9,69.0,1014.5,False,34.2,17,1.3
892.097,28.9,69.0,1014.5,False,34.2,319,2.2
952.088,28.9,69.0,1014.5,False,34.4,322,1.5
1012.083,28.9,69.0,1014.5,False,34.4,326,1.7
1072.313,28.9,69.0,1014.5,False,34.2,26,1.7
1132.076,28.9,69.0,1014.5,False,34.1,1,1.8
1192.087,28.9,69.0,1014.7,False,34.1,324,2.2
1252.093,28.9,68.0,1014.5,False,34.1,304,1.8
1312.092,28.9,68.0,1014.7,False,34.2,343,2.0
1372.082,28.9,68.0,1014.7,False,34.1,27,1.1
1432.083,29.0,68.0,1014.7,False,34.0,8,1.7
1492.084,29.0,68.0,1014.5,False,33.9,8,1.5
1552.085,28.9,69.0,1014.5,False,33.8,343,1.3
1612.084,28.9,69.0,1014.7,False,33.8,17,1.2
1672.083,28.9,69.0,1014.7,False,33.8,305,1.5
1732.085,28.8,69.0,1014.7,False,33.8,2,1.2
1792.088,28.8,69.0,1014.7,False,33.9,298,1.5
1852.089,28.8,69.0,1014.7,False,34.0,337,1.5
1912.083,28.9,69.0,1014.7,False,34.0,330,1.3
1972.082,28.8,69.0,1014.7,False,33.7,14,1.6
2032.084,28.8,69.0,1014.7,False,33.5,20,1.7
2092.091,28.8,69.0,1014.7,False,33.3,318,1.7
2152.085,28.7,70.0,1014.7,False,33.3,323,1.7
2212.086,28.8,70.0,1014.7,False,33.3,12,1.5
2272.082,28.8,70.0,1014.7,False,33.3,343,1.7
2332.084,28.7,70.0,1014.7,False,33.4,340,1.5
2392.084,28.7,70.0,1014.7,False,33.4,349,1.5
2452.084,28.6,70.0,1014.7,False,33.4,342,1.2
2512.082,28.7,70.0,1014.7,False,33.4,335,1.5
2572.084,28.7,70.0,1014.7,False,33.5,320,1.6
2632.085,28.7,70.0,1014.7,False,33.5,3,1.5
2692.084,28.7,70.0,1014.7,False,33.4,358,1.7
2752.085,28.7,70.0,1014.7,False,33.3,353,1.7
2812.096,28.7,70.0,1014.7,False,33.3,8,1.5
2872.309,28.7,71.0,1014.9,False,33.1,334,1.8
2932.096,28.7,71.0,1014.9,False,33.1,23,1.8
2992.091,28.7,71.0,1014.7,False,33.1,334,1.7
3052.083,28.7,71.0,1014.7,False,33.3,2,1.2
3112.084,28.7,71.0,1014.7,False,33.3,348,1.5
3172.086,28.7,71.0,1014.9,False,33.3,329,1.5
3232.1,28.7,70.0,1014.7,False,33.4,347,1.7
3292.089,28.7,71.0,1014.9,False,33.2,345,1.5
3352.086,28.7,71.0,1014.9,False,33.0,27,1.7
3412.097,28.6,71.0,1014.9,False,33.1,328,1.8
3472.087,28.6,71.0,1014.9,False,33.1,342,2.4
3532.085,28.6,71.0,1014.7,False,33.1,33,1.5
3592.082,28.6,71.0,1015.0,False,33.0,339,1.5
3652.086,28.6,71.0,1014.7,False,33.0,6,1.5
3712.108,28.6,71.0,1015.0,False,33.0,327,1.5
3772.085,28.6,71.0,1015.0,False,33.1,319,1.5
3832.086,28.6,71.0,1015.0,False,33.3,341,1.7
3892.084,28.5,71.0,1014.9,False,33.2,311,1.6
3952.096,28.5,71.0,1015.0,False,33.0,322,2.0
4012.104,28.5,71.0,1015.0,False,33.0,299,1.6
4072.089,28.5,71.0,1015.0,False,32.9,329,1.7
4132.092,28.5,71.0,1015.0,False,33.0,338,1.2
4192.102,28.5,72.0,1015.0,False,33.0,23,1.7
4252.087,28.5,72.0,1015.2,False,33.0,16,1.5
4312.082,28.5,72.0,1015.2,False,33.0,350,1.6
4372.093,28.5,72.0,1015.0,False,33.0,321,1.2
