Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1097.369,VER,1,110.169,1.0,1.0,990.618,,52.498,20.406,37.265,1039.851,1060.288,1097.491,247.0,278.0,304.0,211.0,False,MEDIUM,1.0,True,Red Bull Racing,990.618,2023-04-01 01:31:30.627,1,,False,,False,False
1177.033,VER,1,79.664,2.0,1.0,,,27.572,18.005,34.087,1124.941,1142.946,1177.033,280.0,315.0,304.0,322.0,True,MEDIUM,2.0,True,Red Bull Racing,1097.369,2023-04-01 01:33:17.378,1,,False,,False,True
1281.811,VER,1,104.778,3.0,1.0,,,39.552,26.88,38.346,1216.585,1243.465,1281.811,233.0,248.0,307.0,246.0,False,MEDIUM,3.0,True,Red Bull Racing,1177.033,2023-04-01 01:34:37.042,1,,False,,False,True
1360.552,VER,1,78.741,4.0,1.0,,,27.327,17.832,33.582,1309.138,1326.97,1360.552,282.0,317.0,304.0,324.0,True,MEDIUM,4.0,True,Red Bull Racing,1281.811,2023-04-01 01:36:21.820,1,,False,,False,True
1847.027,VER,1,,5.0,1.0,,1458.891,30.953,28.195,,1391.657,1419.938,,245.0,151.0,,294.0,False,MEDIUM,5.0,True,Red Bull Racing,1360.552,2023-04-01 01:37:40.561,1,,False,,False,False
1962.585,VER,1,115.558,6.0,2.0,1850.352,,55.618,20.64,39.3,1902.645,1923.285,1962.585,260.0,259.0,285.0,111.0,False,MEDIUM,6.0,False,Red Bull Racing,1847.027,2023-04-01 01:45:47.036,1,,False,,False,False
2047.617,VER,1,85.032,7.0,2.0,,,29.229,18.922,36.881,1991.814,2010.736,2047.617,270.0,292.0,283.0,290.0,False,MEDIUM,7.0,False,Red Bull Racing,1962.585,2023-04-01 01:47:42.594,1,,False,,False,True
2131.679,VER,1,84.062,8.0,2.0,,,29.068,18.891,36.103,2076.685,2095.576,2131.679,271.0,292.0,284.0,288.0,False,MEDIUM,8.0,False,Red Bull Racing,2047.617,2023-04-01 01:49:07.626,1,,False,,False,True
2215.152,VER,1,83.473,9.0,2.0,,,28.885,18.73,35.858,2160.564,2179.294,2215.152,273.0,295.0,286.0,282.0,False,MEDIUM,9.0,False,Red Bull Racing,2131.679,2023-04-01 01:50:31.688,1,,False,,False,True
2298.263,VER,1,83.111,10.0,2.0,,,28.951,18.676,35.484,2244.103,2262.779,2298.263,271.0,295.0,286.0,283.0,False,MEDIUM,10.0,False,Red Bull Racing,2215.152,2023-04-01 01:51:55.161,1,,False,,False,True
2381.246,VER,1,82.983,11.0,2.0,,,28.811,18.688,35.484,2327.074,2345.762,2381.246,,295.0,286.0,288.0,False,MEDIUM,11.0,False,Red Bull Racing,2298.263,2023-04-01 01:53:18.272,1,,False,,False,True
2464.468,VER,1,83.222,12.0,2.0,,,28.96,18.585,35.677,2410.206,2428.791,2464.468,269.0,297.0,285.0,286.0,False,MEDIUM,12.0,False,Red Bull Racing,2381.246,2023-04-01 01:54:41.255,1,,False,,False,True
2547.558,VER,1,83.09,13.0,2.0,,,28.96,18.526,35.604,,2511.954,2547.558,272.0,297.0,285.0,,False,MEDIUM,13.0,False,Red Bull Racing,2464.468,2023-04-01 01:56:04.477,1,,False,,False,True
2636.238,VER,1,88.68,14.0,2.0,,,29.713,18.475,40.492,2577.271,2595.746,2636.238,271.0,302.0,285.0,280.0,False,MEDIUM,14.0,False,Red Bull Racing,2547.558,2023-04-01 01:57:27.567,1,,False,,False,True
2719.055,VER,1,82.817,15.0,2.0,,,28.7,18.506,35.611,2664.938,2683.444,2719.055,275.0,296.0,284.0,293.0,False,MEDIUM,15.0,False,Red Bull Racing,2636.238,2023-04-01 01:58:56.247,12,,False,,False,True
2802.246,VER,1,83.191,16.0,2.0,,,29.005,18.608,35.578,2748.06,2766.668,2802.246,270.0,296.0,286.0,285.0,False,MEDIUM,16.0,False,Red Bull Racing,2719.055,2023-04-01 02:00:19.064,1,,False,,False,True
3626.905,VER,1,,17.0,2.0,,2893.568,29.306,18.588,,2831.647,2850.225,,,298.0,,283.0,False,MEDIUM,17.0,False,Red Bull Racing,2802.246,2023-04-01 02:01:42.255,15,,False,,False,False
3718.978,VER,1,92.073,18.0,3.0,3628.898,,35.326,19.495,37.252,3662.231,3681.726,3718.978,269.0,276.0,227.0,209.0,False,SOFT,1.0,True,Red Bull Racing,3628.898,2023-04-01 02:15:28.907,1,,False,,False,False
3832.563,VER,1,113.585,19.0,3.0,,,31.463,21.113,61.009,3750.441,3771.554,3832.563,263.0,215.0,305.0,245.0,False,SOFT,2.0,True,Red Bull Racing,3718.978,2023-04-01 02:16:58.987,12,,False,,False,True
3910.128,VER,1,77.565,20.0,3.0,,,26.943,17.563,33.059,3859.506,3877.069,3910.128,284.0,322.0,306.0,324.0,True,SOFT,3.0,True,Red Bull Racing,3832.563,2023-04-01 02:18:52.572,2,,False,,False,True
4034.94,VER,1,124.812,21.0,3.0,,4014.626,39.101,23.129,62.582,3949.229,3972.358,4034.94,212.0,244.0,,263.0,False,SOFT,4.0,True,Red Bull Racing,3910.128,2023-04-01 02:20:10.137,2,,False,,False,False
4151.936,VER,1,116.996,22.0,4.0,4038.547,,56.884,20.326,39.786,4091.824,4112.15,4151.936,244.0,275.0,307.0,158.0,False,SOFT,5.0,False,Red Bull Racing,4034.94,2023-04-01 02:22:14.949,21,,False,,False,False
