Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1068.489,LEC,16,,1.0,1.0,946.99,,,53.77,26.354,,1042.207,1068.489,181.0,203.0,329.0,302.0,False,SOFT,1.0,True,Ferrari,946.99,2023-04-28 13:01:20.412,12,,False,,False,False
1170.594,LEC,16,102.105,2.0,1.0,,,36.129,41.072,24.904,1104.618,1145.69,1170.594,218.0,244.0,332.0,321.0,True,SOFT,2.0,True,Ferrari,1068.489,2023-04-28 13:03:21.911,12,,False,,False,True
1313.957,LEC,16,143.363,3.0,1.0,,,57.461,59.72,26.182,1228.055,1287.775,1313.957,109.0,198.0,330.0,304.0,False,SOFT,3.0,True,Ferrari,1170.594,2023-04-28 13:05:04.016,12,,False,,False,True
2383.926,LEC,16,,4.0,1.0,,1459.781,,,,,,,,,,,False,SOFT,4.0,True,Ferrari,1313.957,2023-04-28 13:07:27.379,251,,False,,False,False
3160.543,LEC,16,,5.0,2.0,2383.926,2513.55,,47.246,,,2469.629,,189.0,199.0,,,False,SOFT,5.0,False,Ferrari,2383.926,2023-04-28 13:25:17.348,125,,False,,False,False
3288.88,LEC,16,,6.0,3.0,3160.543,,,59.212,26.157,,3262.76,3289.057,169.0,192.0,330.0,304.0,False,SOFT,6.0,False,Ferrari,3160.543,2023-04-28 13:38:13.965,1,,False,,False,False
3390.718,LEC,16,101.838,7.0,3.0,,,35.892,41.097,24.849,3324.772,3365.869,3390.718,233.0,232.0,335.0,318.0,True,SOFT,7.0,False,Ferrari,3288.88,2023-04-28 13:40:22.302,1,,False,,False,True
3528.042,LEC,16,137.324,8.0,3.0,,,53.663,56.059,27.602,3444.381,3500.44,3528.042,139.0,69.0,330.0,304.0,False,SOFT,8.0,False,Ferrari,3390.718,2023-04-28 13:42:04.140,1,,False,,False,True
3629.311,LEC,16,101.269,9.0,3.0,,,35.502,40.891,24.876,3563.544,3604.435,3629.311,232.0,243.0,330.0,317.0,True,SOFT,9.0,False,Ferrari,3528.042,2023-04-28 13:44:21.464,1,,False,,False,True
3764.805,LEC,16,135.494,10.0,3.0,,3763.458,44.444,50.869,40.181,3673.755,3724.624,3764.805,172.0,178.0,,195.0,False,SOFT,10.0,False,Ferrari,3629.311,2023-04-28 13:46:02.733,1,,False,,False,False
4310.686,LEC,16,,11.0,4.0,4195.499,,,49.373,26.11,,4284.764,4310.686,168.0,182.0,328.0,302.0,False,SOFT,1.0,True,Ferrari,3764.805,2023-04-28 13:48:18.227,1,,False,,False,False
4411.902,LEC,16,101.216,12.0,4.0,,,35.528,40.754,24.934,4346.214,4386.968,4411.902,234.0,237.0,330.0,315.0,True,SOFT,2.0,True,Ferrari,4310.686,2023-04-28 13:57:24.108,1,,False,,False,True
