Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2023-04-29 08:15:09,Other,RISK OF RAIN FOR F1 SPRINT SHOOTOUT IS 0%,,,,,,
2023-04-29 08:22:17,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2023-04-29 08:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2023-04-29 08:33:06,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2023-04-29 08:33:07,Other,DRS DISABLED IN ZONE 1,,,,,,
2023-04-29 08:33:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2023-04-29 08:33:46,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2023-04-29 08:33:46,Other,DRS ENABLED IN ZONE 1,,,,,,
2023-04-29 08:35:09,Other,CAR 14 (ALO) TIME 1:58.103 DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2023-04-29 08:35:09,Other,CAR 18 (STR) TIME 1:58.718 DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2023-04-29 08:35:18,Other,CAR 31 (OCO) TIME 1:56.915 DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2023-04-29 08:35:19,Other,CAR 77 (BOT) TIME 1:58.160 DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2023-04-29 08:36:55,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2023-04-29 08:36:56,Other,DRS DISABLED IN ZONE 1,,,,,,
2023-04-29 08:37:10,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2023-04-29 08:37:25,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2023-04-29 08:37:25,Other,DRS ENABLED IN ZONE 1,,,,,,
2023-04-29 08:38:57,Other,CAR 14 (ALO) TIME 2:09.711 DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2023-04-29 08:39:23,Other,CAR 18 (STR) TIME 2:26.490 DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2023-04-29 08:41:36,Flag,RED FLAG,,RED,Track,,,
2023-04-29 08:42:02,Other,SQ1 WILL NOT BE RESUMED,,,,,,
2023-04-29 08:44:40,Flag,TRACK CLEAR,,CLEAR,Track,,,
2023-04-29 08:44:42,Drs,DRS ENABLED,ENABLED,,,,,
2023-04-29 08:44:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2023-04-29 08:45:34,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2023-04-29 08:47:21,Other,START OF SQ2 WILL BE DELAYED,,,,,,
2023-04-29 08:49:33,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2023-04-29 08:49:35,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2023-04-29 08:49:36,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2023-04-29 08:49:37,Other,SQ2 WILL START AT 12:53,,,,,,
2023-04-29 08:53:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2023-04-29 08:56:13,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2023-04-29 08:56:43,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2023-04-29 09:00:21,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2023-04-29 09:00:28,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2023-04-29 09:01:43,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2023-04-29 09:01:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2023-04-29 09:02:01,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2023-04-29 09:02:02,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2023-04-29 09:02:04,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2023-04-29 09:03:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2023-04-29 09:03:30,Other,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM),,,,,,
2023-04-29 09:06:53,Other,SQ3 WILL START AT 13:10,,,,,,
2023-04-29 09:10:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2023-04-29 09:18:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2023-04-29 09:18:09,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2023-04-29 09:18:11,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2023-04-29 09:18:29,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2023-04-29 09:18:34,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2023-04-29 09:18:35,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,,
2023-04-29 09:18:36,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2023-04-29 09:18:36,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 7,,,,,,
2023-04-29 09:25:00,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2023-04-29 09:25:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2023-04-29 09:27:19,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2023-04-29 09:27:34,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2023-04-29 09:29:26,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2023-04-29 09:29:34,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
