Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1024.218,VER,1,110.452,1.0,1.0,914.404,,27.367,44.967,38.118,941.325,986.262,1024.34,175.0,164.0,257.0,269.0,False,HARD,1.0,True,Red Bull Racing,914.404,2023-05-26 11:31:19.164,1,,False,,False,False
1106.28,VER,1,82.062,2.0,1.0,,,21.233,37.058,23.771,1045.451,1082.509,1106.28,188.0,176.0,260.0,276.0,True,HARD,2.0,True,Red Bull Racing,1024.218,2023-05-26 11:33:08.978,1,,False,,False,True
1183.51,VER,1,77.23,3.0,1.0,,,20.526,36.177,20.527,1126.806,1162.983,1183.51,195.0,180.0,262.0,277.0,True,HARD,3.0,True,Red Bull Racing,1106.28,2023-05-26 11:34:31.040,1,,False,,False,True
1289.125,VER,1,105.615,4.0,1.0,,,25.204,52.734,27.677,1208.714,1261.448,1289.125,102.0,144.0,262.0,250.0,False,HARD,4.0,True,Red Bull Racing,1183.51,2023-05-26 11:35:48.270,12,,False,,False,True
1365.389,VER,1,76.264,5.0,1.0,,,20.135,35.917,20.212,1309.26,1345.177,1365.389,203.0,186.0,263.0,277.0,True,HARD,5.0,True,Red Bull Racing,1289.125,2023-05-26 11:37:33.885,1,,False,,False,True
1441.185,VER,1,75.796,6.0,1.0,,,20.015,35.791,19.99,1385.404,1421.195,1441.185,210.0,188.0,264.0,279.0,True,HARD,6.0,True,Red Bull Racing,1365.389,2023-05-26 11:38:50.149,1,,False,,False,True
1541.941,VER,1,100.756,7.0,1.0,,,24.147,51.099,25.51,1465.332,1516.431,1541.941,140.0,142.0,265.0,226.0,False,HARD,7.0,True,Red Bull Racing,1441.185,2023-05-26 11:40:05.945,1,,False,,False,True
1617.427,VER,1,75.486,8.0,1.0,,,19.839,35.546,20.101,1561.78,1597.326,1617.427,206.0,190.0,264.0,279.0,True,HARD,8.0,True,Red Bull Racing,1541.941,2023-05-26 11:41:46.701,1,,False,,False,True
1725.269,VER,1,107.842,9.0,1.0,,,22.826,53.663,31.353,1640.253,1693.916,1725.269,94.0,81.0,265.0,258.0,False,HARD,9.0,True,Red Bull Racing,1617.427,2023-05-26 11:43:02.187,1,,False,,False,True
1800.215,VER,1,74.946,10.0,1.0,,,19.779,35.435,19.732,1745.048,1780.483,1800.215,208.0,191.0,267.0,279.0,True,HARD,10.0,True,Red Bull Racing,1725.269,2023-05-26 11:44:50.029,1,,False,,False,True
2456.149,VER,1,,11.0,1.0,,1875.783,22.295,37.37,,1822.706,1860.096,,182.0,169.0,,268.0,False,HARD,11.0,True,Red Bull Racing,1800.215,2023-05-26 11:46:04.975,1,,False,,False,False
2538.838,VER,1,82.689,12.0,2.0,2456.746,,24.991,37.085,20.613,2481.14,2518.225,2538.838,188.0,181.0,265.0,261.0,False,MEDIUM,1.0,True,Red Bull Racing,2456.149,2023-05-26 11:57:00.909,1,,False,,False,False
2613.327,VER,1,74.489,13.0,2.0,,,19.542,35.199,19.748,2558.38,2593.579,2613.327,212.0,193.0,265.0,276.0,True,MEDIUM,2.0,True,Red Bull Racing,2538.838,2023-05-26 11:58:23.598,1,,False,,False,True
2717.393,VER,1,104.066,14.0,2.0,,,28.824,51.18,24.062,2642.151,2693.331,2717.393,125.0,135.0,264.0,167.0,False,MEDIUM,3.0,True,Red Bull Racing,2613.327,2023-05-26 11:59:38.087,1,,False,,False,True
2791.673,VER,1,74.28,15.0,2.0,,,19.558,35.052,19.67,2736.951,2772.003,2791.673,211.0,186.0,266.0,276.0,True,MEDIUM,4.0,True,Red Bull Racing,2717.393,2023-05-26 12:01:22.153,1,,False,,False,True
2902.529,VER,1,110.856,16.0,2.0,,,26.567,53.5,30.789,2818.24,2871.74,2902.529,118.0,116.0,265.0,186.0,False,MEDIUM,5.0,True,Red Bull Racing,2791.673,2023-05-26 12:02:36.433,1,,False,,False,True
2999.052,VER,1,96.523,17.0,2.0,,,19.558,43.13,33.835,2922.087,2965.217,2999.052,212.0,117.0,152.0,278.0,False,MEDIUM,6.0,True,Red Bull Racing,2902.529,2023-05-26 12:04:27.289,12,,False,,False,True
3483.582,VER,1,,18.0,2.0,,3105.129,29.794,,,3028.958,,,127.0,,,,False,MEDIUM,7.0,True,Red Bull Racing,2999.052,2023-05-26 12:06:03.812,15,,False,,False,False
3575.964,VER,1,92.382,19.0,3.0,3484.234,,26.766,41.517,24.099,3510.348,3551.865,3575.964,119.0,174.0,265.0,269.0,False,MEDIUM,8.0,False,Red Bull Racing,3484.234,2023-05-26 12:14:08.994,1,,False,,False,False
3654.21,VER,1,78.246,20.0,3.0,,,19.62,35.685,22.941,3595.584,3631.269,3654.21,210.0,151.0,265.0,281.0,False,MEDIUM,9.0,False,Red Bull Racing,3575.964,2023-05-26 12:15:40.724,12,,False,,False,True
3751.244,VER,1,97.034,21.0,3.0,,,24.566,48.874,23.594,3678.776,3727.65,3751.244,127.0,146.0,265.0,212.0,False,MEDIUM,10.0,False,Red Bull Racing,3654.21,2023-05-26 12:16:58.970,21,,False,,False,True
3837.198,VER,1,85.954,22.0,3.0,,,19.511,34.928,31.515,3770.755,3805.683,3837.198,212.0,193.0,137.0,278.0,False,MEDIUM,11.0,False,Red Bull Racing,3751.244,2023-05-26 12:18:36.004,1,,False,,False,True
3943.031,VER,1,105.833,23.0,3.0,,,29.246,48.007,28.58,3866.444,3914.451,3943.031,133.0,170.0,265.0,192.0,False,MEDIUM,12.0,False,Red Bull Racing,3837.198,2023-05-26 12:20:01.958,1,,False,,False,True
4017.275,VER,1,74.244,24.0,3.0,,,19.347,34.982,19.915,3962.378,3997.36,4017.275,214.0,193.0,266.0,278.0,True,MEDIUM,13.0,False,Red Bull Racing,3943.031,2023-05-26 12:21:47.791,1,,False,,False,True
4129.096,VER,1,111.821,25.0,3.0,,,29.526,51.365,30.93,4046.801,4098.166,4129.096,128.0,91.0,153.0,164.0,False,MEDIUM,14.0,False,Red Bull Racing,4017.275,2023-05-26 12:23:02.035,1,,False,,False,True
4231.694,VER,1,,26.0,3.0,,4231.694,33.52,48.006,,4162.82,4210.788,,102.0,162.0,,252.0,False,MEDIUM,15.0,False,Red Bull Racing,4129.096,2023-05-26 12:24:53.856,125,,False,,False,False
988.166,SAR,2,104.985,1.0,1.0,884.373,,35.631,43.933,25.421,918.982,962.981,988.262,117.0,166.0,262.0,258.0,False,HARD,1.0,True,Williams,884.373,2023-05-26 11:30:49.133,1,,False,,False,False
1070.353,SAR,2,82.187,2.0,1.0,,,21.792,38.444,21.951,1009.958,1048.402,1070.353,172.0,178.0,260.0,276.0,True,HARD,2.0,True,Williams,988.166,2023-05-26 11:32:32.926,1,,False,,False,True
1150.391,SAR,2,80.038,3.0,1.0,,,21.024,37.522,21.492,1091.377,1128.899,1150.391,182.0,183.0,262.0,277.0,True,HARD,3.0,True,Williams,1070.353,2023-05-26 11:33:55.113,1,,False,,False,True
1228.591,SAR,2,78.2,4.0,1.0,,,20.608,36.658,20.934,1170.999,1207.657,1228.591,190.0,184.0,263.0,277.0,True,HARD,4.0,True,Williams,1150.391,2023-05-26 11:35:15.151,1,,False,,False,True
1327.643,SAR,2,99.052,5.0,1.0,,,20.461,50.439,28.152,1249.052,1299.491,1327.643,183.0,133.0,263.0,157.0,False,HARD,5.0,True,Williams,1228.591,2023-05-26 11:36:33.351,12,,False,,False,True
1405.88,SAR,2,78.237,6.0,1.0,,,20.425,36.767,21.045,1348.068,1384.835,1405.88,187.0,188.0,262.0,278.0,False,HARD,6.0,True,Williams,1327.643,2023-05-26 11:38:12.403,1,,False,,False,True
1483.406,SAR,2,77.526,7.0,1.0,,,20.162,36.673,20.691,1426.042,1462.715,1483.406,189.0,188.0,265.0,278.0,True,HARD,7.0,True,Williams,1405.88,2023-05-26 11:39:30.640,1,,False,,False,True
1601.136,SAR,2,117.73,8.0,1.0,,,32.803,52.322,32.605,1516.209,1568.531,1601.136,83.0,74.0,263.0,186.0,False,HARD,8.0,True,Williams,1483.406,2023-05-26 11:40:48.166,1,,False,,False,True
1678.586,SAR,2,77.45,9.0,1.0,,,20.291,36.456,20.703,1621.427,1657.883,1678.586,190.0,178.0,264.0,278.0,True,HARD,9.0,True,Williams,1601.136,2023-05-26 11:42:45.896,1,,False,,False,True
1755.988,SAR,2,77.402,10.0,1.0,,,20.075,36.583,20.744,1698.661,1735.244,1755.988,193.0,188.0,264.0,277.0,True,HARD,10.0,True,Williams,1678.586,2023-05-26 11:44:03.346,1,,False,,False,True
1868.002,SAR,2,112.014,11.0,1.0,,,30.346,50.837,30.831,1786.334,1837.171,1868.002,126.0,66.0,263.0,260.0,False,HARD,11.0,True,Williams,1755.988,2023-05-26 11:45:20.748,1,,False,,False,True
1945.515,SAR,2,77.513,12.0,1.0,,,20.359,36.575,20.579,1888.361,1924.936,1945.515,191.0,188.0,265.0,278.0,False,HARD,12.0,True,Williams,1868.002,2023-05-26 11:47:12.762,1,,False,,False,True
2065.296,SAR,2,119.781,13.0,1.0,,,34.411,55.637,29.733,1979.926,2035.563,2065.296,74.0,113.0,263.0,224.0,False,HARD,13.0,True,Williams,1945.515,2023-05-26 11:48:30.275,1,,False,,False,True
2143.044,SAR,2,77.748,14.0,1.0,,,20.063,36.297,21.388,2085.359,2121.656,2143.044,196.0,188.0,266.0,278.0,False,HARD,14.0,True,Williams,2065.296,2023-05-26 11:50:30.056,1,,False,,False,True
2249.538,SAR,2,106.494,15.0,1.0,,2222.686,21.389,42.59,42.515,2164.433,2207.023,2249.538,179.0,170.0,,159.0,False,HARD,15.0,True,Williams,2143.044,2023-05-26 11:51:47.804,1,,False,,False,False
2898.63,SAR,2,,16.0,2.0,2250.264,2395.09,30.564,83.288,,2280.294,2363.684,,103.0,59.0,,63.0,False,MEDIUM,1.0,True,Williams,2249.538,2023-05-26 11:53:34.298,1,,False,,False,False
2991.771,SAR,2,93.141,17.0,3.0,2899.241,,29.24,39.745,24.156,2927.87,2967.615,2991.771,152.0,174.0,263.0,274.0,False,MEDIUM,2.0,False,Williams,2898.63,2023-05-26 12:04:23.390,12,,False,,False,False
3282.822,SAR,2,,18.0,3.0,,3174.503,19.983,35.665,,3011.864,3047.551,,200.0,191.0,,277.0,False,MEDIUM,3.0,False,Williams,2991.771,2023-05-26 12:05:56.531,15,,False,,False,False
3372.173,SAR,2,89.351,19.0,4.0,3283.486,,26.332,39.471,23.548,3309.154,3348.625,3372.173,163.0,171.0,264.0,273.0,False,MEDIUM,4.0,False,Williams,3283.486,2023-05-26 12:10:48.246,1,,False,,False,False
3448.484,SAR,2,76.311,20.0,4.0,,,19.99,35.821,20.5,3392.163,3427.984,3448.484,199.0,187.0,264.0,277.0,True,MEDIUM,5.0,False,Williams,3372.173,2023-05-26 12:12:16.933,1,,False,,False,True
3548.351,SAR,2,99.867,21.0,4.0,,,30.41,44.75,24.707,3478.894,3523.644,3548.351,56.0,143.0,266.0,263.0,False,MEDIUM,6.0,False,Williams,3448.484,2023-05-26 12:13:33.244,1,,False,,False,True
3647.342,SAR,2,98.991,22.0,4.0,,,19.761,47.279,31.951,3568.112,3615.391,3647.342,200.0,98.0,263.0,233.0,False,MEDIUM,7.0,False,Williams,3548.351,2023-05-26 12:15:13.111,1,,False,,False,True
3722.899,SAR,2,75.557,23.0,4.0,,,19.867,35.538,20.152,3667.209,3702.747,3722.899,201.0,192.0,266.0,280.0,True,MEDIUM,8.0,False,Williams,3647.342,2023-05-26 12:16:52.102,12,,False,,False,True
3818.124,SAR,2,95.225,24.0,4.0,,,25.199,45.719,24.307,3748.098,3793.817,3818.124,126.0,128.0,265.0,253.0,False,MEDIUM,9.0,False,Williams,3722.899,2023-05-26 12:18:07.659,1,,False,,False,True
3894.505,SAR,2,76.381,25.0,4.0,,,19.76,35.768,20.853,3837.884,3873.652,3894.505,204.0,189.0,227.0,280.0,False,MEDIUM,10.0,False,Williams,3818.124,2023-05-26 12:19:42.884,1,,False,,False,True
3972.853,SAR,2,78.348,26.0,4.0,,,21.221,36.347,20.78,3915.726,3952.073,3972.853,191.0,184.0,257.0,280.0,False,MEDIUM,11.0,False,Williams,3894.505,2023-05-26 12:20:59.265,1,,False,,False,True
4050.068,SAR,2,77.215,27.0,4.0,,,20.107,36.466,20.642,3992.96,4029.426,4050.068,193.0,185.0,258.0,281.0,False,MEDIUM,12.0,False,Williams,3972.853,2023-05-26 12:22:17.613,1,,False,,False,True
4127.836,SAR,2,77.768,28.0,4.0,,,19.952,36.891,20.925,4070.02,4106.911,4127.836,200.0,176.0,256.0,281.0,False,MEDIUM,13.0,False,Williams,4050.068,2023-05-26 12:23:34.828,1,,False,,False,True
4206.001,SAR,2,78.165,29.0,4.0,,,20.407,37.018,20.74,4148.243,4185.261,4206.001,194.0,187.0,258.0,280.0,False,MEDIUM,14.0,False,Williams,4127.836,2023-05-26 12:24:52.596,12,,False,,False,True
984.393,NOR,4,102.643,1.0,1.0,882.857,,32.794,41.18,28.669,914.763,955.966,984.512,153.0,173.0,259.0,226.0,False,MEDIUM,1.0,True,McLaren,882.857,2023-05-26 11:30:47.617,1,,False,,False,False
1063.011,NOR,4,78.618,2.0,1.0,,,21.106,36.91,20.602,1005.499,1042.409,1063.011,187.0,187.0,263.0,275.0,True,MEDIUM,2.0,True,McLaren,984.393,2023-05-26 11:32:29.153,1,,False,,False,True
1139.886,NOR,4,76.875,3.0,1.0,,,20.46,36.198,20.217,1083.471,1119.669,1139.886,206.0,189.0,264.0,277.0,True,MEDIUM,3.0,True,McLaren,1063.011,2023-05-26 11:33:47.771,1,,False,,False,True
1227.283,NOR,4,87.397,4.0,1.0,,,23.725,41.755,21.917,1163.611,1205.366,1227.283,148.0,163.0,263.0,237.0,False,MEDIUM,4.0,True,McLaren,1139.886,2023-05-26 11:35:04.646,1,,False,,False,True
1303.576,NOR,4,76.293,5.0,1.0,,,20.061,36.151,20.081,1247.344,1283.495,1303.576,203.0,192.0,264.0,278.0,True,MEDIUM,5.0,True,McLaren,1227.283,2023-05-26 11:36:32.043,12,,False,,False,True
1411.522,NOR,4,107.946,6.0,1.0,,,25.769,52.844,29.333,1329.345,1382.189,1411.522,88.0,165.0,262.0,185.0,False,MEDIUM,6.0,True,McLaren,1303.576,2023-05-26 11:37:48.336,1,,False,,False,True
1487.264,NOR,4,75.742,7.0,1.0,,,19.949,35.862,19.931,1431.471,1467.333,1487.264,202.0,194.0,265.0,276.0,True,MEDIUM,7.0,True,McLaren,1411.522,2023-05-26 11:39:36.282,1,,False,,False,True
1592.205,NOR,4,104.941,8.0,1.0,,,26.657,49.019,29.265,1513.921,1562.94,1592.205,76.0,117.0,262.0,224.0,False,MEDIUM,8.0,True,McLaren,1487.264,2023-05-26 11:40:52.024,1,,False,,False,True
1667.972,NOR,4,75.767,9.0,1.0,,,19.939,35.909,19.919,1612.144,1648.053,1667.972,205.0,192.0,265.0,276.0,False,MEDIUM,9.0,True,McLaren,1592.205,2023-05-26 11:42:36.965,1,,False,,False,True
2285.977,NOR,4,,10.0,1.0,,1757.535,28.169,44.305,,1696.317,1740.66,,164.0,162.0,,180.0,False,MEDIUM,10.0,True,McLaren,1667.972,2023-05-26 11:43:52.732,1,,False,,False,False
2374.39,NOR,4,88.413,11.0,2.0,2286.685,,26.571,40.489,21.353,2312.548,2353.037,2374.39,151.0,183.0,264.0,221.0,False,MEDIUM,1.0,True,McLaren,2285.977,2023-05-26 11:54:10.737,1,,False,,False,False
2465.481,NOR,4,91.091,12.0,2.0,,,19.599,48.638,22.854,2393.989,2442.627,2465.481,210.0,140.0,263.0,206.0,False,MEDIUM,2.0,True,McLaren,2374.39,2023-05-26 11:55:39.150,1,,False,,False,True
2539.948,NOR,4,74.467,13.0,2.0,,,19.594,35.143,19.73,2485.075,2520.218,2539.948,212.0,191.0,264.0,275.0,True,MEDIUM,3.0,True,McLaren,2465.481,2023-05-26 11:57:10.241,1,,False,,False,True
2643.659,NOR,4,103.711,14.0,2.0,,,24.147,47.522,32.042,2564.095,2611.617,2643.659,137.0,112.0,260.0,190.0,False,MEDIUM,4.0,True,McLaren,2539.948,2023-05-26 11:58:24.708,1,,False,,False,True
2741.258,NOR,4,97.599,15.0,2.0,,,19.772,53.228,24.599,2663.431,2716.659,2741.258,209.0,152.0,262.0,152.0,False,MEDIUM,5.0,True,McLaren,2643.659,2023-05-26 12:00:08.419,1,,False,,False,True
2831.424,NOR,4,90.166,16.0,2.0,,,19.538,48.544,22.084,2760.796,2809.34,2831.424,212.0,164.0,264.0,224.0,False,MEDIUM,6.0,True,McLaren,2741.258,2023-05-26 12:01:46.018,1,,False,,False,True
2923.238,NOR,4,91.814,17.0,2.0,,,20.978,44.463,26.373,2852.402,2896.865,2923.238,208.0,115.0,263.0,259.0,False,MEDIUM,7.0,True,McLaren,2831.424,2023-05-26 12:03:16.184,1,,False,,False,True
3694.917,NOR,4,,18.0,2.0,,2998.161,19.63,37.66,,2943.084,2980.74,,211.0,163.0,,276.0,False,MEDIUM,8.0,True,McLaren,2923.238,2023-05-26 12:04:47.998,125,,False,,False,False
3799.558,NOR,4,104.641,19.0,3.0,3695.544,3772.246,24.443,37.397,42.801,3719.36,3756.757,3799.558,187.0,186.0,,274.0,False,MEDIUM,9.0,False,McLaren,3695.544,2023-05-26 12:17:40.304,1,,False,,False,False
3886.207,NOR,4,86.649,20.0,4.0,3800.105,,24.901,36.583,25.165,3824.459,3861.042,3886.207,197.0,187.0,256.0,274.0,False,MEDIUM,10.0,False,McLaren,3799.558,2023-05-26 12:19:24.318,1,,False,,False,False
3962.853,NOR,4,76.646,21.0,4.0,,,20.31,36.021,20.315,3906.517,3942.538,3962.853,206.0,190.0,254.0,273.0,False,MEDIUM,11.0,False,McLaren,3886.207,2023-05-26 12:20:50.967,1,,False,,False,True
4039.359,NOR,4,76.506,22.0,4.0,,,20.155,35.913,20.438,3983.008,4018.921,4039.359,,187.0,254.0,275.0,False,MEDIUM,12.0,False,McLaren,3962.853,2023-05-26 12:22:07.613,1,,False,,False,True
4115.701,NOR,4,76.342,23.0,4.0,,,20.157,36.006,20.179,4059.516,4095.522,4115.701,199.0,191.0,252.0,274.0,False,MEDIUM,13.0,False,McLaren,4039.359,2023-05-26 12:23:24.119,1,,False,,False,True
4191.864,NOR,4,76.163,24.0,4.0,,,20.035,35.725,20.403,4135.736,4171.461,4191.864,206.0,189.0,256.0,274.0,False,MEDIUM,14.0,False,McLaren,4115.701,2023-05-26 12:24:40.461,1,,False,,False,True
1013.934,GAS,10,111.609,1.0,1.0,903.326,,33.707,46.531,31.371,936.216,982.762,1014.028,141.0,130.0,255.0,234.0,False,HARD,1.0,True,Alpine,903.326,2023-05-26 11:31:08.086,1,,False,,False,False
1095.94,GAS,10,82.006,2.0,1.0,,,22.221,38.115,21.67,1036.155,1074.27,1095.94,174.0,173.0,260.0,271.0,True,HARD,2.0,True,Alpine,1013.934,2023-05-26 11:32:58.694,1,,False,,False,True
1174.775,GAS,10,78.835,3.0,1.0,,,21.141,36.856,20.838,1117.081,1153.937,1174.775,185.0,181.0,261.0,271.0,True,HARD,3.0,True,Alpine,1095.94,2023-05-26 11:34:20.700,1,,False,,False,True
1252.022,GAS,10,77.247,4.0,1.0,,,20.611,36.138,20.498,1195.386,1231.524,1252.022,192.0,185.0,259.0,275.0,True,HARD,4.0,True,Alpine,1174.775,2023-05-26 11:35:39.535,12,,False,,False,True
1328.868,GAS,10,76.846,5.0,1.0,,,20.431,36.031,20.384,1272.453,1308.484,1328.868,188.0,184.0,261.0,274.0,True,HARD,5.0,True,Alpine,1252.022,2023-05-26 11:36:56.782,1,,False,,False,True
1423.688,GAS,10,94.82,6.0,1.0,,,24.95,46.09,23.78,1353.818,1399.908,1423.688,124.0,145.0,260.0,253.0,False,HARD,6.0,True,Alpine,1328.868,2023-05-26 11:38:13.628,1,,False,,False,True
1503.416,GAS,10,79.728,7.0,1.0,,,20.405,36.01,23.313,1444.093,1480.103,1503.416,195.0,189.0,260.0,274.0,False,HARD,7.0,True,Alpine,1423.688,2023-05-26 11:39:48.448,1,,False,,False,True
