Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
952.796,VER,1,109.496,1.0,1.0,845.753,,40.759,43.892,24.845,884.112,927.987,952.83,121.0,178.0,270.0,270.0,False,SOFT,1.0,True,Red Bull Racing,845.753,2023-05-27 14:01:13.873,1,,False,,False,False
1026.58,VER,1,73.784,2.0,1.0,,,19.334,34.92,19.53,972.13,1007.05,1026.58,208.0,198.0,270.0,281.0,True,SOFT,2.0,True,Red Bull Racing,952.796,2023-05-27 14:03:00.916,1,,False,,False,True
1148.545,VER,1,121.965,3.0,1.0,,,30.714,62.269,28.982,1057.294,1119.563,1148.545,86.0,87.0,269.0,147.0,False,SOFT,3.0,True,Red Bull Racing,1026.58,2023-05-27 14:04:14.700,1,,False,,False,True
1813.467,VER,1,,4.0,1.0,,1242.905,19.146,,,1167.75,,,213.0,,,,False,SOFT,4.0,True,Red Bull Racing,1148.545,2023-05-27 14:06:16.665,125,,False,,False,False
1913.102,VER,1,99.635,5.0,2.0,1814.555,,33.825,38.663,27.147,1847.292,1885.955,1913.102,186.0,173.0,266.0,265.0,False,SOFT,5.0,False,Red Bull Racing,1814.555,2023-05-27 14:17:22.675,1,,False,,False,False
1986.14,VER,1,73.038,6.0,2.0,,,19.024,34.732,19.282,1932.126,1966.858,1986.14,213.0,190.0,272.0,283.0,True,SOFT,6.0,False,Red Bull Racing,1913.102,2023-05-27 14:19:01.222,1,,False,,False,True
2100.558,VER,1,114.418,7.0,2.0,,,29.948,53.554,30.916,2016.088,2069.642,2100.558,114.0,119.0,270.0,164.0,False,SOFT,7.0,False,Red Bull Racing,1986.14,2023-05-27 14:20:14.260,1,,False,,False,True
2173.202,VER,1,72.644,8.0,2.0,,,19.006,34.44,19.198,2119.564,2154.004,2173.202,217.0,201.0,268.0,282.0,True,SOFT,8.0,False,Red Bull Racing,2100.558,2023-05-27 14:22:08.678,1,,False,,False,True
2286.735,VER,1,113.533,9.0,2.0,,,31.524,53.049,28.96,2204.726,2257.775,2286.735,103.0,112.0,195.0,158.0,False,SOFT,9.0,False,Red Bull Racing,2173.202,2023-05-27 14:23:21.322,1,,False,,False,True
2395.535,VER,1,108.8,10.0,2.0,,,30.127,51.454,27.219,2316.862,2368.316,2395.535,139.0,130.0,270.0,224.0,False,SOFT,10.0,False,Red Bull Racing,2286.735,2023-05-27 14:25:14.855,1,,False,,False,True
2467.921,VER,1,72.386,11.0,2.0,,,18.887,34.374,19.125,2414.422,2448.796,2467.921,216.0,202.0,272.0,281.0,True,SOFT,11.0,False,Red Bull Racing,2395.535,2023-05-27 14:27:03.655,1,,False,,False,True
2935.323,VER,1,,12.0,2.0,,2548.421,22.912,38.918,,2490.859,2529.75,,152.0,172.0,,253.0,False,SOFT,12.0,False,Red Bull Racing,2467.921,2023-05-27 14:28:16.041,12,,False,,False,False
3020.807,VER,1,,13.0,3.0,2935.323,,,39.705,20.79,,3000.041,3020.978,184.0,174.0,265.0,261.0,False,SOFT,1.0,True,Red Bull Racing,2935.323,2023-05-27 14:36:03.443,1,,False,,False,False
3092.845,VER,1,72.038,14.0,3.0,,,18.804,34.148,19.086,3039.611,3073.759,3092.845,215.0,203.0,271.0,282.0,True,SOFT,2.0,True,Red Bull Racing,3020.807,2023-05-27 14:37:28.927,1,,False,,False,True
3203.367,VER,1,110.522,15.0,3.0,,,31.871,49.542,29.109,3124.716,3174.258,3203.367,121.0,114.0,186.0,150.0,False,SOFT,3.0,True,Red Bull Racing,3092.845,2023-05-27 14:38:40.965,1,,False,,False,True
